formula,k_expt,k-units,k_condition,k_condition_units
Mg2Si0.6Ge0.4Ag0.02,3.48,W/m$\cdot$K,1000,K
Sr0.61Ba0.39Nb2O6,1.667,W/m$\cdot$K,300,K
Ba8Ga16Ge30,1.6,W/m$\cdot$K,1000,K
Zr0.4Hf0.4Ti0.2NiSn,3.196,W/m$\cdot$K,700,K
Zr0.25Hf0.25Ti0.5NiSn,3.003,W/m$\cdot$K,400,K
Si0.79936Ge0.19984B0.0008,4.14497,W/m$\cdot$K,400,K
Ni2.0Mo6S8,1.7135,W/m$\cdot$K,300,K
CaYb0.1Mn0.9O3,1.72527,W/m$\cdot$K,300,K
Ca2.7Bi0.3Co4O9,2.05,W/m$\cdot$K,1000,K
Cu4.0Mo6S8,2.0386,W/m$\cdot$K,1000,K
Fe0.978Co0.00196Si1.96Y0.12O0.18,2.86,W/m$\cdot$K,300,K
Ca2.7Na0.3Co4O9,2.05,W/m$\cdot$K,1000,K
Ca3Co4O9,3.15,W/m$\cdot$K,700,K
Fe0.978Co0.00196Si1.96Y0.04O0.06,4.21,W/m$\cdot$K,1000,K
CeFe3.5Co0.5Sb12,2.4,W/m$\cdot$K,300,K
Ca3Co4O9,3.51,W/m$\cdot$K,300,K
Sr0.61Ba0.39Nb2O6,2.1717,W/m$\cdot$K,700,K
Na0.02Pb0.98Te0.75Se0.25,1.19643,W/m$\cdot$K,1000,K
CeFe4Sb12,1.703,W/m$\cdot$K,700,K
CaMnO3,1.67874,W/m$\cdot$K,1000,K
Tl2Cu2SnTe4,0.377,W/m$\cdot$K,300,K
Zn4Sb3,0.75,W/m$\cdot$K,700,K
In1.985Ge0.015O3,9.41949,W/m$\cdot$K,300,K
Ca0.7Tb0.3MnO3,1.465854004,W/m$\cdot$K,400,K
CaMn0.98Nb0.02O3,2.5,W/m$\cdot$K,300,K
Zr0.5Hf0.5NiSn,3.53,W/m$\cdot$K,400,K
SrNb0.15Ti0.85O3,3.078,W/m$\cdot$K,1000,K
Fe1.96Ti0.04O3,4.7,W/m$\cdot$K,700,K
Yb14MnSb11,0.844,W/m$\cdot$K,400,K
Mg2Si0.995Bi0.005,6.55,W/m$\cdot$K,300,K
Si0.8Ge0.2,2.56641,W/m$\cdot$K,700,K
La3Te3.35Sb0.65,1.36,W/m$\cdot$K,400,K
Zr0.25Hf0.25Ti0.5NiSn,3.254,W/m$\cdot$K,700,K
Na0.02Pb0.98Te,3.99643,W/m$\cdot$K,300,K
CaYb0.05Mn0.95O3,1.60159,W/m$\cdot$K,700,K
In1.994Ge0.006O3,3.48967,W/m$\cdot$K,1000,K
Sr3Ti1.6Nb0.4O7,4.96,W/m$\cdot$K,300,K
Zn0.995Al0.005O,13.525,W/m$\cdot$K,700,K
Zn4Sb3,0.76,W/m$\cdot$K,300,K
CuRh0.9Mg0.1O2,10.0099,W/m$\cdot$K,700,K
Fe1.96Sn0.04O3,6.17,W/m$\cdot$K,400,K
Ca3AlSb3,1.45,W/m$\cdot$K,300,K
Mo6Te7S,4.60973,W/m$\cdot$K,1000,K
Mg1.9Ca0.1Si,4.7,W/m$\cdot$K,400,K
Ca2.85Na0.15AlSb3,0.84,W/m$\cdot$K,700,K
Ba8Ga16Ge30,1.43,W/m$\cdot$K,1000,K
CaYb0.05Mn0.95O3,1.47173,W/m$\cdot$K,400,K
Mg2Si0.993Bi0.007,4.4,W/m$\cdot$K,700,K
Mo6Te7S,3.97842,W/m$\cdot$K,700,K
SrTi0.8Nb0.2O3,10.42,W/m$\cdot$K,300,K
CaMnO3,3.4447,W/m$\cdot$K,1000,K
CuCr0.98Mg0.02O2,4.833,W/m$\cdot$K,1000,K
Cu2Se,0.915,W/m$\cdot$K,700,K
Zn0.98Al0.02O,40.29,W/m$\cdot$K,300,K
Fe0.978Co0.00196Si1.96Y0.12O0.18,3.22,W/m$\cdot$K,1000,K
Li0.0024Ni0.9976O,11.391,W/m$\cdot$K,700,K
Ba0.8Sr0.2PbO3,3.30636,W/m$\cdot$K,400,K
NbCoSn,9.92664,W/m$\cdot$K,1000,K
Ti0.95Nb0.05NiSn,5.4917,W/m$\cdot$K,1000,K
La3Te3.65Sb0.35,1.98,W/m$\cdot$K,700,K
La0.95Sr0.05CoO3,1.8,W/m$\cdot$K,300,K
Ca0.98Bi0.02Mn0.98Nb0.02O3,1.73598,W/m$\cdot$K,1000,K
Fe0.978Co0.00196Si1.96Y0.12O0.18,2.96,W/m$\cdot$K,700,K
Mg2Si0.999Bi0.001,8.52,W/m$\cdot$K,300,K
Na0.02Pb0.98Te0.85Se0.15,1.18929,W/m$\cdot$K,1000,K
Cr1.3Mo6S8,2.1055,W/m$\cdot$K,400,K
Ca0.9Bi0.1Mn0.9Nb0.1O3,1.6869,W/m$\cdot$K,1000,K
Ca0.7Ho0.3MnO3,2.143851851,W/m$\cdot$K,300,K
SrNd0.17Ti0.83O3,6.19,W/m$\cdot$K,300,K
Mg1.9Ca0.1Si,3.8,W/m$\cdot$K,700,K
Ti0.95Nb0.05NiSn,6.9595,W/m$\cdot$K,300,K
Zr0.99Nb0.01NiSn,8.2117,W/m$\cdot$K,400,K
Ca3Co4O9,1.9,W/m$\cdot$K,400,K
CaMnO3,16.23,W/m$\cdot$K,300,K
Zr0.5Hf0.5NiSn1.994Sb0.006,2.645541521,W/m$\cdot$K,400,K
CaGd0.94Mn0.06O3,2.84951,W/m$\cdot$K,300,K
Cu2Se,1.04,W/m$\cdot$K,400,K
Mg2Si,3.25,W/m$\cdot$K,700,K
Ba0.6Sr0.4PbO3,2.30636,W/m$\cdot$K,300,K
Ti0.99Nb0.01NiSn,6.2917,W/m$\cdot$K,1000,K
CaMn0.96Ru0.04O3,2.88165,W/m$\cdot$K,1000,K
ZrNiSn0.98Sb0.02,7.95,W/m$\cdot$K,400,K
CeFe3CoSb12,1.37,W/m$\cdot$K,300,K
Ca2Co2O5,2.6,W/m$\cdot$K,700,K
Ba8Ga16Ge30,1.62,W/m$\cdot$K,700,K
Zr0.95Nb0.05NiSn,8.2117,W/m$\cdot$K,400,K
Mg2Si,3.05,W/m$\cdot$K,700,K
CuCr0.97Mg0.03O2,4.7763,W/m$\cdot$K,1000,K
CaMnO3,2.16539,W/m$\cdot$K,700,K
Fe1.3Mo6S8,1.8524,W/m$\cdot$K,400,K
Mg2Si0.6Ge0.4Bi0.02,1.94,W/m$\cdot$K,700,K
Sr1.6La0.4Nb2O7,1.8,W/m$\cdot$K,300,K
Ba0.3Sr0.6La0.1TiO3,4.07,W/m$\cdot$K,300,K
NbCo1.10Sn,5.83,W/m$\cdot$K,400,K
Ca2.94Na0.06AlSb3,0.86,W/m$\cdot$K,700,K
Si0.7956Ge0.1989P0.0055,3.66568,W/m$\cdot$K,1000,K
Zr0.5Hf0.5NiSn1.998Sb0.002,2.887113404,W/m$\cdot$K,300,K
Ca0.9Y0.1MnO3,1.482392228,W/m$\cdot$K,400,K
Pb0.98TeNa0.02,1.44E+00,W/m$\cdot$K,700,K
WO2.722,7.817,W/m$\cdot$K,400,K
TiNiSn,4.5516,W/m$\cdot$K,700,K
Ca2.85Na0.15AlSb3,1.24,W/m$\cdot$K,400,K
Zn0.99Al0.01O,8.25,W/m$\cdot$K,1000,K
Ag0.15Sb0.15Te1.15Ge0.85,1.49875,W/m$\cdot$K,300,K
Ba8Ga16Ge30,2,W/m$\cdot$K,400,K
In0.15Co4Sb12,1.86154,W/m$\cdot$K,700,K
Ca0.7Tb0.3MnO3,1.680820436,W/m$\cdot$K,1000,K
NaCo2O4,19.08,W/m$\cdot$K,300,K
NbCoSn,7.9584,W/m$\cdot$K,400,K
Ba0.8Sr0.2PbO3,2.74566,W/m$\cdot$K,300,K
Ba7SrAl16Si30,2.31,W/m$\cdot$K,300,K
Sr0.147Ga0.298Ge0.555,1.216,W/m$\cdot$K,300,K
Ca4.75Na0.25Al2Sb6,1.45,W/m$\cdot$K,300,K
Sr0.61Ba0.39Nb2O6,1.667,W/m$\cdot$K,300,K
Li0.0024Ni0.9976O,16.1715,W/m$\cdot$K,400,K
BaPbO3,3.78035,W/m$\cdot$K,300,K
Ca4.75Na0.25Al2Sb6,0.703,W/m$\cdot$K,1000,K
Nd2Cu0.98Ni0.02O4,5.25,W/m$\cdot$K,700,K
In0.1Co4Sb12,1.74246,W/m$\cdot$K,700,K
Mg2Si0.98Bi0.02,3.6,W/m$\cdot$K,700,K
Zr0.25Hf0.25Ti0.5NiSn,3.0626,W/m$\cdot$K,300,K
In0.15Co4Sb12,1.99464,W/m$\cdot$K,400,K
Fe0.978Co0.00196Si1.96Y0.12O0.18,2.64,W/m$\cdot$K,400,K
CuCr0.97Mg0.03O2,7.1396,W/m$\cdot$K,300,K
In1.985Ge0.015O3,3.53581,W/m$\cdot$K,1000,K
NaCo2O4,1.834,W/m$\cdot$K,400,K
WO2.9,3.1764,W/m$\cdot$K,400,K
Ca4.95Na0.05Al2Sb6,1.49,W/m$\cdot$K,300,K
Mg2Si0.999Bi0.001,5.7,W/m$\cdot$K,400,K
Mg2Si0.6Ge0.4Ag0.02,4.11,W/m$\cdot$K,300,K
Ca2.94Na0.06AlSb3,0.698,W/m$\cdot$K,1000,K
Zr0.5Hf0.5NiSn1.994Sb0.006,2.766860566,W/m$\cdot$K,300,K
Cu1.98Se,1.45,W/m$\cdot$K,700,K
CaGd0.96Mn0.04O3,1.34638,W/m$\cdot$K,700,K
Ca0.7Ho0.3MnO3,1.524264065,W/m$\cdot$K,400,K
CaMn0.96Ru0.04O3,3.75786,W/m$\cdot$K,400,K
ZnO,14.65,W/m$\cdot$K,700,K
Bi2Sr2Co2O8,2.18498,W/m$\cdot$K,300,K
Mg2Si0.6Ge0.4Bi0.02,2.62,W/m$\cdot$K,400,K
CuCr0.99Mg0.01O2,6.9663,W/m$\cdot$K,300,K
SrDy0.08Ti0.92O3,3.74,W/m$\cdot$K,400,K
CuCr0.97Mg0.03O2,5.6659,W/m$\cdot$K,700,K
Mg2Si0.98Ag0.02,3.16,W/m$\cdot$K,1000,K
Bi2Sr2Co2O8,1.9731,W/m$\cdot$K,1000,K
CuCr0.96Mg0.04O2,8.7669,W/m$\cdot$K,400,K
Mo6Te6S2,2.37444,W/m$\cdot$K,400,K
Ca2.7Na0.3Co4O9,1.9,W/m$\cdot$K,400,K
Ca0.9Bi0.1MnO3,1.8414,W/m$\cdot$K,1000,K
CeFe4Sb12,1.57,W/m$\cdot$K,400,K
In0.2Co4Sb12,2.21377,W/m$\cdot$K,400,K
Tl0.02Pb0.98Te,1.0099,W/m$\cdot$K,700,K
In1.998Ge0.002O3,2.93072,W/m$\cdot$K,1000,K
Mg2Si0.98Bi0.02,5.63,W/m$\cdot$K,400,K
Sr0.61Ba0.39Nb2O6,1.667,W/m$\cdot$K,300,K
SrNd0.24Ti0.76O3,5.98,W/m$\cdot$K,300,K
ZrNiSn,6.6417,W/m$\cdot$K,1000,K
TiNiSn,5.1951,W/m$\cdot$K,400,K
LaCoO3,1.87927,W/m$\cdot$K,300,K
Zn4Sb3,1.01,W/m$\cdot$K,300,K
Si0.7956Ge0.1989P0.0055,4.22929,W/m$\cdot$K,400,K
Nd2Cu0.98Zn0.02O4,17.1,W/m$\cdot$K,300,K
Zr0.35Hf0.35Ti0.3NiSn,3.17,W/m$\cdot$K,300,K
La3Te3.65Sb0.35,1.85,W/m$\cdot$K,1000,K
Zn4Sb3,0.743,W/m$\cdot$K,700,K
Ba0.3Sr0.6La0.1TiO3,3.36,W/m$\cdot$K,400,K
La2.74Te4,1.24,W/m$\cdot$K,300,K
CaYb0.1Mn0.9O3,1.58304,W/m$\cdot$K,1000,K
CaGd0.96Mn0.04O3,1.6149,W/m$\cdot$K,400,K
Ba8Au5.14Si39.51,1.61,W/m$\cdot$K,400,K
Zr0.4Hf0.4Ti0.2NiSn,3.814,W/m$\cdot$K,300,K
Mo3Te4,5.29114,W/m$\cdot$K,1000,K
Mg2Si0.98Bi0.02,7.13,W/m$\cdot$K,300,K
La3Te3.8Sb0.2,2.66,W/m$\cdot$K,1000,K
Ba8Au6.10Si38.97,2.95,W/m$\cdot$K,700,K
La2.74Te4,1.17,W/m$\cdot$K,400,K
Mg2Si0.9985Bi0.0015,3.29,W/m$\cdot$K,700,K
Ca3Co4O9,1.75,W/m$\cdot$K,1000,K
Ca0.9Tb0.1MnO3,1.571097028,W/m$\cdot$K,400,K
Mg2Si0.98Ag0.02,7.83,W/m$\cdot$K,300,K
CaYb0.15Mn0.85O3,1.66961,W/m$\cdot$K,700,K
CuCr0.99Mg0.01O2,5.7042,W/m$\cdot$K,700,K
Pb1.8S1.8Ti2S4,2.9,W/m$\cdot$K,300,K
Nd2Cu0.98Zn0.02O4,11.1,W/m$\cdot$K,400,K
SrNd0.24Ti0.76O3,3.22,W/m$\cdot$K,1000,K
Ca2Co2O5,2.9,W/m$\cdot$K,1000,K
Mg2Si0.6Ge0.4Bi0.02,2.98,W/m$\cdot$K,300,K
Si0.79936Ge0.19984B0.0008,3.81657,W/m$\cdot$K,700,K
Nd2Cu0.98Zn0.02O4,5.22,W/m$\cdot$K,700,K
ZnO,48.7,W/m$\cdot$K,300,K
In1.8Ge0.2O3,1.63073,W/m$\cdot$K,1000,K
Ca0.9Y0.1MnO3,1.488878233,W/m$\cdot$K,300,K
NbCo1.05Sn,7.00955,W/m$\cdot$K,400,K
SrNd0.2Ti0.8O3,3.45,W/m$\cdot$K,700,K
Cr1.3Mo6S8,1.9384,W/m$\cdot$K,300,K
Ba8Au5.59Si39.01,1.77,W/m$\cdot$K,300,K
In1.994Ge0.006O3,4.58432,W/m$\cdot$K,700,K
Ba8Ga16Ge30,1.52,W/m$\cdot$K,300,K
Pb0.97Sr0.02TeNa0.01,3.07E+00,W/m$\cdot$K,300,K
La3Te3.65Sb0.35,2.06,W/m$\cdot$K,400,K
CaMnO3,3.1783,W/m$\cdot$K,400,K
Pb0.98TeNa0.02,3.18E+00,W/m$\cdot$K,400,K
Ca2.4Na0.3Bi0.3Co4O9,2,W/m$\cdot$K,300,K
CaYb0.15Mn0.85O3,1.57067,W/m$\cdot$K,400,K
Ca0.9Ho0.1MnO3,1.470944215,W/m$\cdot$K,1000,K
NbCo1.10Sn,6.23152,W/m$\cdot$K,700,K
Mg2Si0.995Bi0.005,5.41,W/m$\cdot$K,400,K
NbCo1.10Sn,5.80227,W/m$\cdot$K,300,K
In0.3Co4Sb12,2.15872,W/m$\cdot$K,400,K
Nd2CuO4,4.19,W/m$\cdot$K,700,K
Ca4.95Na0.05Al2Sb6,1.2,W/m$\cdot$K,400,K
Ti0.98Nb0.02NiSn,5.975,W/m$\cdot$K,1000,K
CuCrO2,3.7083,W/m$\cdot$K,1000,K
Ca0.9Yb0.1MnO3,1.58808,W/m$\cdot$K,1000,K
Ba8Ga18Ge28,1.5,W/m$\cdot$K,300,K
Sr3Ti1.6Nb0.4O7,2.72,W/m$\cdot$K,700,K
Zr0.5Hf0.5NiSn,3.274,W/m$\cdot$K,700,K
Zr0.95Nb0.05NiSn,8.8594,W/m$\cdot$K,300,K
Ba8Ga16Ge30,1.26,W/m$\cdot$K,1000,K
NaCo2O4,13.53,W/m$\cdot$K,400,K
Ba8Ga16Ge30,2,W/m$\cdot$K,300,K
Mg2Si0.997Bi0.003,4.76,W/m$\cdot$K,400,K
TiNiSn,6.4417,W/m$\cdot$K,1000,K
Ag9TlTe5,0.21,W/m$\cdot$K,400,K
Ca2Co2O5,2.35,W/m$\cdot$K,400,K
Sr0.61Ba0.39Nb2O6,2.1717,W/m$\cdot$K,700,K
In1.94Ge0.06O3,3.89999,W/m$\cdot$K,700,K
Pb0.94Sr0.04TeNa0.02,2.85E+00,W/m$\cdot$K,300,K
In0.25Co4Sb12,2.26473,W/m$\cdot$K,400,K
Ca0.96Bi0.04Mn0.96Nb0.04O3,2.2675,W/m$\cdot$K,300,K
WO2.9,3.4727,W/m$\cdot$K,700,K
Ca0.98Bi0.02Mn0.98Nb0.02O3,2.27454,W/m$\cdot$K,400,K
Zr0.5Hf0.5NiSn1.998Sb0.002,2.712932995,W/m$\cdot$K,400,K
CeFe3.5Co0.5Sb14,2.49,W/m$\cdot$K,700,K
SrTi0.8Nb0.2O3,4.92,W/m$\cdot$K,700,K
NaCo2O4,2.093,W/m$\cdot$K,700,K
CuCrO2,4.8843,W/m$\cdot$K,700,K
Zr0.5Hf0.5NiSn,3.113096927,W/m$\cdot$K,700,K
La2.74Te4,0.893,W/m$\cdot$K,1000,K
Bi1.2S1.2Ti2S4,2.41,W/m$\cdot$K,400,K
Mn1.3Mo6S8,2.8822,W/m$\cdot$K,1000,K
Zn0.99Al0.01O,13.525,W/m$\cdot$K,700,K
CuCr0.99Mg0.01O2,6.4029,W/m$\cdot$K,400,K
La3Te3.8Sb0.2,2.402,W/m$\cdot$K,300,K
Ca2.7Bi0.3Co4O9,2,W/m$\cdot$K,700,K
In0.05Co4Sb12,1.56386,W/m$\cdot$K,700,K
CaMn0.98Nb0.02O3,2.07513,W/m$\cdot$K,400,K
Ba8Ga16Ge30,2,W/m$\cdot$K,700,K
CuCr0.95Mg0.05O2,9.0158,W/m$\cdot$K,400,K
Zn0.9975Al0.0025O,2.78,W/m$\cdot$K,300,K
Ag0.15Sb0.15Te1.15Ge0.85,1.53108,W/m$\cdot$K,400,K
In1.9Ge0.1O3,3.24419,W/m$\cdot$K,700,K
Zr0.4Hf0.4Ti0.2NiSn,3.345,W/m$\cdot$K,400,K
Li0.0242Ni0.9758O,3.75078,W/m$\cdot$K,400,K
Ca0.7Tb0.3MnO3,2.170001556,W/m$\cdot$K,300,K
TiNiSn,7.72,W/m$\cdot$K,300,K
Ba8Ga16Ge30,1.56,W/m$\cdot$K,700,K
Fe1.94Ti0.06O3,3.35,W/m$\cdot$K,1000,K
Zn4Sb3,0.743,W/m$\cdot$K,400,K
In1.9Ge0.1O3,6.84738,W/m$\cdot$K,300,K
Yb14MnSb11,0.84,W/m$\cdot$K,300,K
BaPbO3,5.11561,W/m$\cdot$K,700,K
In0.05Co4Sb12,2.08661,W/m$\cdot$K,300,K
SrNd0.24Ti0.76O3,5.29,W/m$\cdot$K,400,K
CaMn0.98Nb0.02O3,1.63069,W/m$\cdot$K,700,K
AgCrSe2,0.3998,W/m$\cdot$K,400,K
Ba0.6Sr0.4PbO3,2.44509,W/m$\cdot$K,700,K
Sb2Te3,3.377777778,W/m$\cdot$K,300,K
In0.2Co4Sb12,2.08031,W/m$\cdot$K,400,K
Mn1.3Mo6S8,2.3532,W/m$\cdot$K,700,K
In0.3Co4Sb12,2.014,W/m$\cdot$K,700,K
Ca0.9Y0.1MnO3,1.629157717,W/m$\cdot$K,1000,K
Ca3Co4O9,2,W/m$\cdot$K,300,K
Ca0.9Tb0.1MnO3,1.84225,W/m$\cdot$K,1000,K
ZrNiSn0.98Sb0.02,8.5,W/m$\cdot$K,300,K
Sr0.9Y0.1TiO3,5,W/m$\cdot$K,700,K
Fe0.998Co0.002Si2,5.34,W/m$\cdot$K,400,K
Fe1.96Sn0.04O3,4.22,W/m$\cdot$K,700,K
Ca0.9Yb0.1MnO3,1.60943,W/m$\cdot$K,700,K
Fe1.96Sn0.04O3,6.84,W/m$\cdot$K,300,K
Na0.02Pb0.98Te0.75Se0.25,2.69643,W/m$\cdot$K,300,K
Fe0.978Co0.00196Si1.96Y0.04O0.06,4.09,W/m$\cdot$K,400,K
Tl0.01Pb0.99Te,1.9421,W/m$\cdot$K,300,K
LaFe3CoSb12,1.57,W/m$\cdot$K,700,K
Mg1.95Ca0.05Si,5.6,W/m$\cdot$K,300,K
SrNd0.2Ti0.8O3,4.83,W/m$\cdot$K,400,K
Ca0.96Bi0.04Mn0.96Nb0.04O3,1.8785,W/m$\cdot$K,700,K
Ca2.97Na0.03AlSb3,1.24,W/m$\cdot$K,400,K
Ca2.7Bi0.3Co4O9,1.9,W/m$\cdot$K,400,K
Cu2Se,0.97,W/m$\cdot$K,300,K
Ca4.75Na0.25Al2Sb6,1.16,W/m$\cdot$K,400,K
Sr0.9Y0.1TiO3,7,W/m$\cdot$K,300,K
In1.9Ge0.1O3,5.09141,W/m$\cdot$K,400,K
Ca0.9Y0.1MnO3,1.600767692,W/m$\cdot$K,700,K
Mg1.95Ca0.05Si,4.9,W/m$\cdot$K,400,K
Sm1.7Ca0.3MnO3,1.1,W/m$\cdot$K,300,K
Cu2Se,0.745,W/m$\cdot$K,1000,K
Mn1.3Mo6S8,1.4323,W/m$\cdot$K,300,K
Ti0.98Nb0.02NiSn,6.3283,W/m$\cdot$K,400,K
Ca3Co4O9,3.444,W/m$\cdot$K,400,K
Sr2Ti0.8Nb0.2O4,1.92,W/m$\cdot$K,1000,K
Zr0.98Nb0.02NiSn,8.6783,W/m$\cdot$K,400,K
Sn1.2S1.2Ti2S4,1.69,W/m$\cdot$K,700,K
In2O3,2.97623,W/m$\cdot$K,1000,K
Ti0.99Nb0.01NiSn,4.8184,W/m$\cdot$K,700,K
Fe1.94Ti0.06O3,6.39,W/m$\cdot$K,300,K
TlTiPS5,0.783,W/m$\cdot$K,300,K
In0.3Co4Sb12,2.68777,W/m$\cdot$K,300,K
WO2.9,3.601,W/m$\cdot$K,1000,K
La3Te3.8Sb0.2,2.72,W/m$\cdot$K,700,K
Si0.79936Ge0.19984B0.0008,3.59911,W/m$\cdot$K,1000,K
Mg2Si0.98Ag0.02,6.06,W/m$\cdot$K,400,K
Mo6Te7S,3.09729,W/m$\cdot$K,400,K
Ca5Al2Sb6,0.764,W/m$\cdot$K,700,K
NaCo2O4,2.2237,W/m$\cdot$K,1000,K
Cu4.0Mo6S8,1.7908,W/m$\cdot$K,700,K
Zn4Sb3,0.74,W/m$\cdot$K,700,K
Zr0.5Hf0.5NiSn1.998Sb0.002,2.946859925,W/m$\cdot$K,700,K
Ca0.9Ho0.1MnO3,1.545616006,W/m$\cdot$K,400,K
Cu4.0Mo6S8,1.4306,W/m$\cdot$K,400,K
La3Te3.35Sb0.65,1.47,W/m$\cdot$K,300,K
Tl0.01Pb0.99Te,0.965347,W/m$\cdot$K,700,K
La3Te3.65Sb0.35,2.05,W/m$\cdot$K,300,K
Ag0.15Sb0.15Te1.15Ge0.85,2.27167,W/m$\cdot$K,1000,K
CuCr0.96Mg0.04O2,7.9727,W/m$\cdot$K,700,K
Ba8Ga18Ge28,1.4,W/m$\cdot$K,400,K
ZrNiSn,10.1428,W/m$\cdot$K,300,K
Pb0.94Sr0.04TeNa0.02,9.80E-01,W/m$\cdot$K,1000,K
In1.8Ge0.2O3,1.83597,W/m$\cdot$K,700,K
TiNiSn,7.71,W/m$\cdot$K,1000,K
La2.99Te4,2.46,W/m$\cdot$K,300,K
Ba7SrAl16Si30,2.57,W/m$\cdot$K,1000,K
CuCrO2,6.5859,W/m$\cdot$K,300,K
Mg2Si0.995Bi0.005,4.29,W/m$\cdot$K,700,K
Zr0.98Nb0.02NiSn,10.0594,W/m$\cdot$K,300,K
Fe1.96Ti0.04O3,6.87,W/m$\cdot$K,400,K
Fe0.978Co0.00196Si1.96Y0.04O0.06,3.95,W/m$\cdot$K,700,K
Si0.8Ge0.2,2.44922,W/m$\cdot$K,300,K
Na0.02Pb0.98Te,1.39286,W/m$\cdot$K,700,K
Zn0.99Al0.01O,30.21,W/m$\cdot$K,400,K
Zn0.9975Al0.0025O,2.687,W/m$\cdot$K,400,K
Fe0.978Co0.00196Si1.96Y0.04O0.06,4.59,W/m$\cdot$K,300,K
Ca0.9Tb0.1MnO3,1.48358962,W/m$\cdot$K,300,K
Zr0.98Nb0.02NiSn,6.2083,W/m$\cdot$K,1000,K
SrDy0.08Ti0.92O3,2.97,W/m$\cdot$K,1000,K
Fe0.998Co0.002Si2,4.9,W/m$\cdot$K,700,K
Pb0.94Sr0.04TeNa0.02,1.18E+00,W/m$\cdot$K,700,K
Sr0.146Ga0.285Ge0.569,1.06,W/m$\cdot$K,300,K
Zr0.99Nb0.01NiSn,9.6761,W/m$\cdot$K,300,K
SrNd0.17Ti0.83O3,3.87,W/m$\cdot$K,700,K
Si0.7956Ge0.1989P0.0055,4.13947,W/m$\cdot$K,300,K
AgCrSe2,0.2056,W/m$\cdot$K,700,K
CuCr0.96Mg0.04O2,9.2934,W/m$\cdot$K,300,K
Mg2Si0.98Ag0.02,3.67,W/m$\cdot$K,700,K
NbCoSn,9.74108,W/m$\cdot$K,700,K
Zr0.5Hf0.5NiSn,3.948955807,W/m$\cdot$K,300,K
Zn4Sb3,0.74,W/m$\cdot$K,400,K
Mg2Si0.6Ge0.4Bi0.02,1.73,W/m$\cdot$K,1000,K
Fe1.96Sn0.04O3,3.08,W/m$\cdot$K,1000,K
Ca2.7Na0.3Co4O9,2,W/m$\cdot$K,300,K
In0.2Co4Sb12,1.9414,W/m$\cdot$K,700,K
Tl0.02Pb0.98Te,1.65594,W/m$\cdot$K,400,K
In0.15Co4Sb12,2.29861,W/m$\cdot$K,300,K
Ba0.4Sr0.6PbO3,2.13295,W/m$\cdot$K,400,K
In0.1Co4Sb12,1.90897,W/m$\cdot$K,400,K
Pb0.97Sr0.02TeNa0.01,1.03E+00,W/m$\cdot$K,700,K
CaMnO3,2.9898,W/m$\cdot$K,300,K
Si0.79936Ge0.19984B0.0008,4.33976,W/m$\cdot$K,300,K
CoSb3,13,W/mK,Standard,"[{'name': 'Temperature', 'scalars': [{'value': 'Standard'}]}, {'name': 'Pressure', 'scalars': [{'value': 'Standard'}]}]"
Bi2Te3,2,W/mK,Standard,"[{'name': 'Temperature', 'scalars': [{'value': 'Standard'}]}, {'name': 'Pressure', 'scalars': [{'value': 'Standard'}]}]"
PbTe,1.91,W/mK,Standard,"[{'name': 'Temperature', 'scalars': [{'value': 'Standard'}]}, {'name': 'Pressure', 'scalars': [{'value': 'Standard'}]}]"
SiGe,7.1,W/mK,Standard,"[{'name': 'Temperature', 'scalars': [{'value': 'Standard'}]}, {'name': 'Pressure', 'scalars': [{'value': 'Standard'}]}]"
BiSbTe3,0.5,W/mK,Standard,"[{'name': 'Temperature', 'scalars': [{'value': 'Standard'}]}, {'name': 'Pressure', 'scalars': [{'value': 'Standard'}]}]"
CeFe4Sb12,15,W/mK,Standard,"[{'name': 'Temperature', 'scalars': [{'value': 'Standard'}]}, {'name': 'Pressure', 'scalars': [{'value': 'Standard'}]}]"
Sb2Te3,0.75,W/mK,Standard,"[{'name': 'Temperature', 'scalars': [{'value': 'Standard'}]}, {'name': 'Pressure', 'scalars': [{'value': 'Standard'}]}]"
Yb14MnSb11,1.1,W/mK,Standard,"[{'name': 'Temperature', 'scalars': [{'value': 'Standard'}]}, {'name': 'Pressure', 'scalars': [{'value': 'Standard'}]}]"
TiO2,0.44,W\m K,Room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'Room temperature'}]}]"
TiO2,0.38,W\m K,Room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'Room temperature'}]}]"
TiO2,0.53,W\m K,Room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'Room temperature'}]}]"
TiO2,0.34,W\m K,Room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'Room temperature'}]}]"
TiO2,1.11,W\m K,Room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'Room temperature'}]}]"
TiO2,0.38,W\m K,Room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'Room temperature'}]}]"
TiO2,0.59,W\m K,Room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'Room temperature'}]}]"
TiO2,1.29,W\m K,Room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'Room temperature'}]}]"
TiO2,1.05,W\m K,Room temperature,"[{'name': 'Temperature', 'scalars': [{'value': 'Room temperature'}]}]"
