formula,system,processing,phase,gfa
Co29.387000Fe59.177000Zr11.436000,CoFeZr,sputtering,CR,0
Co30.416000Fe57.325000Zr12.259000,CoFeZr,sputtering,CR,0
Co31.413000Fe55.467000Zr13.120000,CoFeZr,sputtering,CR,0
Co32.369000Fe53.615000Zr14.016000,CoFeZr,sputtering,CR,0
Co33.282000Fe51.769000Zr14.949000,CoFeZr,sputtering,CR,0
Co34.144000Fe49.940000Zr15.915000,CoFeZr,sputtering,CR,0
Co34.953000Fe48.132000Zr16.915000,CoFeZr,sputtering,CR,0
Co35.705000Fe46.345000Zr17.950000,CoFeZr,sputtering,CR,0
Co36.394000Fe44.590000Zr19.016000,CoFeZr,sputtering,CR,0
Co37.020000Fe42.866000Zr20.114000,CoFeZr,sputtering,CR,0
Co21.622000Fe72.633000Zr5.745000,CoFeZr,sputtering,CR,0
Co22.755000Fe71.013000Zr6.231000,CoFeZr,sputtering,CR,0
Co23.905000Fe69.343000Zr6.752000,CoFeZr,sputtering,CR,0
Co25.062000Fe67.634000Zr7.304000,CoFeZr,sputtering,CR,0
Co26.221000Fe65.888000Zr7.890000,CoFeZr,sputtering,CR,0
Co27.380000Fe64.108000Zr8.512000,CoFeZr,sputtering,CR,0
Co28.528000Fe62.305000Zr9.167000,CoFeZr,sputtering,CR,0
Co29.663000Fe60.480000Zr9.857000,CoFeZr,sputtering,CR,0
Co30.775000Fe58.645000Zr10.581000,CoFeZr,sputtering,CR,0
Co31.859000Fe56.802000Zr11.339000,CoFeZr,sputtering,CR,0
Co32.912000Fe54.956000Zr12.132000,CoFeZr,sputtering,CR,0
Co33.925000Fe53.119000Zr12.957000,CoFeZr,sputtering,CR,0
Co34.895000Fe51.289000Zr13.816000,CoFeZr,sputtering,CR,0
Co35.814000Fe49.479000Zr14.707000,CoFeZr,sputtering,CR,0
Co36.679000Fe47.692000Zr15.629000,CoFeZr,sputtering,CR,0
Co37.488000Fe45.927000Zr16.584000,CoFeZr,sputtering,CR,0
Co38.234000Fe44.197000Zr17.568000,CoFeZr,sputtering,CR,0
Co23.811000Fe70.408000Zr5.782000,CoFeZr,sputtering,CR,0
Co25.011000Fe68.728000Zr6.261000,CoFeZr,sputtering,CR,0
Co26.219000Fe67.011000Zr6.769000,CoFeZr,sputtering,CR,0
Co27.431000Fe65.260000Zr7.309000,CoFeZr,sputtering,CR,0
Co28.643000Fe63.477000Zr7.880000,CoFeZr,sputtering,CR,0
Co29.844000Fe61.674000Zr8.482000,CoFeZr,sputtering,CR,0
Co31.033000Fe59.851000Zr9.117000,CoFeZr,sputtering,CR,0
Co32.199000Fe58.020000Zr9.781000,CoFeZr,sputtering,CR,0
Co33.338000Fe56.185000Zr10.477000,CoFeZr,sputtering,CR,0
Co34.446000Fe54.349000Zr11.205000,CoFeZr,sputtering,CR,0
Co35.513000Fe52.523000Zr11.963000,CoFeZr,sputtering,CR,0
Co36.539000Fe50.708000Zr12.753000,CoFeZr,sputtering,CR,0
Co37.513000Fe48.916000Zr13.571000,CoFeZr,sputtering,CR,0
Co38.435000Fe47.147000Zr14.418000,CoFeZr,sputtering,CR,0
Co39.299000Fe45.404000Zr15.297000,CoFeZr,sputtering,CR,0
Co26.157000Fe68.040000Zr5.803000,CoFeZr,sputtering,CR,0
Co27.416000Fe66.313000Zr6.271000,CoFeZr,sputtering,CR,0
Co28.680000Fe64.554000Zr6.766000,CoFeZr,sputtering,CR,0
Co29.943000Fe62.766000Zr7.291000,CoFeZr,sputtering,CR,0
Co31.197000Fe60.960000Zr7.843000,CoFeZr,sputtering,CR,0
Co32.438000Fe59.137000Zr8.425000,CoFeZr,sputtering,CR,0
Co33.657000Fe57.308000Zr9.035000,CoFeZr,sputtering,CR,0
Co34.849000Fe55.479000Zr9.672000,CoFeZr,sputtering,CR,0
Co36.011000Fe53.650000Zr10.339000,CoFeZr,sputtering,CR,0
Co37.132000Fe51.835000Zr11.033000,CoFeZr,sputtering,CR,0
Co38.211000Fe50.033000Zr11.756000,CoFeZr,sputtering,CR,0
Co39.240000Fe48.255000Zr12.506000,CoFeZr,sputtering,CR,0
Co40.215000Fe46.504000Zr13.282000,CoFeZr,sputtering,CR,0
Co29.965000Fe63.773000Zr6.261000,CoFeZr,sputtering,CR,0
Co31.280000Fe61.978000Zr6.742000,CoFeZr,sputtering,CR,0
Co32.584000Fe60.167000Zr7.248000,CoFeZr,sputtering,CR,0
Co33.877000Fe58.342000Zr7.781000,CoFeZr,sputtering,CR,0
Co35.146000Fe56.515000Zr8.339000,CoFeZr,sputtering,CR,0
Co36.390000Fe54.689000Zr8.922000,CoFeZr,sputtering,CR,0
Co37.603000Fe52.866000Zr9.531000,CoFeZr,sputtering,CR,0
Co38.776000Fe51.059000Zr10.165000,CoFeZr,sputtering,CR,0
Co39.907000Fe49.268000Zr10.825000,CoFeZr,sputtering,CR,0
Co20.813000Ti41.379000Zr37.808000,CoTiZr,sputtering,CR,0
Co23.310000Ti44.434000Zr32.256000,CoTiZr,sputtering,CR,0
Co23.223000Ti43.254000Zr33.523000,CoTiZr,sputtering,CR,0
Co23.125000Ti42.097000Zr34.778000,CoTiZr,sputtering,CR,0
Co23.018000Ti40.967000Zr36.015000,CoTiZr,sputtering,CR,0
Co22.906000Ti39.865000Zr37.229000,CoTiZr,sputtering,CR,0
Co22.792000Ti38.796000Zr38.412000,CoTiZr,sputtering,CR,0
Co22.681000Ti37.763000Zr39.556000,CoTiZr,sputtering,CR,0
Co22.577000Ti36.770000Zr40.653000,CoTiZr,sputtering,CR,0
Co22.484000Ti35.821000Zr41.695000,CoTiZr,sputtering,CR,0
Co25.764000Ti45.199000Zr29.037000,CoTiZr,sputtering,CR,0
Co25.706000Ti43.995000Zr30.299000,CoTiZr,sputtering,CR,0
Co25.626000Ti42.811000Zr31.564000,CoTiZr,sputtering,CR,0
Co25.526000Ti41.646000Zr32.828000,CoTiZr,sputtering,CR,0
Co25.411000Ti40.504000Zr34.086000,CoTiZr,sputtering,CR,0
Co25.283000Ti39.385000Zr35.332000,CoTiZr,sputtering,CR,0
Co25.146000Ti38.291000Zr36.563000,CoTiZr,sputtering,CR,0
Co25.003000Ti37.226000Zr37.770000,CoTiZr,sputtering,CR,0
Co24.859000Ti36.193000Zr38.948000,CoTiZr,sputtering,CR,0
Co24.716000Ti35.194000Zr40.091000,CoTiZr,sputtering,CR,0
Co24.578000Ti34.232000Zr41.190000,CoTiZr,sputtering,CR,0
Co24.450000Ti33.311000Zr42.239000,CoTiZr,sputtering,CR,0
Co24.336000Ti32.433000Zr43.231000,CoTiZr,sputtering,CR,0
Co28.299000Ti44.628000Zr27.074000,CoTiZr,sputtering,CR,0
Co28.260000Ti43.433000Zr28.307000,CoTiZr,sputtering,CR,0
Co28.193000Ti42.256000Zr29.552000,CoTiZr,sputtering,CR,0
Co28.100000Ti41.096000Zr30.803000,CoTiZr,sputtering,CR,0
Co27.985000Ti39.956000Zr32.059000,CoTiZr,sputtering,CR,0
Co27.850000Ti38.836000Zr33.314000,CoTiZr,sputtering,CR,0
Co27.699000Ti37.738000Zr34.564000,CoTiZr,sputtering,CR,0
Co27.534000Ti36.662000Zr35.804000,CoTiZr,sputtering,CR,0
Co27.360000Ti35.612000Zr37.028000,CoTiZr,sputtering,CR,0
Co27.178000Ti34.589000Zr38.233000,CoTiZr,sputtering,CR,0
Co26.994000Ti33.595000Zr39.411000,CoTiZr,sputtering,CR,0
Co26.809000Ti32.633000Zr40.558000,CoTiZr,sputtering,CR,0
Co26.627000Ti31.705000Zr41.668000,CoTiZr,sputtering,CR,0
Co26.452000Ti30.812000Zr42.735000,CoTiZr,sputtering,CR,0
Co26.287000Ti29.958000Zr43.755000,CoTiZr,sputtering,CR,0
Co30.976000Ti43.906000Zr25.118000,CoTiZr,sputtering,CR,0
Co30.962000Ti42.729000Zr26.309000,CoTiZr,sputtering,CR,0
Co30.915000Ti41.569000Zr27.516000,CoTiZr,sputtering,CR,0
Co30.836000Ti40.426000Zr28.738000,CoTiZr,sputtering,CR,0
Co30.729000Ti39.300000Zr29.971000,CoTiZr,sputtering,CR,0
Co30.595000Ti38.192000Zr31.212000,CoTiZr,sputtering,CR,0
Co30.439000Ti37.103000Zr32.458000,CoTiZr,sputtering,CR,0
Co30.262000Ti36.034000Zr33.705000,CoTiZr,sputtering,CR,0
Co30.068000Ti34.985000Zr34.947000,CoTiZr,sputtering,CR,0
Co29.859000Ti33.959000Zr36.183000,CoTiZr,sputtering,CR,0
Co29.639000Ti32.956000Zr37.406000,CoTiZr,sputtering,CR,0
Co29.410000Ti31.978000Zr38.612000,CoTiZr,sputtering,CR,0
Co29.175000Ti31.028000Zr39.797000,CoTiZr,sputtering,CR,0
Co28.938000Ti30.106000Zr40.956000,CoTiZr,sputtering,CR,0
Co28.700000Ti29.213000Zr42.086000,CoTiZr,sputtering,CR,0
Co28.465000Ti28.352000Zr43.183000,CoTiZr,sputtering,CR,0
Co28.234000Ti27.522000Zr44.244000,CoTiZr,sputtering,CR,0
Co33.786000Ti43.024000Zr23.191000,CoTiZr,sputtering,AM,1
Co33.802000Ti41.872000Zr24.327000,CoTiZr,sputtering,AM,1
Co33.779000Ti40.737000Zr25.484000,CoTiZr,sputtering,AM,1
Co33.720000Ti39.618000Zr26.661000,CoTiZr,sputtering,AM,1
Co33.628000Ti38.517000Zr27.855000,CoTiZr,sputtering,AM,1
Co33.504000Ti37.432000Zr29.065000,CoTiZr,sputtering,CR,0
Co33.350000Ti36.364000Zr30.286000,CoTiZr,sputtering,CR,0
Co33.170000Ti35.313000Zr31.517000,CoTiZr,sputtering,CR,0
Co32.966000Ti34.281000Zr32.753000,CoTiZr,sputtering,CR,0
Co32.740000Ti33.267000Zr33.993000,CoTiZr,sputtering,CR,0
Co32.496000Ti32.273000Zr35.231000,CoTiZr,sputtering,CR,0
Co32.235000Ti31.300000Zr36.465000,CoTiZr,sputtering,CR,0
Co31.961000Ti30.349000Zr37.690000,CoTiZr,sputtering,CR,0
Co31.675000Ti29.421000Zr38.904000,CoTiZr,sputtering,CR,0
Co31.381000Ti28.517000Zr40.103000,CoTiZr,sputtering,CR,0
Co31.080000Ti27.637000Zr41.283000,CoTiZr,sputtering,CR,0
Co30.775000Ti26.783000Zr42.443000,CoTiZr,sputtering,CR,0
Co30.466000Ti25.954000Zr43.580000,CoTiZr,sputtering,CR,0
Co30.155000Ti25.151000Zr44.694000,CoTiZr,sputtering,CR,0
Co36.715000Ti41.974000Zr21.311000,CoTiZr,sputtering,AM,1
Co36.763000Ti40.854000Zr22.383000,CoTiZr,sputtering,AM,1
Co36.770000Ti39.751000Zr23.479000,CoTiZr,sputtering,AM,1
Co36.737000Ti38.664000Zr24.599000,CoTiZr,sputtering,AM,1
Co36.665000Ti37.594000Zr25.741000,CoTiZr,sputtering,AM,1
Co36.557000Ti36.540000Zr26.903000,CoTiZr,sputtering,AM,1
Co36.414000Ti35.503000Zr28.083000,CoTiZr,sputtering,AM,1
Co36.239000Ti34.481000Zr29.280000,CoTiZr,sputtering,AM,1
Co36.034000Ti33.476000Zr30.490000,CoTiZr,sputtering,AM,1
Co35.801000Ti32.488000Zr31.711000,CoTiZr,sputtering,AM,1
Co35.544000Ti31.516000Zr32.940000,CoTiZr,sputtering,AM,1
Co35.262000Ti30.563000Zr34.175000,CoTiZr,sputtering,AM,1
Co34.960000Ti29.628000Zr35.412000,CoTiZr,sputtering,CR,0
Co34.640000Ti28.712000Zr36.648000,CoTiZr,sputtering,CR,0
Co34.303000Ti27.816000Zr37.881000,CoTiZr,sputtering,CR,0
Co33.952000Ti26.939000Zr39.109000,CoTiZr,sputtering,CR,0
Co33.588000Ti26.084000Zr40.328000,CoTiZr,sputtering,CR,0
Co33.213000Ti25.249000Zr41.538000,CoTiZr,sputtering,CR,0
Co32.828000Ti24.435000Zr42.737000,CoTiZr,sputtering,CR,0
Co32.433000Ti23.642000Zr43.925000,CoTiZr,sputtering,CR,0
Co32.028000Ti22.868000Zr45.103000,CoTiZr,sputtering,CR,0
Co39.831000Ti39.675000Zr20.494000,CoTiZr,sputtering,AM,1
Co39.870000Ti38.609000Zr21.521000,CoTiZr,sputtering,AM,1
Co39.866000Ti37.559000Zr22.575000,CoTiZr,sputtering,AM,1
Co39.819000Ti36.527000Zr23.654000,CoTiZr,sputtering,AM,1
Co39.732000Ti35.511000Zr24.757000,CoTiZr,sputtering,AM,1
Co39.607000Ti34.511000Zr25.882000,CoTiZr,sputtering,AM,1
Co39.445000Ti33.526000Zr27.029000,CoTiZr,sputtering,AM,1
Co39.247000Ti32.557000Zr28.195000,CoTiZr,sputtering,AM,1
Co39.017000Ti31.604000Zr29.379000,CoTiZr,sputtering,AM,1
Co38.756000Ti30.666000Zr30.579000,CoTiZr,sputtering,AM,1
Co38.465000Ti29.743000Zr31.792000,CoTiZr,sputtering,AM,1
Co38.147000Ti28.837000Zr33.016000,CoTiZr,sputtering,AM,1
Co37.804000Ti27.947000Zr34.249000,CoTiZr,sputtering,AM,1
Co37.438000Ti27.073000Zr35.488000,CoTiZr,sputtering,AM,1
Co37.051000Ti26.217000Zr36.732000,CoTiZr,sputtering,AM,1
Co36.644000Ti25.377000Zr37.979000,CoTiZr,sputtering,AM,1
Co36.218000Ti24.555000Zr39.226000,CoTiZr,sputtering,AM,1
Co35.776000Ti23.750000Zr40.474000,CoTiZr,sputtering,AM,1
Co35.317000Ti22.963000Zr41.721000,CoTiZr,sputtering,CR,0
Co34.841000Ti22.192000Zr42.967000,CoTiZr,sputtering,CR,0
Co34.349000Ti21.437000Zr44.214000,CoTiZr,sputtering,CR,0
Co42.987000Ti38.339000Zr18.674000,CoTiZr,sputtering,AM,1
Co43.058000Ti37.314000Zr19.628000,CoTiZr,sputtering,AM,1
Co43.085000Ti36.307000Zr20.609000,CoTiZr,sputtering,AM,1
Co43.067000Ti35.317000Zr21.616000,CoTiZr,sputtering,AM,1
Co43.006000Ti34.343000Zr22.651000,CoTiZr,sputtering,AM,1
Co42.903000Ti33.386000Zr23.711000,CoTiZr,sputtering,AM,1
Co42.759000Ti32.444000Zr24.797000,CoTiZr,sputtering,AM,1
Co42.577000Ti31.517000Zr25.906000,CoTiZr,sputtering,AM,1
Co42.357000Ti30.605000Zr27.037000,CoTiZr,sputtering,AM,1
Co42.101000Ti29.708000Zr28.191000,CoTiZr,sputtering,AM,1
Co41.811000Ti28.825000Zr29.363000,CoTiZr,sputtering,AM,1
Co41.489000Ti27.957000Zr30.554000,CoTiZr,sputtering,AM,1
Co41.136000Ti27.103000Zr31.761000,CoTiZr,sputtering,AM,1
Co40.754000Ti26.264000Zr32.983000,CoTiZr,sputtering,AM,1
Co40.344000Ti25.439000Zr34.218000,CoTiZr,sputtering,AM,1
Co39.908000Ti24.629000Zr35.464000,CoTiZr,sputtering,AM,1
Co39.447000Ti23.833000Zr36.720000,CoTiZr,sputtering,AM,1
Co38.963000Ti23.052000Zr37.985000,CoTiZr,sputtering,AM,1
Co38.456000Ti22.286000Zr39.258000,CoTiZr,sputtering,AM,1
Co37.926000Ti21.534000Zr40.540000,CoTiZr,sputtering,AM,1
Co37.374000Ti20.795000Zr41.831000,CoTiZr,sputtering,AM,1
Co36.800000Ti20.069000Zr43.131000,CoTiZr,sputtering,AM,1
Co36.202000Ti19.355000Zr44.444000,CoTiZr,sputtering,AM,1
Co46.312000Ti35.876000Zr17.812000,CoTiZr,sputtering,AM,1
Co46.370000Ti34.914000Zr18.716000,CoTiZr,sputtering,AM,1
Co46.382000Ti33.969000Zr19.648000,CoTiZr,sputtering,AM,1
Co46.349000Ti33.042000Zr20.608000,CoTiZr,sputtering,AM,1
Co46.273000Ti32.131000Zr21.596000,CoTiZr,sputtering,AM,1
Co46.153000Ti31.236000Zr22.611000,CoTiZr,sputtering,AM,1
Co45.991000Ti30.357000Zr23.652000,CoTiZr,sputtering,AM,1
Co45.789000Ti29.491000Zr24.720000,CoTiZr,sputtering,AM,1
Co45.547000Ti28.640000Zr25.813000,CoTiZr,sputtering,AM,1
Co45.266000Ti27.803000Zr26.931000,CoTiZr,sputtering,AM,1
Co44.949000Ti26.979000Zr28.071000,CoTiZr,sputtering,AM,1
Co44.597000Ti26.169000Zr29.234000,CoTiZr,sputtering,AM,1
Co44.210000Ti25.372000Zr30.418000,CoTiZr,sputtering,AM,1
Co43.791000Ti24.587000Zr31.622000,CoTiZr,sputtering,AM,1
Co43.340000Ti23.816000Zr32.844000,CoTiZr,sputtering,AM,1
Co42.859000Ti23.057000Zr34.084000,CoTiZr,sputtering,AM,1
Co42.348000Ti22.311000Zr35.341000,CoTiZr,sputtering,AM,1
Co41.809000Ti21.577000Zr36.614000,CoTiZr,sputtering,AM,1
Co41.242000Ti20.856000Zr37.902000,CoTiZr,sputtering,AM,1
Co40.648000Ti20.146000Zr39.207000,CoTiZr,sputtering,AM,1
Co40.025000Ti19.447000Zr40.528000,CoTiZr,sputtering,AM,1
Co39.375000Ti18.758000Zr41.867000,CoTiZr,sputtering,AM,1
Co38.695000Ti18.079000Zr43.226000,CoTiZr,sputtering,AM,1
Co49.695000Ti33.394000Zr16.911000,CoTiZr,sputtering,AM,1
Co49.738000Ti32.497000Zr17.765000,CoTiZr,sputtering,AM,1
Co49.734000Ti31.619000Zr18.647000,CoTiZr,sputtering,AM,1
Co49.686000Ti30.757000Zr19.557000,CoTiZr,sputtering,AM,1
Co49.593000Ti29.912000Zr20.496000,CoTiZr,sputtering,AM,1
Co49.456000Ti29.082000Zr21.463000,CoTiZr,sputtering,AM,1
Co49.276000Ti28.266000Zr22.458000,CoTiZr,sputtering,AM,1
Co49.054000Ti27.465000Zr23.481000,CoTiZr,sputtering,AM,1
Co48.791000Ti26.677000Zr24.531000,CoTiZr,sputtering,AM,1
Co48.488000Ti25.903000Zr25.609000,CoTiZr,sputtering,AM,1
Co48.146000Ti25.141000Zr26.713000,CoTiZr,sputtering,AM,1
Co47.766000Ti24.391000Zr27.843000,CoTiZr,sputtering,AM,1
Co47.349000Ti23.653000Zr28.997000,CoTiZr,sputtering,AM,1
Co46.896000Ti22.927000Zr30.177000,CoTiZr,sputtering,AM,1
Co46.408000Ti22.212000Zr31.379000,CoTiZr,sputtering,AM,1
Co45.886000Ti21.508000Zr32.605000,CoTiZr,sputtering,AM,1
Co45.331000Ti20.815000Zr33.854000,CoTiZr,sputtering,AM,1
Co44.742000Ti20.133000Zr35.125000,CoTiZr,sputtering,AM,1
Co44.121000Ti19.461000Zr36.418000,CoTiZr,sputtering,AM,1
Co43.468000Ti18.798000Zr37.734000,CoTiZr,sputtering,AM,1
Co42.782000Ti18.144000Zr39.074000,CoTiZr,sputtering,AM,1
Co42.063000Ti17.499000Zr40.438000,CoTiZr,sputtering,AM,1
Co41.309000Ti16.862000Zr41.829000,CoTiZr,sputtering,AM,1
Co53.105000Ti30.916000Zr15.979000,CoTiZr,sputtering,AM,1
Co53.130000Ti30.088000Zr16.782000,CoTiZr,sputtering,AM,1
Co53.110000Ti29.277000Zr17.612000,CoTiZr,sputtering,AM,1
Co53.046000Ti28.483000Zr18.472000,CoTiZr,sputtering,AM,1
Co52.936000Ti27.704000Zr19.359000,CoTiZr,sputtering,AM,1
Co52.783000Ti26.940000Zr20.276000,CoTiZr,sputtering,AM,1
Co52.586000Ti26.191000Zr21.223000,CoTiZr,sputtering,AM,1
Co52.347000Ti25.455000Zr22.198000,CoTiZr,sputtering,AM,1
Co52.065000Ti24.732000Zr23.203000,CoTiZr,sputtering,AM,1
Co51.742000Ti24.021000Zr24.237000,CoTiZr,sputtering,AM,1
Co51.378000Ti23.322000Zr25.300000,CoTiZr,sputtering,AM,1
Co50.974000Ti22.635000Zr26.392000,CoTiZr,sputtering,AM,1
Co50.530000Ti21.958000Zr27.512000,CoTiZr,sputtering,AM,1
Co50.048000Ti21.291000Zr28.660000,CoTiZr,sputtering,AM,1
Co49.528000Ti20.635000Zr29.837000,CoTiZr,sputtering,AM,1
Co48.971000Ti19.988000Zr31.041000,CoTiZr,sputtering,AM,1
Co48.376000Ti19.351000Zr32.273000,CoTiZr,sputtering,AM,1
Co47.745000Ti18.723000Zr33.533000,CoTiZr,sputtering,AM,1
Co47.077000Ti18.103000Zr34.821000,CoTiZr,sputtering,AM,1
Co46.372000Ti17.491000Zr36.137000,CoTiZr,sputtering,AM,1
Co45.630000Ti16.886000Zr37.484000,CoTiZr,sputtering,AM,1
Co44.851000Ti16.288000Zr38.861000,CoTiZr,sputtering,AM,1
Co44.033000Ti15.696000Zr40.271000,CoTiZr,sputtering,AM,1
Co56.507000Ti28.469000Zr15.023000,CoTiZr,sputtering,AM,1
Co56.515000Ti27.710000Zr15.775000,CoTiZr,sputtering,AM,1
Co56.479000Ti26.967000Zr16.554000,CoTiZr,sputtering,AM,1
Co56.398000Ti26.241000Zr17.361000,CoTiZr,sputtering,AM,1
Co56.274000Ti25.529000Zr18.197000,CoTiZr,sputtering,AM,1
Co56.105000Ti24.832000Zr19.063000,CoTiZr,sputtering,AM,1
Co55.893000Ti24.149000Zr19.958000,CoTiZr,sputtering,AM,1
Co55.638000Ti23.478000Zr20.884000,CoTiZr,sputtering,AM,1
Co55.340000Ti22.820000Zr21.840000,CoTiZr,sputtering,AM,1
Co55.000000Ti22.173000Zr22.827000,CoTiZr,sputtering,AM,1
Co54.617000Ti21.537000Zr23.846000,CoTiZr,sputtering,AM,1
Co54.193000Ti20.912000Zr24.895000,CoTiZr,sputtering,AM,1
Co53.728000Ti20.296000Zr25.976000,CoTiZr,sputtering,AM,1
Co53.222000Ti19.690000Zr27.088000,CoTiZr,sputtering,AM,1
Co52.676000Ti19.093000Zr28.231000,CoTiZr,sputtering,AM,1
Co52.089000Ti18.504000Zr29.407000,CoTiZr,sputtering,AM,1
Co51.462000Ti17.923000Zr30.615000,CoTiZr,sputtering,AM,1
Co50.795000Ti17.350000Zr31.855000,CoTiZr,sputtering,AM,1
Co50.088000Ti16.784000Zr33.128000,CoTiZr,sputtering,AM,1
Co49.341000Ti16.224000Zr34.435000,CoTiZr,sputtering,AM,1
Co48.553000Ti15.670000Zr35.777000,CoTiZr,sputtering,AM,1
Co47.723000Ti15.122000Zr37.155000,CoTiZr,sputtering,AM,1
Co46.850000Ti14.578000Zr38.571000,CoTiZr,sputtering,AM,1
Co59.871000Ti26.076000Zr14.053000,CoTiZr,sputtering,CR,0
Co59.861000Ti25.385000Zr14.754000,CoTiZr,sputtering,CR,0
Co59.808000Ti24.710000Zr15.481000,CoTiZr,sputtering,CR,0
Co59.713000Ti24.051000Zr16.237000,CoTiZr,sputtering,CR,0
Co59.574000Ti23.406000Zr17.021000,CoTiZr,sputtering,CR,0
Co59.391000Ti22.775000Zr17.834000,CoTiZr,sputtering,CR,0
Co59.166000Ti22.156000Zr18.677000,CoTiZr,sputtering,AM,1
Co58.898000Ti21.550000Zr19.552000,CoTiZr,sputtering,AM,1
Co58.587000Ti20.955000Zr20.457000,CoTiZr,sputtering,AM,1
Co58.233000Ti20.372000Zr21.395000,CoTiZr,sputtering,AM,1
Co57.837000Ti19.798000Zr22.365000,CoTiZr,sputtering,AM,1
Co57.398000Ti19.234000Zr23.368000,CoTiZr,sputtering,AM,1
Co56.916000Ti18.679000Zr24.405000,CoTiZr,sputtering,AM,1
Co56.393000Ti18.132000Zr25.475000,CoTiZr,sputtering,AM,1
Co55.826000Ti17.593000Zr26.581000,CoTiZr,sputtering,AM,1
Co55.217000Ti17.062000Zr27.721000,CoTiZr,sputtering,AM,1
Co54.566000Ti16.537000Zr28.896000,CoTiZr,sputtering,AM,1
Co53.872000Ti16.019000Zr30.109000,CoTiZr,sputtering,AM,1
Co53.135000Ti15.507000Zr31.358000,CoTiZr,sputtering,AM,1
Co52.354000Ti15.000000Zr32.646000,CoTiZr,sputtering,AM,1
Co51.529000Ti14.498000Zr33.973000,CoTiZr,sputtering,AM,1
Co50.659000Ti14.000000Zr35.341000,CoTiZr,sputtering,AM,1
Co49.743000Ti13.505000Zr36.752000,CoTiZr,sputtering,AM,1
Co63.163000Ti23.758000Zr13.080000,CoTiZr,sputtering,CR,0
Co63.136000Ti23.134000Zr13.730000,CoTiZr,sputtering,CR,0
Co63.068000Ti22.526000Zr14.406000,CoTiZr,sputtering,CR,0
Co62.959000Ti21.932000Zr15.110000,CoTiZr,sputtering,CR,0
Co62.807000Ti21.352000Zr15.841000,CoTiZr,sputtering,CR,0
Co62.614000Ti20.784000Zr16.602000,CoTiZr,sputtering,CR,0
Co62.378000Ti20.229000Zr17.393000,CoTiZr,sputtering,CR,0
Co62.100000Ti19.686000Zr18.214000,CoTiZr,sputtering,CR,0
Co61.779000Ti19.153000Zr19.068000,CoTiZr,sputtering,CR,0
Co61.416000Ti18.630000Zr19.954000,CoTiZr,sputtering,AM,1
Co61.010000Ti18.116000Zr20.873000,CoTiZr,sputtering,AM,1
Co60.561000Ti17.612000Zr21.827000,CoTiZr,sputtering,AM,1
Co60.069000Ti17.115000Zr22.816000,CoTiZr,sputtering,AM,1
Co59.534000Ti16.626000Zr23.840000,CoTiZr,sputtering,AM,1
Co58.954000Ti16.144000Zr24.902000,CoTiZr,sputtering,AM,1
Co58.331000Ti15.669000Zr26.000000,CoTiZr,sputtering,AM,1
Co57.663000Ti15.199000Zr27.138000,CoTiZr,sputtering,AM,1
Co56.951000Ti14.735000Zr28.315000,CoTiZr,sputtering,AM,1
Co56.192000Ti14.275000Zr29.532000,CoTiZr,sputtering,AM,1
Co55.388000Ti13.820000Zr30.791000,CoTiZr,sputtering,AM,1
Co54.537000Ti13.369000Zr32.094000,CoTiZr,sputtering,AM,1
Co53.638000Ti12.921000Zr33.441000,CoTiZr,sputtering,AM,1
Co52.689000Ti12.476000Zr34.835000,CoTiZr,sputtering,AM,1
Co66.354000Ti21.534000Zr12.112000,CoTiZr,sputtering,CR,0
Co66.312000Ti20.975000Zr12.713000,CoTiZr,sputtering,CR,0
Co66.230000Ti20.431000Zr13.339000,CoTiZr,sputtering,CR,0
Co66.108000Ti19.900000Zr13.991000,CoTiZr,sputtering,CR,0
Co65.947000Ti19.382000Zr14.671000,CoTiZr,sputtering,CR,0
Co65.744000Ti18.876000Zr15.379000,CoTiZr,sputtering,CR,0
Co65.501000Ti18.382000Zr16.117000,CoTiZr,sputtering,CR,0
Co65.216000Ti17.898000Zr16.886000,CoTiZr,sputtering,CR,0
Co64.890000Ti17.424000Zr17.686000,CoTiZr,sputtering,CR,0
Co64.522000Ti16.959000Zr18.519000,CoTiZr,sputtering,CR,0
Co64.111000Ti16.503000Zr19.386000,CoTiZr,sputtering,CR,0
Co63.658000Ti16.055000Zr20.287000,CoTiZr,sputtering,CR,0
Co63.161000Ti15.614000Zr21.225000,CoTiZr,sputtering,AM,1
Co62.620000Ti15.180000Zr22.200000,CoTiZr,sputtering,AM,1
Co62.035000Ti14.752000Zr23.213000,CoTiZr,sputtering,AM,1
Co61.405000Ti14.330000Zr24.265000,CoTiZr,sputtering,AM,1
Co60.729000Ti13.914000Zr25.358000,CoTiZr,sputtering,AM,1
Co60.006000Ti13.501000Zr26.492000,CoTiZr,sputtering,AM,1
Co59.237000Ti13.093000Zr27.670000,CoTiZr,sputtering,AM,1
Co58.419000Ti12.688000Zr28.893000,CoTiZr,sputtering,AM,1
Co57.552000Ti12.286000Zr30.162000,CoTiZr,sputtering,AM,1
Co56.635000Ti11.887000Zr31.478000,CoTiZr,sputtering,AM,1
Co55.666000Ti11.489000Zr32.844000,CoTiZr,sputtering,AM,1
Co69.419000Ti19.420000Zr11.160000,CoTiZr,sputtering,CR,0
Co69.363000Ti18.924000Zr11.714000,CoTiZr,sputtering,CR,0
Co69.269000Ti18.440000Zr12.291000,CoTiZr,sputtering,CR,0
Co69.137000Ti17.969000Zr12.893000,CoTiZr,sputtering,CR,0
