formula,phase,processing
Al94Co0Ni6,CR,meltspin
Al94Co2Ni4,CR,meltspin
Al94Co4Ni2,CR,meltspin
Al96Co0Ni4,CR,meltspin
Al96Co2Ni2,CR,meltspin
Al96Co4Ni0,CR,meltspin
Al98Co0Ni2,CR,meltspin
Al98Co2Ni0,CR,meltspin
Al94Co0Ni6,CR,meltspin
Al94Co2Ni4,CR,meltspin
Al94Co4Ni2,CR,meltspin
Al96Co0Ni4,CR,meltspin
Al96Co2Ni2,CR,meltspin
Al96Co4Ni0,CR,meltspin
Al98Co0Ni2,CR,meltspin
Al98Co2Ni0,CR,meltspin
Al49Co10Si41,AM,meltspin
Al52Co23Si25,AM,meltspin
Al71Co4Si25,AM,meltspin
Al75Co10Si15,AM,meltspin
Al0Co90Zr10,AM,meltspin
Al2Co88Zr10,AM,meltspin
Al5Co85Zr10,AM,meltspin
Al25Co20Zr55,AM,meltspin
Al38Cr10Ge52,AM,meltspin
Al61Cr10Ge29,AM,meltspin
Al60Cr10Ge30,AM,meltspin
Al65Cr20Ge15,CR,meltspin
Al25Cr20La55,AM,meltspin
Al52Cr10Si38,AM,meltspin
Al58Cr17Si25,AM,meltspin
Al68Cr10Si22,AM,meltspin
Al71Cr4Si25,AM,meltspin
Al50Cr15Si35,AM,meltspin
Al55Cr10Si35,AM,meltspin
Al55Cr15Si30,AM,meltspin
Al60Cr10Si30,AM,meltspin
Al60Cr15Si25,AM,meltspin
Al65Cr10Si25,AM,meltspin
Al59Cr19Si22,CR,meltspin
Al60Cr18Si22,CR,meltspin
Al60Cr20Si20,CR,meltspin
Al61Cr21Si18,CR,meltspin
Al62Cr19Si19,CR,meltspin
Al63Cr19Si18,CR,meltspin
Al84Cr16Si0,CR,meltspin
Al85Cr15Si0,CR,meltspin
Al86Cr14Si0,CR,meltspin
Al45Cr20Si35,CR,meltspin
Al55Cr20Si25,CR,meltspin
Al55Cr25Si20,CR,meltspin
Al57Cr23Si20,CR,meltspin
Al57Cr28Si15,CR,meltspin
Al60Cr5Si35,CR,meltspin
Al60Cr30Si10,CR,meltspin
Al65Cr25Si10,CR,meltspin
Al70Cr5Si25,CR,meltspin
Al70Cr25Si5,CR,meltspin
Al75Cr5Si20,CR,meltspin
Al80Cr5Si15,CR,meltspin
Al80Cr20Si0,CR,meltspin
Al81Cr19Si0,CR,meltspin
Al83Cr17Si0,CR,meltspin
Al96Cr4Si0,CR,meltspin
Al45Cr15Si40,CR,meltspin
Al58Cr20Si22,CR,meltspin
Al60Cr25Si15,CR,meltspin
Al63Cr15Si22,CR,meltspin
Al65Cr15Si20,CR,meltspin
Al65Cr20Si15,CR,meltspin
Al68Cr15Si17,CR,meltspin
Al70Cr10Si20,CR,meltspin
Al70Cr15Si15,CR,meltspin
Al70Cr20Si10,CR,meltspin
Al75Cr10Si15,CR,meltspin
Al75Cr15Si10,CR,meltspin
Al75Cr20Si5,CR,meltspin
Al80Cr10Si10,CR,meltspin
Al85Cr5Si10,CR,meltspin
Al85Cr10Si5,CR,meltspin
Al88Cr10Si2,CR,meltspin
Al88Cr12Si0,CR,meltspin
Al90Cr5Si5,CR,meltspin
Al90Cr10Si0,CR,meltspin
Al92Cr8Si0,CR,meltspin
Al94Cr6Si0,CR,meltspin
Al20Cr10Zr70,AM,meltspin
Al75Ce20Fe5,AC,meltspin
Al77Ce18Fe5,CR,meltspin
Al64Ce23Fe13,CR,meltspin
Al65Ce20Fe15,CR,meltspin
Al67Ce18Fe15,CR,meltspin
Al71Ce17Fe12,CR,meltspin
Al60Ce20Fe20,CR,meltspin
Al65Ce15Fe20,CR,meltspin
Al60Ce23Fe17,CR,meltspin
Al60Ce25Fe15,CR,meltspin
Al65Ce25Fe10,CR,meltspin
Al70Ce10Fe20,CR,meltspin
Al70Ce15Fe15,CR,meltspin
Al70Ce20Fe10,CR,meltspin
Al65Ce20Fe15,CR,meltspin
Al62.5Ce25Fe12.5,CR,meltspin
Al62.5Ce25.5Fe12,CR,meltspin
Al65Cu20Gd15,AM,meltspin
Al10Cu25Hf65,AM,meltspin
Al10Cu30La60,AM,meltspin
Al15Cu25La60,AM,meltspin
Al20Cu0La80,AM,meltspin
Al20Cu20La60,AM,meltspin
Al20Cu25La55,AM,meltspin
Al20Cu40La40,AM,meltspin
Al20Cu50La30,AM,meltspin
Al25Cu10La65,AM,meltspin
Al25Cu15La60,AM,meltspin
Al25Cu20La55,AM,meltspin
Al25Cu25La50,AM,meltspin
Al25Cu35La40,AM,meltspin
Al30Cu0La70,AM,meltspin
Al30Cu10La60,AM,meltspin
Al30Cu15La55,AM,meltspin
Al30Cu20La50,AM,meltspin
Al30Cu35La35,AM,meltspin
Al30Cu40La30,AM,meltspin
Al35Cu10La55,AM,meltspin
Al35Cu15La50,AM,meltspin
Al40Cu0La60,AM,meltspin
Al50Cu0La50,AM,meltspin
Al85Cu5La10,AM,meltspin
Al90Cu0La10,AM,meltspin
Al90Cu5La5,AM,meltspin
Al10Cu20La70,AC,meltspin
Al20Cu10La70,AC,meltspin
Al20Cu60La20,AC,meltspin
Al40Cu10La50,AC,meltspin
Al40Cu20La40,AC,meltspin
Al85Cu10La5,AC,meltspin
Al0Cu20La80,CR,meltspin
Al0Cu40La60,CR,meltspin
Al0Cu50La50,CR,meltspin
Al10Cu0La90,CR,meltspin
Al10Cu10La80,CR,meltspin
Al10Cu50La40,CR,meltspin
Al10Cu60La30,CR,meltspin
Al10Cu70La20,CR,meltspin
Al10Cu80La10,CR,meltspin
Al30Cu50La20,CR,meltspin
Al30Cu60La10,CR,meltspin
Al40Cu30La30,CR,meltspin
Al40Cu40La20,CR,meltspin
Al50Cu10La40,CR,meltspin
Al50Cu20La30,CR,meltspin
Al50Cu30La20,CR,meltspin
Al50Cu40La10,CR,meltspin
Al60Cu0La40,CR,meltspin
Al70Cu0La30,CR,meltspin
Al70Cu20La10,CR,meltspin
Al80Cu0La20,CR,meltspin
Al80Cu10La10,CR,meltspin
Al25Cu20La55,AM,meltspin
Al25Cu20La55,AM,meltspin
Al25Cu50Mn25,CR,meltspin
Al65Cu20Mn15,CR,meltspin
Al76Cu8.5Mn15.5,CR,meltspin
Al6Cu84Nd10,AM,meltspin
Al6Cu86Nd8,AM,meltspin
Al8Cu84Nd8,AM,meltspin
Al10Cu82Nd8,AM,meltspin
Al12Cu80Nd8,AM,meltspin
Al2Cu88Nd10,AC,meltspin
Al2Cu90Nd8,AC,meltspin
Al2Cu92Nd6,AC,meltspin
Al4Cu86Nd10,AC,meltspin
Al4Cu88Nd8,AC,meltspin
Al4Cu90Nd6,AC,meltspin
Al6Cu88Nd6,AC,meltspin
Al8Cu86Nd6,AC,meltspin
Al10Cu84Nd6,AC,meltspin
Al10Cu86Nd4,AC,meltspin
Al12Cu82Nd6,AC,meltspin
Al12Cu84Nd4,AC,meltspin
Al4Cu92Nd4,CR,meltspin
Al8Cu82Nd10,CR,meltspin
Al8Cu88Nd4,CR,meltspin
Al10Cu80Nd10,CR,meltspin
Al10Cu88Nd2,CR,meltspin
Al12Cu78Nd10,CR,meltspin
Al14Cu76Nd10,CR,meltspin
Al14Cu78Nd8,CR,meltspin
Al14Cu80Nd6,CR,meltspin
Al14Cu82Nd4,CR,meltspin
Al0Cu35Ti65,AM,meltspin
Al0Cu40Ti60,AM,meltspin
Al0Cu45Ti55,AM,meltspin
Al0Cu50Ti50,AM,meltspin
Al0Cu55Ti45,AM,meltspin
Al0Cu60Ti40,AM,meltspin
Al0Cu73Ti27,AM,meltspin
Al0Cu75Ti25,AM,meltspin
Al5Cu50Ti45,AM,meltspin
Al5Cu55Ti40,AM,meltspin
Al5Cu60Ti35,AM,meltspin
Al10Cu30Ti60,AM,meltspin
Al10Cu30Ti60,AM,meltspin
Al10Cu35Ti55,AM,meltspin
Al10Cu50Ti40,AM,meltspin
Al10Cu60Ti30,AM,meltspin
Al15Cu25Ti60,AM,meltspin
Al15Cu30Ti55,AM,meltspin
Al15Cu35Ti50,AM,meltspin
Al15Cu40Ti45,AM,meltspin
Al15Cu50Ti35,AM,meltspin
Al15Cu60Ti25,AM,meltspin
Al20Cu30Ti50,AM,meltspin
Al20Cu35Ti45,AM,meltspin
Al20Cu50Ti30,AM,meltspin
Al20Cu60Ti20,AM,meltspin
Al25Cu35Ti40,AM,meltspin
Al25Cu50Ti25,AM,meltspin
Al25Cu55Ti20,AM,meltspin
Al30Cu50Ti20,AM,meltspin
Al35Cu50Ti15,AM,meltspin
Al40Cu50Ti10,AM,meltspin
Al50Cu40Ti10,AM,meltspin
Al50Cu45Ti5,AM,meltspin
Al55Cu40Ti5,AM,meltspin
Al0Cu30Ti70,AC,meltspin
Al0Cu80Ti20,AC,meltspin
Al10Cu70Ti20,AC,meltspin
Al20Cu20Ti60,AC,meltspin
Al25Cu25Ti50,AC,meltspin
Al25Cu30Ti45,AC,meltspin
Al30Cu20Ti50,AC,meltspin
Al30Cu30Ti40,AC,meltspin
Al30Cu40Ti30,AC,meltspin
Al35Cu40Ti25,AC,meltspin
Al35Cu45Ti20,AC,meltspin
Al40Cu30Ti30,AC,meltspin
Al40Cu40Ti20,AC,meltspin
Al45Cu35Ti20,AC,meltspin
Al45Cu40Ti15,AC,meltspin
Al55Cu35Ti10,AC,meltspin
Al60Cu35Ti5,AC,meltspin
Al0Cu10Ti90,CR,meltspin
Al0Cu20Ti80,CR,meltspin
Al10Cu0Ti90,CR,meltspin
Al10Cu10Ti80,CR,meltspin
Al10Cu20Ti70,CR,meltspin
Al20Cu0Ti80,CR,meltspin
Al20Cu10Ti70,CR,meltspin
Al20Cu70Ti10,CR,meltspin
Al25Cu0Ti75,CR,meltspin
Al25Cu5Ti70,CR,meltspin
Al30Cu0Ti70,CR,meltspin
Al30Cu10Ti60,CR,meltspin
Al35Cu0Ti65,CR,meltspin
Al35Cu5Ti60,CR,meltspin
Al40Cu0Ti60,CR,meltspin
Al40Cu10Ti50,CR,meltspin
Al40Cu20Ti40,CR,meltspin
Al40Cu60Ti0,CR,meltspin
Al45Cu0Ti55,CR,meltspin
Al45Cu5Ti50,CR,meltspin
Al45Cu10Ti45,CR,meltspin
Al45Cu20Ti35,CR,meltspin
Al50Cu5Ti45,CR,meltspin
Al50Cu10Ti40,CR,meltspin
Al50Cu20Ti30,CR,meltspin
Al50Cu30Ti20,CR,meltspin
Al50Cu50Ti0,CR,meltspin
Al55Cu0Ti45,CR,meltspin
Al55Cu10Ti35,CR,meltspin
Al60Cu0Ti40,CR,meltspin
Al60Cu5Ti35,CR,meltspin
Al60Cu10Ti30,CR,meltspin
Al60Cu20Ti20,CR,meltspin
Al60Cu40Ti0,CR,meltspin
Al65Cu0Ti35,CR,meltspin
Al70Cu0Ti30,CR,meltspin
Al70Cu10Ti20,CR,meltspin
Al70Cu30Ti0,CR,meltspin
Al80Cu0Ti20,CR,meltspin
Al0Cu40Ti60,AM,meltspin
Al5Cu38Ti57,AM,meltspin
Al15Cu34Ti51,AM,meltspin
Al20Cu32Ti48,AM,meltspin
Al10Cu25Ti65,AM,meltspin
Al10Cu50Ti40,AM,meltspin
Al55Cu35V10,AM,meltspin
Al60Cu30V10,AM,meltspin
Al65Cu20V15,AM,meltspin
Al65Cu25V10,AM,meltspin
Al65Cu30V5,AM,meltspin
Al67Cu20V13,AM,meltspin
Al70Cu20V10,AM,meltspin
Al75Cu15V10,AM,meltspin
Al75Cu20V5,AM,meltspin
Al80Cu10V10,AM,meltspin
Al80Cu15V5,AM,meltspin
Al85Cu5V10,AM,meltspin
Al60Cu35V5,AC,meltspin
Al65Cu20V15,AC,meltspin
Al70Cu25V5,AC,meltspin
Al75Cu10V15,AC,meltspin
Al80Cu5V15,AC,meltspin
Al87Cu5V8,AC,meltspin
Al50Cu40V10,CR,meltspin
Al60Cu25V15,CR,meltspin
Al65Cu15V20,CR,meltspin
Al75Cu25V0,CR,meltspin
Al77Cu20V3,CR,meltspin
Al80Cu20V0,CR,meltspin
Al87Cu8V5,CR,meltspin
Al75Cu15V10,AM,meltspin
Al75Cu15V10,AM,meltspin
Al0Cu40Y60,AM,meltspin
Al5Cu38Y57,AM,meltspin
Al10Cu36Y54,AM,meltspin
Al15Cu34Y51,AM,meltspin
Al20Cu32Y48,AM,meltspin
Al30Cu28Y42,AM,meltspin
Al80Cu8Y12,AM,meltspin
Al85Cu6Y9,AM,meltspin
Al0Cu40Zr60,AM,meltspin
Al0Cu56Zr44,AM,meltspin
Al0Cu60Zr40,AM,meltspin
Al20Cu25Zr55,AM,meltspin
Al15Cu25Zr60,AM,meltspin
Al10Cu25Zr65,AM,meltspin
Al7.5Cu27.5Zr65,AM,meltspin
Al0Cu33Zr67,AM,meltspin
Al5Cu30Zr65,AM,meltspin
Al7.5Cu27.5Zr65,AM,meltspin
Al10Cu25Zr65,AM,meltspin
Al15Cu20Zr65,AM,meltspin
Al20Cu15Zr65,AM,meltspin
Al33.4Fe33.3Gd33.3,AM,meltspin
Al42Fe10Ge48,AM,meltspin
Al52Fe23Ge25,AM,meltspin
Al69Fe6Ge25,AM,meltspin
Al78Fe10Ge12,AM,meltspin
Al25Fe20La55,AM,meltspin
Al75Fe14Ni11,AM,meltspin
Al87Fe1Ni12,AM,meltspin
Al88Fe3Ni9,AM,meltspin
Al82Fe4Ni14,AC,meltspin
Al84Fe2Ni14,AC,meltspin
Al86Fe0Ni14,AC,meltspin
Al86Fe1Ni13,AC,meltspin
Al86Fe2Ni12,AC,meltspin
Al86Fe5Ni9,AC,meltspin
Al86Fe8Ni6,AC,meltspin
Al87Fe1Ni12,AC,meltspin
Al87Fe4Ni9,AC,meltspin
Al87Fe5Ni8,AC,meltspin
Al88Fe0Ni12,AC,meltspin
Al88Fe1Ni11,AC,meltspin
Al88Fe2Ni10,AC,meltspin
Al88Fe4Ni8,AC,meltspin
Al88Fe5Ni7,AC,meltspin
Al88Fe6Ni6,AC,meltspin
Al88Fe8Ni4,AC,meltspin
Al88Fe10Ni2,AC,meltspin
Al88Fe12Ni0,AC,meltspin
Al89Fe1Ni10,AC,meltspin
Al89Fe2Ni9,AC,meltspin
Al89Fe3Ni8,AC,meltspin
Al89Fe5Ni6,AC,meltspin
Al90Fe0Ni10,AC,meltspin
Al90Fe2Ni8,AC,meltspin
Al90Fe4Ni6,AC,meltspin
Al90Fe5Ni5,AC,meltspin
Al90Fe6Ni4,AC,meltspin
Al90Fe8Ni2,AC,meltspin
Al90Fe10Ni0,AC,meltspin
Al92Fe0Ni8,AC,meltspin
Al92Fe2Ni6,AC,meltspin
Al92Fe4Ni4,AC,meltspin
Al92Fe6Ni2,AC,meltspin
Al92Fe8Ni0,AC,meltspin
Al94Fe6Ni0,AC,meltspin
Al94Fe0Ni6,CR,meltspin
Al94Fe2Ni4,CR,meltspin
Al94Fe4Ni2,CR,meltspin
Al96Fe0Ni4,CR,meltspin
Al96Fe2Ni2,CR,meltspin
Al96Fe4Ni0,CR,meltspin
Al98Fe0Ni2,CR,meltspin
Al98Fe2Ni0,CR,meltspin
Al86Fe2Ni12,AM,meltspin
Al86Fe3Ni11,AM,meltspin
Al86.7Fe1Ni12.3,AM,meltspin
Al87Fe1Ni12,AM,meltspin
Al87Fe2Ni11,AM,meltspin
Al87Fe3Ni10,AM,meltspin
Al87.5Fe0.5Ni12,AM,meltspin
Al87.5Fe2Ni10.5,AM,meltspin
Al87.5Fe3.5Ni9,AM,meltspin
Al88Fe1Ni11,AM,meltspin
Al88Fe3Ni9,AM,meltspin
Al88.5Fe3Ni8.5,AM,meltspin
Al82Fe4Ni14,AC,meltspin
Al83Fe3Ni14,AC,meltspin
Al84Fe2Ni14,AC,meltspin
Al84Fe3Ni13,AC,meltspin
Al84Fe4Ni12,AC,meltspin
Al85Fe1Ni14,AC,meltspin
Al85Fe2Ni13,AC,meltspin
Al85Fe3Ni12,AC,meltspin
Al85Fe5Ni10,AC,meltspin
Al86Fe0Ni14,AC,meltspin
Al86Fe1Ni13,AC,meltspin
Al86Fe2Ni12,AC,meltspin
Al86Fe3Ni11,AC,meltspin
Al86Fe4Ni10,AC,meltspin
Al86Fe7Ni7,AC,meltspin
Al87Fe5Ni8,AC,meltspin
Al87Fe6Ni7,AC,meltspin
Al88Fe0Ni12,AC,meltspin
Al88Fe1Ni11,AC,meltspin
Al88Fe2Ni10,AC,meltspin
Al88Fe4Ni8,AC,meltspin
Al88Fe5Ni7,AC,meltspin
Al88Fe6Ni6,AC,meltspin
Al88Fe8Ni4,AC,meltspin
Al88Fe8Ni4,AC,meltspin
Al88Fe10Ni2,AC,meltspin
Al89Fe1Ni10,AC,meltspin
Al89Fe2Ni9,AC,meltspin
Al89Fe3Ni8,AC,meltspin
Al89Fe4Ni7,AC,meltspin
Al89Fe5Ni6,AC,meltspin
Al89Fe6Ni5,AC,meltspin
Al89Fe7Ni4,AC,meltspin
Al89Fe9Ni2,AC,meltspin
Al90Fe0Ni10,AC,meltspin
Al90Fe1Ni9,AC,meltspin
Al90Fe2Ni8,AC,meltspin
Al90Fe4Ni6,AC,meltspin
Al90Fe5Ni5,AC,meltspin
Al90Fe6Ni4,AC,meltspin
Al90Fe8Ni2,AC,meltspin
Al90Fe8Ni2,AC,meltspin
Al90Fe10Ni0,AC,meltspin
Al90Fe10Ni0,AC,meltspin
Al91Fe1Ni8,AC,meltspin
Al91Fe2Ni7,AC,meltspin
Al91Fe3Ni6,AC,meltspin
Al91Fe6Ni3,AC,meltspin
Al92Fe0Ni8,AC,meltspin
Al92Fe2Ni6,AC,meltspin
Al92Fe4Ni4,AC,meltspin
Al92Fe5Ni3,AC,meltspin
Al92Fe6Ni2,AC,meltspin
Al92Fe8Ni0,AC,meltspin
Al92Fe8Ni0,AC,meltspin
Al94Fe6Ni0,AC,meltspin
Al94Fe6Ni0,AC,meltspin
Al94Fe0Ni6,CR,meltspin
Al94Fe0Ni6,CR,meltspin
Al94Fe2Ni4,CR,meltspin
Al94Fe2Ni4,CR,meltspin
Al94Fe4Ni2,CR,meltspin
Al94Fe4Ni2,CR,meltspin
Al96Fe0Ni4,CR,meltspin
Al96Fe0Ni4,CR,meltspin
Al96Fe2Ni2,CR,meltspin
Al96Fe2Ni2,CR,meltspin
Al96Fe4Ni0,CR,meltspin
Al96Fe4Ni0,CR,meltspin
Al98Fe0Ni2,CR,meltspin
Al98Fe0Ni2,CR,meltspin
Al98Fe2Ni0,CR,meltspin
Al98Fe2Ni0,CR,meltspin
Al100Fe0Ni0,CR,meltspin
Al82Fe4Ni14,CR,meltspin
Al84Fe4Ni12,CR,meltspin
Al84Fe6Ni10,CR,meltspin
Al84Fe8Ni8,CR,meltspin
Al86Fe6Ni8,CR,meltspin
Al86Fe8Ni6,CR,meltspin
Al86Fe10Ni4,CR,meltspin
Al86Fe12Ni2,CR,meltspin
Al88Fe10Ni2,CR,meltspin
Al88Fe12Ni0,CR,meltspin
Al0Fe80P20,AM,meltspin
Al3Fe80P17,AM,meltspin
Al5Fe85Si10,AM,meltspin
Al84Fe14Si2,AC,meltspin
Al85Fe8Si7,AC,meltspin
Al86Fe12Si2,AC,meltspin
Al88Fe10Si2,AC,meltspin
Al90Fe8Si2,CR,meltspin
Al52Fe23Si25,AM,meltspin
Al63Fe12Si25,AM,meltspin
Al2.5Fe65Tb32.5,AM,meltspin
Al7.5Fe61.7Tb30.8,AM,meltspin
Al0Fe66.7Tb33.3,CR,meltspin
Al15Fe56.7Tb28.3,CR,meltspin
Al0Fe90Zr10,AM,meltspin
Al0.018Fe89.982Zr10,AM,meltspin
Al0.036Fe89.964Zr10,AM,meltspin
Al0.054Fe89.946Zr10,AM,meltspin
Al0.09Fe89.91Zr10,AM,meltspin
Al22.5Fe67.5Zr10,AM,meltspin
Al15Fe15Zr70,AM,meltspin
Al8Ga16Mg76,AM,meltspin
Al12Ga12Mg76,AM,meltspin
Al18Ga36Mg46,AM,meltspin
Al8Ga2Mg90,CR,meltspin
Al8Ga3Mg89,CR,meltspin
Al9Ga2Mg89,CR,meltspin
Al65Gd15Ni20,AM,meltspin
Al70Gd10Ni20,AM,meltspin
Al70Gd15Ni15,AM,meltspin
Al74Gd10Ni16,AM,meltspin
Al75Gd10Ni15,AM,meltspin
Al78Gd12Ni10,AM,meltspin
Al80Gd5Ni15,AM,meltspin
Al80Gd10Ni10,AM,meltspin
Al81Gd9Ni10,AM,meltspin
Al83Gd5Ni12,AM,meltspin
Al83Gd7Ni10,AM,meltspin
Al83Gd9Ni8,AM,meltspin
Al84Gd10Ni6,AM,meltspin
Al85Gd5Ni10,AM,meltspin
Al85Gd8Ni7,AM,meltspin
Al85Gd9Ni6,AM,meltspin
Al85Gd10Ni5,AM,meltspin
Al87Gd5Ni8,AM,meltspin
Al87Gd7Ni6,AM,meltspin
Al88Gd12Ni0,AM,meltspin
Al90Gd5Ni5,AM,meltspin
Al90Gd10Ni0,AM,meltspin
Al92Gd8Ni0,AM,meltspin
Al75Gd15Ni10,AC,meltspin
Al60Gd20Ni20,CR,meltspin
Al70Gd20Ni10,CR,meltspin
Al75Gd5Ni20,CR,meltspin
Al80Gd15Ni5,CR,meltspin
Al85Gd15Ni0,CR,meltspin
Al94Gd6Ni0,CR,meltspin
Al25Gd55Ni20,AM,meltspin
Al0Gd56Si44,AM,meltspin
Al40Gd60Si0,AM,meltspin
Al45Gd55Si0,AM,meltspin
Al50Gd50Si0,AM,meltspin
Al55Gd45Si0,AM,meltspin
Al50Ge40Mn10,AM,meltspin
Al42Ge48Mn10,AM,meltspin
Al57Ge25Mn18,AM,meltspin
Al69Ge25Mn6,AM,meltspin
Al73Ge17Mn10,AM,meltspin
Al60Ge30Mn10,AM,meltspin
Al65Ge15Mn20,CR,meltspin
Al59Ge31Ni10,AM,meltspin
Al62Ge25Ni13,AM,meltspin
Al64Ge26Ni10,AM,meltspin
Al69Ge25Ni6,AM,meltspin
Al60Ge30Ni10,AM,meltspin
Al55Ge30V15,AM,meltspin
Al55Ge35V10,AM,meltspin
Al60Ge25V15,AM,meltspin
Al60Ge30V10,AM,meltspin
Al65Ge25V10,AM,meltspin
Al45Ge40V15,CR,meltspin
Al50Ge25V25,CR,meltspin
Al50Ge30V20,CR,meltspin
Al50Ge35V15,CR,meltspin
Al50Ge40V10,CR,meltspin
Al55Ge25V20,CR,meltspin
Al60Ge20V20,CR,meltspin
Al60Ge35V5,CR,meltspin
Al65Ge20V15,CR,meltspin
Al65Ge30V5,CR,meltspin
Al70Ge20V10,CR,meltspin
Al70Ge25V5,CR,meltspin
Al75Ge15V10,CR,meltspin
Al52Ge38V10,AM,meltspin
Al57Ge25V18,AM,meltspin
Al68Ge22V10,AM,meltspin
Al69Ge25V6,AM,meltspin
Al10Hf65Ni25,AM,meltspin
Al10Hf65Ni25,AM,meltspin
Al25La55Mn20,AM,meltspin
Al85La7.5Mo7.5,AM,meltspin
Al85La7.5Nb7.5,AM,meltspin
Al0La60Ni40,AM,meltspin
Al0La70Ni30,AM,meltspin
Al5La40Ni55,AM,meltspin
Al5La55Ni40,AM,meltspin
Al5La65Ni30,AM,meltspin
Al5La75Ni20,AM,meltspin
Al10La30Ni60,AM,meltspin
Al10La35Ni55,AM,meltspin
Al10La40Ni50,AM,meltspin
Al10La45Ni45,AM,meltspin
Al10La50Ni40,AM,meltspin
Al10La55Ni35,AM,meltspin
Al10La60Ni30,AM,meltspin
Al10La65Ni25,AM,meltspin
Al10La70Ni20,AM,meltspin
Al10La75Ni15,AM,meltspin
Al10La80Ni10,AM,meltspin
Al15La30Ni55,AM,meltspin
Al15La40Ni45,AM,meltspin
Al15La50Ni35,AM,meltspin
Al15La55Ni30,AM,meltspin
Al15La60Ni25,AM,meltspin
Al15La65Ni20,AM,meltspin
Al15La70Ni15,AM,meltspin
Al15La75Ni10,AM,meltspin
Al15La80Ni5,AM,meltspin
Al20La30Ni50,AM,meltspin
Al20La35Ni45,AM,meltspin
Al20La40Ni40,AM,meltspin
Al20La45Ni35,AM,meltspin
Al20La50Ni30,AM,meltspin
Al20La55Ni25,AM,meltspin
Al20La60Ni20,AM,meltspin
Al20La65Ni15,AM,meltspin
Al20La70Ni10,AM,meltspin
Al20La75Ni5,AM,meltspin
Al20La80Ni0,AM,meltspin
Al25La30Ni45,AM,meltspin
Al25La40Ni35,AM,meltspin
Al25La45Ni30,AM,meltspin
Al25La50Ni25,AM,meltspin
Al25La55Ni20,AM,meltspin
Al25La60Ni15,AM,meltspin
Al25La65Ni10,AM,meltspin
Al25La70Ni5,AM,meltspin
Al30La20Ni50,AM,meltspin
Al30La25Ni45,AM,meltspin
Al30La30Ni40,AM,meltspin
Al30La35Ni35,AM,meltspin
Al30La40Ni30,AM,meltspin
Al30La45Ni25,AM,meltspin
Al30La50Ni20,AM,meltspin
Al30La55Ni15,AM,meltspin
Al30La60Ni10,AM,meltspin
Al30La65Ni5,AM,meltspin
Al35La25Ni40,AM,meltspin
Al35La30Ni35,AM,meltspin
Al35La35Ni30,AM,meltspin
Al35La40Ni25,AM,meltspin
Al35La45Ni20,AM,meltspin
Al35La50Ni15,AM,meltspin
Al35La55Ni10,AM,meltspin
Al35La60Ni5,AM,meltspin
Al40La20Ni40,AM,meltspin
Al40La25Ni35,AM,meltspin
Al40La30Ni30,AM,meltspin
Al40La35Ni25,AM,meltspin
Al40La40Ni20,AM,meltspin
Al40La45Ni15,AM,meltspin
Al40La50Ni10,AM,meltspin
Al40La55Ni5,AM,meltspin
Al40La60Ni0,AM,meltspin
Al45La25Ni30,AM,meltspin
Al45La30Ni25,AM,meltspin
Al45La35Ni20,AM,meltspin
Al45La40Ni15,AM,meltspin
Al45La45Ni10,AM,meltspin
Al50La25Ni25,AM,meltspin
Al50La30Ni20,AM,meltspin
Al50La35Ni15,AM,meltspin
Al50La40Ni10,AM,meltspin
Al50La45Ni5,AM,meltspin
Al50La50Ni0,AM,meltspin
Al55La20Ni25,AM,meltspin
Al55La40Ni5,AM,meltspin
Al55La45Ni0,AM,meltspin
Al60La20Ni20,AM,meltspin
Al65La15Ni20,AM,meltspin
Al70La5Ni25,AM,meltspin
Al75La5Ni20,AM,meltspin
Al75La10Ni15,AM,meltspin
Al80La10Ni10,AM,meltspin
Al85La5Ni10,AM,meltspin
Al85La10Ni5,AM,meltspin
Al90La10Ni0,AM,meltspin
Al10La25Ni65,AC,meltspin
Al15La25Ni60,AC,meltspin
Al20La20Ni60,AC,meltspin
Al40La15Ni45,AC,meltspin
Al50La15Ni35,AC,meltspin
Al55La30Ni15,AC,meltspin
Al90La5Ni5,AC,meltspin
Al0La30Ni70,CR,meltspin
Al0La40Ni60,CR,meltspin
Al0La50Ni50,CR,meltspin
Al0La80Ni20,CR,meltspin
Al0La90Ni10,CR,meltspin
Al10La10Ni80,CR,meltspin
Al10La20Ni70,CR,meltspin
Al10La90Ni0,CR,meltspin
Al20La10Ni70,CR,meltspin
Al30La10Ni60,CR,meltspin
Al30La15Ni55,CR,meltspin
Al40La10Ni50,CR,meltspin
Al50La10Ni40,CR,meltspin
Al55La35Ni10,CR,meltspin
Al60La10Ni30,CR,meltspin
Al60La30Ni10,CR,meltspin
Al60La40Ni0,CR,meltspin
Al65La25Ni10,CR,meltspin
Al65La30Ni5,CR,meltspin
Al70La15Ni15,CR,meltspin
Al70La20Ni10,CR,meltspin
Al70La25Ni5,CR,meltspin
Al70La30Ni0,CR,meltspin
Al75La15Ni10,CR,meltspin
Al80La15Ni5,CR,meltspin
Al80La20Ni0,CR,meltspin
Al0La60Ni40,AM,meltspin
Al0La70Ni30,AM,meltspin
Al5La40Ni55,AM,meltspin
Al5La55Ni40,AM,meltspin
Al5La65Ni30,AM,meltspin
Al5La75Ni20,AM,meltspin
Al10La30Ni60,AM,meltspin
Al10La35Ni55,AM,meltspin
Al10La40Ni50,AM,meltspin
Al10La45Ni45,AM,meltspin
