,formula,chemsys_abc,gfa
756,Al51La49,Al-La,0
757,Al50La50,Al-La,0
758,Al49La51,Al-La,0
759,Al48La52,Al-La,0
760,Al47La53,Al-La,0
761,Al46La54,Al-La,0
762,Al45La55,Al-La,0
763,Al44La56,Al-La,0
764,Al43La57,Al-La,0
765,Al42La58,Al-La,0
766,Al41La59,Al-La,0
767,Al40La60,Al-La,0
768,Al39La61,Al-La,0
769,Al38La62,Al-La,0
770,Al37La63,Al-La,0
771,Al36La64,Al-La,0
772,Al35La65,Al-La,0
773,Al34La66,Al-La,0
774,Al33La67,Al-La,0
775,Al32La68,Al-La,0
776,Al31La69,Al-La,0
777,Al30La70,Al-La,0
778,Al29La71,Al-La,0
779,Al28La72,Al-La,0
780,Al27La73,Al-La,0
781,Al26La74,Al-La,0
782,Al25La75,Al-La,0
783,Al24La76,Al-La,0
784,Al23La77,Al-La,0
785,Al22La78,Al-La,0
786,Al21La79,Al-La,0
787,Al20La80,Al-La,0
788,Al19La81,Al-La,0
789,Al18La82,Al-La,0
790,Al17La83,Al-La,0
791,Al16La84,Al-La,0
792,Al15La85,Al-La,0
793,Al14La86,Al-La,0
794,Al13La87,Al-La,0
795,Al12La88,Al-La,0
796,Al11La89,Al-La,0
797,Al10La90,Al-La,0
798,Al9La91,Al-La,0
799,Al8La92,Al-La,0
800,Al7La93,Al-La,0
801,Al6La94,Al-La,0
802,Al5La95,Al-La,0
803,Al4La96,Al-La,0
804,Al3La97,Al-La,0
805,Al2La98,Al-La,0
806,Al1La99,Al-La,0
807,Al0La100,Al-La,0
808,Al100La0,Al-La,0
809,Al99La1,Al-La,0
810,Al98La2,Al-La,0
811,Al97La3,Al-La,0
812,Al96La4,Al-La,0
813,Al95La5,Al-La,0
814,Al94La6,Al-La,0
815,Al93La7,Al-La,0
816,Al92La8,Al-La,0
817,Al91La9,Al-La,0
818,Al90La10,Al-La,0
819,Al89La11,Al-La,0
820,Al88La12,Al-La,0
821,Al87La13,Al-La,0
822,Al86La14,Al-La,0
823,Al85La15,Al-La,0
824,Al84La16,Al-La,0
825,Al83La17,Al-La,0
826,Al82La18,Al-La,0
827,Al81La19,Al-La,0
828,Al80La20,Al-La,0
829,Al79La21,Al-La,0
830,Al78La22,Al-La,0
831,Al77La23,Al-La,0
832,Al76La24,Al-La,0
833,Al75La25,Al-La,0
834,Al74La26,Al-La,0
835,Al73La27,Al-La,0
836,Al72La28,Al-La,0
837,Al71La29,Al-La,0
838,Al70La30,Al-La,0
839,Al69La31,Al-La,0
840,Al68La32,Al-La,0
841,Al67La33,Al-La,0
842,Al66La34,Al-La,0
843,Al65La35,Al-La,0
844,Al64La36,Al-La,0
845,Al63La37,Al-La,0
846,Al62La38,Al-La,0
847,Al61La39,Al-La,0
848,Al60La40,Al-La,0
849,Al59La41,Al-La,0
850,Al58La42,Al-La,0
851,Al57La43,Al-La,0
852,Al56La44,Al-La,0
853,Al55La45,Al-La,1
854,Al54La46,Al-La,1
855,Al53La47,Al-La,1
856,Al52La48,Al-La,1
857,Al51La49,Al-La,1
858,Al50La50,Al-La,1
859,Al49La51,Al-La,1
860,Al48La52,Al-La,1
861,Al47La53,Al-La,1
862,Al46La54,Al-La,1
863,Al45La55,Al-La,1
864,Al44La56,Al-La,1
865,Al43La57,Al-La,1
866,Al42La58,Al-La,1
867,Al41La59,Al-La,1
868,Al40La60,Al-La,1
869,Al39La61,Al-La,1
870,Al38La62,Al-La,1
871,Al37La63,Al-La,1
872,Al36La64,Al-La,1
873,Al35La65,Al-La,1
874,Al34La66,Al-La,1
875,Al33La67,Al-La,1
876,Al32La68,Al-La,1
877,Al31La69,Al-La,1
878,Al30La70,Al-La,1
879,Al29La71,Al-La,1
880,Al28La72,Al-La,1
881,Al27La73,Al-La,1
882,Al26La74,Al-La,1
883,Al25La75,Al-La,1
884,Al24La76,Al-La,1
885,Al23La77,Al-La,1
886,Al22La78,Al-La,1
887,Al21La79,Al-La,1
888,Al20La80,Al-La,1
889,Al19La81,Al-La,1
890,Al18La82,Al-La,1
891,Al17La83,Al-La,1
892,Al16La84,Al-La,1
893,Al15La85,Al-La,1
894,Al14La86,Al-La,1
895,Al13La87,Al-La,1
896,Al12La88,Al-La,0
897,Al11La89,Al-La,0
898,Al10La90,Al-La,0
899,Al9La91,Al-La,0
900,Al8La92,Al-La,0
901,Al7La93,Al-La,0
902,Al6La94,Al-La,0
903,Al5La95,Al-La,0
904,Al4La96,Al-La,0
905,Al3La97,Al-La,0
906,Al2La98,Al-La,0
907,Al1La99,Al-La,0
908,Al0La100,Al-La,0
909,Al100Mn0,Al-Mn,0
910,Al99Mn1,Al-Mn,0
911,Al98Mn2,Al-Mn,0
912,Al97Mn3,Al-Mn,0
913,Al96Mn4,Al-Mn,0
914,Al95Mn5,Al-Mn,0
915,Al94Mn6,Al-Mn,0
916,Al93Mn7,Al-Mn,0
917,Al92Mn8,Al-Mn,0
918,Al91Mn9,Al-Mn,0
919,Al90Mn10,Al-Mn,0
920,Al89Mn11,Al-Mn,0
921,Al88Mn12,Al-Mn,0
922,Al87Mn13,Al-Mn,0
923,Al86Mn14,Al-Mn,0
924,Al85Mn15,Al-Mn,1
925,Al84Mn16,Al-Mn,1
926,Al83Mn17,Al-Mn,1
927,Al82Mn18,Al-Mn,1
928,Al81Mn19,Al-Mn,1
929,Al80Mn20,Al-Mn,1
930,Al79Mn21,Al-Mn,1
931,Al78Mn22,Al-Mn,1
932,Al77Mn23,Al-Mn,1
933,Al76Mn24,Al-Mn,1
934,Al75Mn25,Al-Mn,1
935,Al74Mn26,Al-Mn,0
936,Al73Mn27,Al-Mn,0
937,Al72Mn28,Al-Mn,0
938,Al71Mn29,Al-Mn,0
939,Al70Mn30,Al-Mn,0
940,Al69Mn31,Al-Mn,0
941,Al68Mn32,Al-Mn,0
942,Al67Mn33,Al-Mn,0
943,Al66Mn34,Al-Mn,0
944,Al65Mn35,Al-Mn,0
945,Al64Mn36,Al-Mn,0
946,Al63Mn37,Al-Mn,0
947,Al62Mn38,Al-Mn,0
948,Al61Mn39,Al-Mn,0
949,Al60Mn40,Al-Mn,0
950,Al59Mn41,Al-Mn,0
951,Al58Mn42,Al-Mn,0
952,Al57Mn43,Al-Mn,0
953,Al56Mn44,Al-Mn,0
954,Al55Mn45,Al-Mn,0
955,Al54Mn46,Al-Mn,0
956,Al53Mn47,Al-Mn,0
957,Al52Mn48,Al-Mn,0
958,Al51Mn49,Al-Mn,0
959,Al50Mn50,Al-Mn,0
960,Al49Mn51,Al-Mn,0
961,Al48Mn52,Al-Mn,0
962,Al47Mn53,Al-Mn,0
963,Al46Mn54,Al-Mn,0
964,Al45Mn55,Al-Mn,0
965,Al44Mn56,Al-Mn,0
966,Al43Mn57,Al-Mn,0
967,Al42Mn58,Al-Mn,0
968,Al41Mn59,Al-Mn,0
969,Al40Mn60,Al-Mn,0
970,Al39Mn61,Al-Mn,0
971,Al38Mn62,Al-Mn,0
972,Al37Mn63,Al-Mn,0
973,Al36Mn64,Al-Mn,0
974,Al35Mn65,Al-Mn,0
975,Al34Mn66,Al-Mn,0
976,Al33Mn67,Al-Mn,0
977,Al32Mn68,Al-Mn,0
978,Al31Mn69,Al-Mn,0
979,Al30Mn70,Al-Mn,0
980,Al29Mn71,Al-Mn,0
981,Al28Mn72,Al-Mn,0
982,Al27Mn73,Al-Mn,0
983,Al26Mn74,Al-Mn,0
984,Al25Mn75,Al-Mn,0
985,Al24Mn76,Al-Mn,0
986,Al23Mn77,Al-Mn,0
987,Al22Mn78,Al-Mn,0
988,Al21Mn79,Al-Mn,0
989,Al20Mn80,Al-Mn,0
990,Al19Mn81,Al-Mn,0
991,Al18Mn82,Al-Mn,0
992,Al17Mn83,Al-Mn,0
993,Al16Mn84,Al-Mn,0
994,Al15Mn85,Al-Mn,0
995,Al14Mn86,Al-Mn,0
996,Al13Mn87,Al-Mn,0
997,Al12Mn88,Al-Mn,0
998,Al11Mn89,Al-Mn,0
999,Al10Mn90,Al-Mn,0
1000,Al9Mn91,Al-Mn,0
1001,Al8Mn92,Al-Mn,0
1002,Al7Mn93,Al-Mn,0
1003,Al6Mn94,Al-Mn,0
1004,Al5Mn95,Al-Mn,0
1005,Al4Mn96,Al-Mn,0
1006,Al3Mn97,Al-Mn,0
1007,Al2Mn98,Al-Mn,0
1008,Al1Mn99,Al-Mn,0
1009,Al0Mn100,Al-Mn,0
1010,Al100Nd0,Al-Nd,0
1011,Al99Nd1,Al-Nd,0
1012,Al98Nd2,Al-Nd,0
1013,Al97Nd3,Al-Nd,0
1014,Al96Nd4,Al-Nd,0
1015,Al95Nd5,Al-Nd,0
1016,Al94Nd6,Al-Nd,0
1017,Al93Nd7,Al-Nd,0
1018,Al92Nd8,Al-Nd,1
1019,Al91Nd9,Al-Nd,1
1020,Al90Nd10,Al-Nd,1
1021,Al89Nd11,Al-Nd,1
1022,Al88Nd12,Al-Nd,1
1023,Al87Nd13,Al-Nd,1
1024,Al86Nd14,Al-Nd,1
1025,Al85Nd15,Al-Nd,0
1026,Al84Nd16,Al-Nd,0
1027,Al83Nd17,Al-Nd,0
1028,Al82Nd18,Al-Nd,0
1029,Al81Nd19,Al-Nd,0
1030,Al80Nd20,Al-Nd,0
1031,Al79Nd21,Al-Nd,0
1032,Al78Nd22,Al-Nd,0
1033,Al77Nd23,Al-Nd,0
1034,Al76Nd24,Al-Nd,0
1035,Al75Nd25,Al-Nd,0
1036,Al74Nd26,Al-Nd,0
1037,Al73Nd27,Al-Nd,0
1038,Al72Nd28,Al-Nd,0
1039,Al71Nd29,Al-Nd,0
1040,Al70Nd30,Al-Nd,0
1041,Al69Nd31,Al-Nd,0
1042,Al68Nd32,Al-Nd,0
1043,Al67Nd33,Al-Nd,0
1044,Al66Nd34,Al-Nd,0
1045,Al65Nd35,Al-Nd,0
1046,Al64Nd36,Al-Nd,0
1047,Al63Nd37,Al-Nd,0
1048,Al62Nd38,Al-Nd,0
1049,Al61Nd39,Al-Nd,0
1050,Al60Nd40,Al-Nd,0
1051,Al59Nd41,Al-Nd,0
1052,Al58Nd42,Al-Nd,0
1053,Al57Nd43,Al-Nd,0
1054,Al56Nd44,Al-Nd,0
1055,Al55Nd45,Al-Nd,0
1056,Al54Nd46,Al-Nd,0
1057,Al53Nd47,Al-Nd,0
1058,Al52Nd48,Al-Nd,0
1059,Al51Nd49,Al-Nd,0
1060,Al50Nd50,Al-Nd,0
1061,Al49Nd51,Al-Nd,0
1062,Al48Nd52,Al-Nd,0
1063,Al47Nd53,Al-Nd,0
1064,Al46Nd54,Al-Nd,0
1065,Al45Nd55,Al-Nd,0
1066,Al44Nd56,Al-Nd,0
1067,Al43Nd57,Al-Nd,0
1068,Al42Nd58,Al-Nd,0
1069,Al41Nd59,Al-Nd,0
1070,Al40Nd60,Al-Nd,0
1071,Al39Nd61,Al-Nd,0
1072,Al38Nd62,Al-Nd,0
1073,Al37Nd63,Al-Nd,0
1074,Al36Nd64,Al-Nd,0
1075,Al35Nd65,Al-Nd,0
1076,Al34Nd66,Al-Nd,0
1077,Al33Nd67,Al-Nd,0
1078,Al32Nd68,Al-Nd,0
1079,Al31Nd69,Al-Nd,0
1080,Al30Nd70,Al-Nd,0
1081,Al29Nd71,Al-Nd,0
1082,Al28Nd72,Al-Nd,0
1083,Al27Nd73,Al-Nd,0
1084,Al26Nd74,Al-Nd,0
1085,Al25Nd75,Al-Nd,0
1086,Al24Nd76,Al-Nd,0
1087,Al23Nd77,Al-Nd,0
1088,Al22Nd78,Al-Nd,0
1089,Al21Nd79,Al-Nd,0
1090,Al20Nd80,Al-Nd,0
1091,Al19Nd81,Al-Nd,0
1092,Al18Nd82,Al-Nd,0
1093,Al17Nd83,Al-Nd,0
1094,Al16Nd84,Al-Nd,0
1095,Al15Nd85,Al-Nd,0
1096,Al14Nd86,Al-Nd,0
1097,Al13Nd87,Al-Nd,0
1098,Al12Nd88,Al-Nd,0
1099,Al11Nd89,Al-Nd,0
1100,Al10Nd90,Al-Nd,0
1101,Al9Nd91,Al-Nd,0
1102,Al8Nd92,Al-Nd,0
1103,Al7Nd93,Al-Nd,0
1104,Al6Nd94,Al-Nd,0
1105,Al5Nd95,Al-Nd,0
1106,Al4Nd96,Al-Nd,0
1107,Al3Nd97,Al-Nd,0
1108,Al2Nd98,Al-Nd,0
1109,Al1Nd99,Al-Nd,0
1110,Al0Nd100,Al-Nd,0
1111,Al100Pr0,Al-Pr,0
1112,Al99Pr1,Al-Pr,0
1113,Al98Pr2,Al-Pr,0
1114,Al97Pr3,Al-Pr,0
1115,Al96Pr4,Al-Pr,0
1116,Al95Pr5,Al-Pr,0
1117,Al94Pr6,Al-Pr,0
1118,Al93Pr7,Al-Pr,0
1119,Al92Pr8,Al-Pr,0
1120,Al91Pr9,Al-Pr,1
1121,Al90Pr10,Al-Pr,1
1122,Al89Pr11,Al-Pr,1
1123,Al88Pr12,Al-Pr,0
1124,Al87Pr13,Al-Pr,0
1125,Al86Pr14,Al-Pr,0
1126,Al85Pr15,Al-Pr,0
1127,Al84Pr16,Al-Pr,0
1128,Al83Pr17,Al-Pr,0
1129,Al82Pr18,Al-Pr,0
1130,Al81Pr19,Al-Pr,0
1131,Al80Pr20,Al-Pr,0
1132,Al79Pr21,Al-Pr,0
1133,Al78Pr22,Al-Pr,0
1134,Al77Pr23,Al-Pr,0
1135,Al76Pr24,Al-Pr,0
1136,Al75Pr25,Al-Pr,0
1137,Al74Pr26,Al-Pr,0
1138,Al73Pr27,Al-Pr,0
1139,Al72Pr28,Al-Pr,0
1140,Al71Pr29,Al-Pr,0
1141,Al70Pr30,Al-Pr,0
1142,Al69Pr31,Al-Pr,0
1143,Al68Pr32,Al-Pr,0
1144,Al67Pr33,Al-Pr,0
1145,Al66Pr34,Al-Pr,0
1146,Al65Pr35,Al-Pr,0
1147,Al64Pr36,Al-Pr,0
1148,Al63Pr37,Al-Pr,0
1149,Al62Pr38,Al-Pr,0
1150,Al61Pr39,Al-Pr,0
1151,Al60Pr40,Al-Pr,0
1152,Al59Pr41,Al-Pr,0
1153,Al58Pr42,Al-Pr,0
1154,Al57Pr43,Al-Pr,0
1155,Al56Pr44,Al-Pr,0
1156,Al55Pr45,Al-Pr,0
1157,Al54Pr46,Al-Pr,0
1158,Al53Pr47,Al-Pr,0
1159,Al52Pr48,Al-Pr,0
1160,Al51Pr49,Al-Pr,0
1161,Al50Pr50,Al-Pr,0
1162,Al49Pr51,Al-Pr,0
1163,Al48Pr52,Al-Pr,0
1164,Al47Pr53,Al-Pr,0
1165,Al46Pr54,Al-Pr,0
1166,Al45Pr55,Al-Pr,0
1167,Al44Pr56,Al-Pr,0
1168,Al43Pr57,Al-Pr,0
1169,Al42Pr58,Al-Pr,0
1170,Al41Pr59,Al-Pr,0
1171,Al40Pr60,Al-Pr,0
1172,Al39Pr61,Al-Pr,0
1173,Al38Pr62,Al-Pr,0
1174,Al37Pr63,Al-Pr,0
1175,Al36Pr64,Al-Pr,0
1176,Al35Pr65,Al-Pr,0
1177,Al34Pr66,Al-Pr,0
1178,Al33Pr67,Al-Pr,0
1179,Al32Pr68,Al-Pr,0
1180,Al31Pr69,Al-Pr,0
1181,Al30Pr70,Al-Pr,0
1182,Al29Pr71,Al-Pr,0
1183,Al28Pr72,Al-Pr,0
1184,Al27Pr73,Al-Pr,0
1185,Al26Pr74,Al-Pr,0
1186,Al25Pr75,Al-Pr,0
1187,Al24Pr76,Al-Pr,0
1188,Al23Pr77,Al-Pr,0
1189,Al22Pr78,Al-Pr,0
1190,Al21Pr79,Al-Pr,0
1191,Al20Pr80,Al-Pr,0
1192,Al19Pr81,Al-Pr,0
1193,Al18Pr82,Al-Pr,0
1194,Al17Pr83,Al-Pr,0
1195,Al16Pr84,Al-Pr,0
1196,Al15Pr85,Al-Pr,0
1197,Al14Pr86,Al-Pr,0
1198,Al13Pr87,Al-Pr,0
1199,Al12Pr88,Al-Pr,0
1200,Al11Pr89,Al-Pr,0
1201,Al10Pr90,Al-Pr,0
1202,Al9Pr91,Al-Pr,0
1203,Al8Pr92,Al-Pr,0
1204,Al7Pr93,Al-Pr,0
1205,Al6Pr94,Al-Pr,0
1206,Al5Pr95,Al-Pr,0
1207,Al4Pr96,Al-Pr,0
1208,Al3Pr97,Al-Pr,0
1209,Al2Pr98,Al-Pr,0
1210,Al1Pr99,Al-Pr,0
1211,Al0Pr100,Al-Pr,0
1212,Al100Sm0,Al-Sm,0
1213,Al99Sm1,Al-Sm,0
1214,Al98Sm2,Al-Sm,0
1215,Al97Sm3,Al-Sm,0
1216,Al96Sm4,Al-Sm,0
1217,Al95Sm5,Al-Sm,0
1218,Al94Sm6,Al-Sm,0
1219,Al93Sm7,Al-Sm,0
1220,Al92Sm8,Al-Sm,1
1221,Al91Sm9,Al-Sm,1
1222,Al90Sm10,Al-Sm,1
1223,Al89Sm11,Al-Sm,1
1224,Al88Sm12,Al-Sm,1
1225,Al87Sm13,Al-Sm,1
1226,Al86Sm14,Al-Sm,1
1227,Al85Sm15,Al-Sm,1
1228,Al84Sm16,Al-Sm,1
1229,Al83Sm17,Al-Sm,0
1230,Al82Sm18,Al-Sm,0
1231,Al81Sm19,Al-Sm,0
1232,Al80Sm20,Al-Sm,0
1233,Al79Sm21,Al-Sm,0
1234,Al78Sm22,Al-Sm,0
1235,Al77Sm23,Al-Sm,0
1236,Al76Sm24,Al-Sm,0
1237,Al75Sm25,Al-Sm,0
1238,Al74Sm26,Al-Sm,0
1239,Al73Sm27,Al-Sm,0
1240,Al72Sm28,Al-Sm,0
1241,Al71Sm29,Al-Sm,0
1242,Al70Sm30,Al-Sm,0
1243,Al69Sm31,Al-Sm,0
1244,Al68Sm32,Al-Sm,0
1245,Al67Sm33,Al-Sm,0
1246,Al66Sm34,Al-Sm,0
1247,Al65Sm35,Al-Sm,0
1248,Al64Sm36,Al-Sm,0
1249,Al63Sm37,Al-Sm,0
1250,Al62Sm38,Al-Sm,0
1251,Al61Sm39,Al-Sm,0
1252,Al60Sm40,Al-Sm,0
1253,Al59Sm41,Al-Sm,0
1254,Al58Sm42,Al-Sm,0
1255,Al57Sm43,Al-Sm,0
1256,Al56Sm44,Al-Sm,0
1257,Al55Sm45,Al-Sm,0
1258,Al54Sm46,Al-Sm,0
1259,Al53Sm47,Al-Sm,0
1260,Al52Sm48,Al-Sm,0
1261,Al51Sm49,Al-Sm,0
1262,Al50Sm50,Al-Sm,0
1263,Al49Sm51,Al-Sm,0
1264,Al48Sm52,Al-Sm,0
1265,Al47Sm53,Al-Sm,0
1266,Al46Sm54,Al-Sm,0
1267,Al45Sm55,Al-Sm,0
1268,Al44Sm56,Al-Sm,0
1269,Al43Sm57,Al-Sm,0
1270,Al42Sm58,Al-Sm,0
1271,Al41Sm59,Al-Sm,0
1272,Al40Sm60,Al-Sm,0
1273,Al39Sm61,Al-Sm,0
1274,Al38Sm62,Al-Sm,0
1275,Al37Sm63,Al-Sm,0
1276,Al36Sm64,Al-Sm,0
1277,Al35Sm65,Al-Sm,0
1278,Al34Sm66,Al-Sm,0
1279,Al33Sm67,Al-Sm,0
1280,Al32Sm68,Al-Sm,0
1281,Al31Sm69,Al-Sm,0
1282,Al30Sm70,Al-Sm,0
1283,Al29Sm71,Al-Sm,0
1284,Al28Sm72,Al-Sm,0
1285,Al27Sm73,Al-Sm,0
1286,Al26Sm74,Al-Sm,0
1287,Al25Sm75,Al-Sm,0
1288,Al24Sm76,Al-Sm,0
1289,Al23Sm77,Al-Sm,0
1290,Al22Sm78,Al-Sm,0
1291,Al21Sm79,Al-Sm,0
1292,Al20Sm80,Al-Sm,0
1293,Al19Sm81,Al-Sm,0
1294,Al18Sm82,Al-Sm,0
1295,Al17Sm83,Al-Sm,0
1296,Al16Sm84,Al-Sm,0
1297,Al15Sm85,Al-Sm,0
1298,Al14Sm86,Al-Sm,0
1299,Al13Sm87,Al-Sm,0
1300,Al12Sm88,Al-Sm,0
1301,Al11Sm89,Al-Sm,0
1302,Al10Sm90,Al-Sm,0
1303,Al9Sm91,Al-Sm,0
1304,Al8Sm92,Al-Sm,0
1305,Al7Sm93,Al-Sm,0
1306,Al6Sm94,Al-Sm,0
1307,Al5Sm95,Al-Sm,0
1308,Al4Sm96,Al-Sm,0
1309,Al3Sm97,Al-Sm,0
1310,Al2Sm98,Al-Sm,0
1311,Al1Sm99,Al-Sm,0
1312,Al0Sm100,Al-Sm,0
1313,Al100Tb0,Al-Tb,0
1314,Al99Tb1,Al-Tb,0
1315,Al98Tb2,Al-Tb,0
1316,Al97Tb3,Al-Tb,0
1317,Al96Tb4,Al-Tb,0
1318,Al95Tb5,Al-Tb,0
1319,Al94Tb6,Al-Tb,0
1320,Al93Tb7,Al-Tb,0
1321,Al92Tb8,Al-Tb,0
1322,Al91Tb9,Al-Tb,1
1323,Al90Tb10,Al-Tb,1
1324,Al89Tb11,Al-Tb,1
1325,Al88Tb12,Al-Tb,1
1326,Al87Tb13,Al-Tb,1
1327,Al86Tb14,Al-Tb,1
1328,Al85Tb15,Al-Tb,0
1329,Al84Tb16,Al-Tb,0
1330,Al83Tb17,Al-Tb,0
1331,Al82Tb18,Al-Tb,0
1332,Al81Tb19,Al-Tb,0
1333,Al80Tb20,Al-Tb,0
1334,Al79Tb21,Al-Tb,0
1335,Al78Tb22,Al-Tb,0
1336,Al77Tb23,Al-Tb,0
1337,Al76Tb24,Al-Tb,0
1338,Al75Tb25,Al-Tb,0
1339,Al74Tb26,Al-Tb,0
1340,Al73Tb27,Al-Tb,0
1341,Al72Tb28,Al-Tb,0
1342,Al71Tb29,Al-Tb,0
1343,Al70Tb30,Al-Tb,0
1344,Al69Tb31,Al-Tb,0
1345,Al68Tb32,Al-Tb,0
1346,Al67Tb33,Al-Tb,0
1347,Al66Tb34,Al-Tb,0
1348,Al65Tb35,Al-Tb,0
1349,Al64Tb36,Al-Tb,0
1350,Al63Tb37,Al-Tb,0
1351,Al62Tb38,Al-Tb,0
1352,Al61Tb39,Al-Tb,0
1353,Al60Tb40,Al-Tb,0
1354,Al59Tb41,Al-Tb,0
1355,Al58Tb42,Al-Tb,0
1356,Al57Tb43,Al-Tb,0
1357,Al56Tb44,Al-Tb,0
1358,Al55Tb45,Al-Tb,0
1359,Al54Tb46,Al-Tb,0
1360,Al53Tb47,Al-Tb,0
1361,Al52Tb48,Al-Tb,0
1362,Al51Tb49,Al-Tb,0
1363,Al50Tb50,Al-Tb,0
1364,Al49Tb51,Al-Tb,0
1365,Al48Tb52,Al-Tb,0
1366,Al47Tb53,Al-Tb,0
1367,Al46Tb54,Al-Tb,0
1368,Al45Tb55,Al-Tb,0
1369,Al44Tb56,Al-Tb,0
1370,Al43Tb57,Al-Tb,0
1371,Al42Tb58,Al-Tb,0
1372,Al41Tb59,Al-Tb,0
1373,Al40Tb60,Al-Tb,0
1374,Al39Tb61,Al-Tb,0
1375,Al38Tb62,Al-Tb,0
1376,Al37Tb63,Al-Tb,0
1377,Al36Tb64,Al-Tb,0
1378,Al35Tb65,Al-Tb,0
1379,Al34Tb66,Al-Tb,0
1380,Al33Tb67,Al-Tb,0
1381,Al32Tb68,Al-Tb,0
1382,Al31Tb69,Al-Tb,0
1383,Al30Tb70,Al-Tb,0
1384,Al29Tb71,Al-Tb,0
1385,Al28Tb72,Al-Tb,0
1386,Al27Tb73,Al-Tb,0
1387,Al26Tb74,Al-Tb,0
1388,Al25Tb75,Al-Tb,0
1389,Al24Tb76,Al-Tb,0
1390,Al23Tb77,Al-Tb,0
1391,Al22Tb78,Al-Tb,0
1392,Al21Tb79,Al-Tb,0
1393,Al20Tb80,Al-Tb,0
1394,Al19Tb81,Al-Tb,0
1395,Al18Tb82,Al-Tb,0
1396,Al17Tb83,Al-Tb,0
1397,Al16Tb84,Al-Tb,0
1398,Al15Tb85,Al-Tb,0
1399,Al14Tb86,Al-Tb,0
1400,Al13Tb87,Al-Tb,0
1401,Al12Tb88,Al-Tb,0
1402,Al11Tb89,Al-Tb,0
1403,Al10Tb90,Al-Tb,0
1404,Al9Tb91,Al-Tb,0
1405,Al8Tb92,Al-Tb,0
1406,Al7Tb93,Al-Tb,0
1407,Al6Tb94,Al-Tb,0
1408,Al5Tb95,Al-Tb,0
1409,Al4Tb96,Al-Tb,0
1410,Al3Tb97,Al-Tb,0
1411,Al2Tb98,Al-Tb,0
1412,Al1Tb99,Al-Tb,0
1413,Al0Tb100,Al-Tb,0
1414,Al100Y0,Al-Y,0
1415,Al99Y1,Al-Y,0
1416,Al98Y2,Al-Y,0
1417,Al97Y3,Al-Y,0
1418,Al96Y4,Al-Y,0
1419,Al95Y5,Al-Y,0
1420,Al94Y6,Al-Y,0
1421,Al93Y7,Al-Y,0
1422,Al92Y8,Al-Y,1
1423,Al91Y9,Al-Y,1
1424,Al90Y10,Al-Y,1
1425,Al89Y11,Al-Y,1
1426,Al88Y12,Al-Y,1
1427,Al87Y13,Al-Y,1
1428,Al86Y14,Al-Y,1
1429,Al85Y15,Al-Y,1
1430,Al84Y16,Al-Y,0
1431,Al83Y17,Al-Y,0
1432,Al82Y18,Al-Y,0
1433,Al81Y19,Al-Y,0
1434,Al80Y20,Al-Y,0
1435,Al79Y21,Al-Y,0
1436,Al78Y22,Al-Y,0
1437,Al77Y23,Al-Y,0
1438,Al76Y24,Al-Y,0
1439,Al75Y25,Al-Y,0
1440,Al74Y26,Al-Y,0
1441,Al73Y27,Al-Y,0
1442,Al72Y28,Al-Y,0
1443,Al71Y29,Al-Y,0
1444,Al70Y30,Al-Y,0
1445,Al69Y31,Al-Y,0
1446,Al68Y32,Al-Y,0
1447,Al67Y33,Al-Y,0
1448,Al66Y34,Al-Y,0
1449,Al65Y35,Al-Y,0
1450,Al64Y36,Al-Y,0
1451,Al63Y37,Al-Y,0
1452,Al62Y38,Al-Y,0
1453,Al61Y39,Al-Y,0
1454,Al60Y40,Al-Y,0
1455,Al59Y41,Al-Y,0
1456,Al58Y42,Al-Y,0
1457,Al57Y43,Al-Y,0
1458,Al56Y44,Al-Y,0
1459,Al55Y45,Al-Y,0
1460,Al54Y46,Al-Y,0
1461,Al53Y47,Al-Y,0
1462,Al52Y48,Al-Y,0
1463,Al51Y49,Al-Y,0
1464,Al50Y50,Al-Y,0
1465,Al49Y51,Al-Y,0
1466,Al48Y52,Al-Y,0
1467,Al47Y53,Al-Y,0
1468,Al46Y54,Al-Y,0
1469,Al45Y55,Al-Y,0
1470,Al44Y56,Al-Y,0
1471,Al43Y57,Al-Y,0
1472,Al42Y58,Al-Y,0
1473,Al41Y59,Al-Y,0
1474,Al40Y60,Al-Y,0
1475,Al39Y61,Al-Y,0
1476,Al38Y62,Al-Y,0
1477,Al37Y63,Al-Y,0
1478,Al36Y64,Al-Y,0
1479,Al35Y65,Al-Y,0
1480,Al34Y66,Al-Y,0
1481,Al33Y67,Al-Y,0
1482,Al32Y68,Al-Y,0
1483,Al31Y69,Al-Y,0
1484,Al30Y70,Al-Y,0
1485,Al29Y71,Al-Y,0
1486,Al28Y72,Al-Y,0
1487,Al27Y73,Al-Y,0
1488,Al26Y74,Al-Y,0
1489,Al25Y75,Al-Y,0
1490,Al24Y76,Al-Y,0
1491,Al23Y77,Al-Y,0
1492,Al22Y78,Al-Y,0
1493,Al21Y79,Al-Y,0
1494,Al20Y80,Al-Y,0
1495,Al19Y81,Al-Y,0
1496,Al18Y82,Al-Y,0
1497,Al17Y83,Al-Y,0
1498,Al16Y84,Al-Y,0
1499,Al15Y85,Al-Y,0
1500,Al14Y86,Al-Y,0
1501,Al13Y87,Al-Y,0
1502,Al12Y88,Al-Y,0
1503,Al11Y89,Al-Y,0
1504,Al10Y90,Al-Y,0
1505,Al9Y91,Al-Y,0
1506,Al8Y92,Al-Y,0
