formula,phase,gfa
Al85Cr15Si0,QC,0
Al86Cr14Si0,QC,0
Al45Cr20Si35,CR,0
Al55Cr20Si25,CR,0
Al55Cr25Si20,CR,0
Al57Cr23Si20,CR,0
Al57Cr28Si15,CR,0
Al60Cr5Si35,CR,0
Al60Cr30Si10,CR,0
Al65Cr25Si10,CR,0
Al70Cr5Si25,CR,0
Al70Cr25Si5,CR,0
Al75Cr5Si20,CR,0
Al80Cr5Si15,CR,0
Al80Cr20Si0,CR,0
Al81Cr19Si0,CR,0
Al83Cr17Si0,CR,0
Al96Cr4Si0,CR,0
Al45Cr15Si40,OT,0
Al58Cr20Si22,OT,0
Al60Cr25Si15,OT,0
Al63Cr15Si22,OT,0
Al65Cr15Si20,OT,0
Al65Cr20Si15,OT,0
Al68Cr15Si17,OT,0
Al70Cr10Si20,OT,0
Al70Cr15Si15,OT,0
Al70Cr20Si10,OT,0
Al75Cr10Si15,OT,0
Al75Cr15Si10,OT,0
Al75Cr20Si5,OT,0
Al80Cr10Si10,OT,0
Al85Cr5Si10,OT,0
Al85Cr10Si5,OT,0
Al88Cr10Si2,OT,0
Al88Cr12Si0,OT,0
Al90Cr5Si5,OT,0
Al90Cr10Si0,OT,0
Al92Cr8Si0,OT,0
Al94Cr6Si0,OT,0
Al20Cr10Zr70,AM,1
Al75Cr20Zr5,AC,0
Al77Cr18Zr5,AC,0
Al64Cr23Zr13,QC,0
Al65Cr20Zr15,QC,0
Al67Cr18Zr15,QC,0
Al71Cr17Zr12,QC,0
Al60Cr20Zr20,CR,0
Al65Cr15Zr20,CR,0
Al60Cr23Zr17,OT,0
Al60Cr25Zr15,OT,0
Al65Cr25Zr10,OT,0
Al70Cr10Zr20,OT,0
Al70Cr15Zr15,OT,0
Al70Cr20Zr10,OT,0
Al95.3Cr3.4Zr1.3,OT,0
Al63Cr25Zr12,QC,0
Al63.5Cr24.5Zr12,CR,0
Al70Cr20Zr10,CR,0
Al62.5Cr25Zr12.5,QC,0
Al58Cr34Zr8,QC,0
Al60Cr34Zr6,QC,0
Al65Cr20Zr15,QC,0
Al62.5Cr25Zr12.5,QC,0
Al62.5Cr25.5Zr12,QC,0
Al63Cr24Zr13,QC,0
Al63Cr25Zr12,QC,0
Al63Cr26Zr11,QC,0
Al64Cr24Zr12,QC,0
Al65Cu15Fe20,AM,1
Al71Cu14Fe15,AM,1
Al90Cu5Fe5,AM,1
Al62Cu21Fe17,AC,0
Al69Cu18Fe13,AC,0
Al70Cu16Fe14,AC,0
Al73Cu14Fe13,AC,0
Al78Cu15Fe7,AC,0
Al50Cu30Fe20,CR,0
Al64Cu23Fe13,CR,0
Al62.5Cu25Fe12.5,QC,0
Al65Cu20Fe15,QC,0
Al65Cu20Gd15,AM,1
Al10Cu25Hf65,AM,1
Al10Cu30La60,AM,1
Al15Cu25La60,AM,1
Al20Cu0La80,AM,1
Al20Cu20La60,AM,1
Al20Cu25La55,AM,1
Al20Cu40La40,AM,1
Al20Cu50La30,AM,1
Al25Cu10La65,AM,1
Al25Cu15La60,AM,1
Al25Cu20La55,AM,1
Al25Cu25La50,AM,1
Al25Cu35La40,AM,1
Al30Cu0La70,AM,1
Al30Cu10La60,AM,1
Al30Cu15La55,AM,1
Al30Cu20La50,AM,1
Al30Cu35La35,AM,1
Al30Cu40La30,AM,1
Al35Cu10La55,AM,1
Al35Cu15La50,AM,1
Al40Cu0La60,AM,1
Al50Cu0La50,AM,1
Al85Cu5La10,AM,1
Al90Cu0La10,AM,1
Al90Cu5La5,AM,1
Al10Cu20La70,AC,0
Al20Cu10La70,AC,0
Al20Cu60La20,AC,0
Al40Cu10La50,AC,0
Al40Cu20La40,AC,0
Al85Cu10La5,AC,0
Al0Cu20La80,CR,0
Al0Cu40La60,CR,0
Al0Cu50La50,CR,0
Al10Cu0La90,CR,0
Al10Cu10La80,CR,0
Al10Cu50La40,CR,0
Al10Cu60La30,CR,0
Al10Cu70La20,CR,0
Al10Cu80La10,CR,0
Al30Cu50La20,CR,0
Al30Cu60La10,CR,0
Al40Cu30La30,CR,0
Al40Cu40La20,CR,0
Al50Cu10La40,CR,0
Al50Cu20La30,CR,0
Al50Cu30La20,CR,0
Al50Cu40La10,CR,0
Al60Cu0La40,CR,0
Al70Cu0La30,CR,0
Al70Cu20La10,CR,0
Al80Cu0La20,CR,0
Al80Cu10La10,CR,0
Al25Cu20La55,AM,1
Al25Cu20La55,AM,1
Al65Cu20Mn15,AM,1
Al66Cu20Mn14,AM,1
Al67Cu20Mn13,AM,1
Al75Cu0Mn25,AM,1
Al77Cu0Mn23,AM,1
Al81Cu0Mn19,AM,1
Al85Cu0Mn15,AM,1
Al25Cu50Mn25,CR,0
Al65Cu20Mn15,QC,0
Al76Cu8.5Mn15.5,QC,0
Al6Cu84Nd10,AM,1
Al6Cu86Nd8,AM,1
Al8Cu84Nd8,AM,1
Al10Cu82Nd8,AM,1
Al12Cu80Nd8,AM,1
Al2Cu88Nd10,AC,0
Al2Cu90Nd8,AC,0
Al2Cu92Nd6,AC,0
Al4Cu86Nd10,AC,0
Al4Cu88Nd8,AC,0
Al4Cu90Nd6,AC,0
Al6Cu88Nd6,AC,0
Al8Cu86Nd6,AC,0
Al10Cu84Nd6,AC,0
Al10Cu86Nd4,AC,0
Al12Cu82Nd6,AC,0
Al12Cu84Nd4,AC,0
Al4Cu92Nd4,CR,0
Al8Cu82Nd10,CR,0
Al8Cu88Nd4,CR,0
Al10Cu80Nd10,CR,0
Al10Cu88Nd2,CR,0
Al12Cu78Nd10,CR,0
Al14Cu76Nd10,CR,0
Al14Cu78Nd8,CR,0
Al14Cu80Nd6,CR,0
Al14Cu82Nd4,CR,0
Al0Cu35Ti65,AM,1
Al0Cu40Ti60,AM,1
Al0Cu45Ti55,AM,1
Al0Cu50Ti50,AM,1
Al0Cu55Ti45,AM,1
Al0Cu60Ti40,AM,1
Al0Cu73Ti27,AM,1
Al0Cu75Ti25,AM,1
Al5Cu50Ti45,AM,1
Al5Cu55Ti40,AM,1
Al5Cu60Ti35,AM,1
Al10Cu30Ti60,AM,1
Al10Cu30Ti60,AM,1
Al10Cu35Ti55,AM,1
Al10Cu50Ti40,AM,1
Al10Cu60Ti30,AM,1
Al15Cu25Ti60,AM,1
Al15Cu30Ti55,AM,1
Al15Cu35Ti50,AM,1
Al15Cu40Ti45,AM,1
Al15Cu50Ti35,AM,1
Al15Cu60Ti25,AM,1
Al20Cu30Ti50,AM,1
Al20Cu35Ti45,AM,1
Al20Cu50Ti30,AM,1
Al20Cu60Ti20,AM,1
Al25Cu35Ti40,AM,1
Al25Cu50Ti25,AM,1
Al25Cu55Ti20,AM,1
Al30Cu50Ti20,AM,1
Al35Cu50Ti15,AM,1
Al40Cu50Ti10,AM,1
Al50Cu40Ti10,AM,1
Al50Cu45Ti5,AM,1
Al55Cu40Ti5,AM,1
Al0Cu30Ti70,AC,0
Al0Cu80Ti20,AC,0
Al10Cu70Ti20,AC,0
Al20Cu20Ti60,AC,0
Al25Cu25Ti50,AC,0
Al25Cu30Ti45,AC,0
Al30Cu20Ti50,AC,0
Al30Cu30Ti40,AC,0
Al30Cu40Ti30,AC,0
Al35Cu40Ti25,AC,0
Al35Cu45Ti20,AC,0
Al40Cu30Ti30,AC,0
Al40Cu40Ti20,AC,0
Al45Cu35Ti20,AC,0
Al45Cu40Ti15,AC,0
Al55Cu35Ti10,AC,0
Al60Cu35Ti5,AC,0
Al0Cu10Ti90,CR,0
Al0Cu20Ti80,CR,0
Al10Cu0Ti90,CR,0
Al10Cu10Ti80,CR,0
Al10Cu20Ti70,CR,0
Al20Cu0Ti80,CR,0
Al20Cu10Ti70,CR,0
Al20Cu70Ti10,CR,0
Al25Cu0Ti75,CR,0
Al25Cu5Ti70,CR,0
Al30Cu0Ti70,CR,0
Al30Cu10Ti60,CR,0
Al35Cu0Ti65,CR,0
Al35Cu5Ti60,CR,0
Al40Cu0Ti60,CR,0
Al40Cu10Ti50,CR,0
Al40Cu20Ti40,CR,0
Al40Cu60Ti0,CR,0
Al45Cu0Ti55,CR,0
Al45Cu5Ti50,CR,0
Al45Cu10Ti45,CR,0
Al45Cu20Ti35,CR,0
Al50Cu5Ti45,CR,0
Al50Cu10Ti40,CR,0
Al50Cu20Ti30,CR,0
Al50Cu30Ti20,CR,0
Al50Cu50Ti0,CR,0
Al55Cu0Ti45,CR,0
Al55Cu10Ti35,CR,0
Al60Cu0Ti40,CR,0
Al60Cu5Ti35,CR,0
Al60Cu10Ti30,CR,0
Al60Cu20Ti20,CR,0
Al60Cu40Ti0,CR,0
Al65Cu0Ti35,CR,0
Al70Cu0Ti30,CR,0
Al70Cu10Ti20,CR,0
Al70Cu30Ti0,CR,0
Al80Cu0Ti20,CR,0
Al5Cu47.5Ti47.5,AM,1
Al10Cu45Ti45,AM,1
Al0Cu40Ti60,AM,1
Al5Cu38Ti57,AM,1
Al15Cu34Ti51,AM,1
Al20Cu32Ti48,AM,1
Al10Cu25Ti65,AM,1
Al10Cu50Ti40,AM,1
Al69.6Cu29.6Ti0.8,OT,0
Al55Cu35V10,AM,1
Al60Cu30V10,AM,1
Al65Cu20V15,AM,1
Al65Cu25V10,AM,1
Al65Cu30V5,AM,1
Al67Cu20V13,AM,1
Al70Cu20V10,AM,1
Al75Cu15V10,AM,1
Al75Cu20V5,AM,1
Al80Cu10V10,AM,1
Al80Cu15V5,AM,1
Al85Cu5V10,AM,1
Al60Cu35V5,AC,0
Al65Cu20V15,AC,0
Al70Cu25V5,AC,0
Al75Cu10V15,AC,0
Al80Cu5V15,AC,0
Al87Cu5V8,AC,0
Al50Cu40V10,CR,0
Al60Cu25V15,CR,0
Al65Cu15V20,CR,0
Al75Cu25V0,CR,0
Al77Cu20V3,CR,0
Al80Cu20V0,CR,0
Al87Cu8V5,CR,0
Al75Cu15V10,AM,1
Al75Cu15V10,AM,1
Al75Cu15V10,AM,1
Al0Cu40Y60,AM,1
Al5Cu38Y57,AM,1
Al10Cu36Y54,AM,1
Al15Cu34Y51,AM,1
Al20Cu32Y48,AM,1
Al30Cu28Y42,AM,1
Al80Cu8Y12,AM,1
Al85Cu6Y9,AM,1
Al0Cu40Zr60,AM,1
Al0Cu56Zr44,AM,1
Al0Cu60Zr40,AM,1
Al20Cu25Zr55,AM,1
Al15Cu25Zr60,AM,1
Al10Cu25Zr65,AM,1
Al7.5Cu27.5Zr65,AM,1
Al0Cu33Zr67,AM,1
Al5Cu30Zr65,AM,1
Al7.5Cu27.5Zr65,AM,1
Al10Cu25Zr65,AM,1
Al15Cu20Zr65,AM,1
Al20Cu15Zr65,AM,1
Al69.6Cu29.6Zr0.8,OT,0
Al33.4Fe33.3Gd33.3,AM,1
Al80Fe10Gd10,AM,1
Al81.8Fe9.1Gd9.1,AM,1
Al83.6Fe8.2Gd8.2,AM,1
Al85.4Fe7.3Gd7.3,AM,1
Al87.2Fe6.4Gd6.4,AM,1
Al89Fe5.5Gd5.5,AM,1
Al42Fe10Ge48,AM,1
Al52Fe23Ge25,AM,1
Al69Fe6Ge25,AM,1
Al78Fe10Ge12,AM,1
Al25Fe20La55,AM,1
Al75Fe14Ni11,AM,1
Al87Fe1Ni12,AM,1
Al88Fe3Ni9,AM,1
Al82Fe4Ni14,AC,0
Al84Fe2Ni14,AC,0
Al86Fe0Ni14,AC,0
Al86Fe1Ni13,AC,0
Al86Fe2Ni12,AC,0
Al86Fe5Ni9,AC,0
Al86Fe8Ni6,AC,0
Al87Fe1Ni12,AC,0
Al87Fe4Ni9,AC,0
Al87Fe5Ni8,AC,0
Al88Fe0Ni12,AC,0
Al88Fe1Ni11,AC,0
Al88Fe2Ni10,AC,0
Al88Fe4Ni8,AC,0
Al88Fe5Ni7,AC,0
Al88Fe6Ni6,AC,0
Al88Fe8Ni4,AC,0
Al88Fe10Ni2,AC,0
Al88Fe12Ni0,AC,0
Al89Fe1Ni10,AC,0
Al89Fe2Ni9,AC,0
Al89Fe3Ni8,AC,0
Al89Fe5Ni6,AC,0
Al90Fe0Ni10,AC,0
Al90Fe2Ni8,AC,0
Al90Fe4Ni6,AC,0
Al90Fe5Ni5,AC,0
Al90Fe6Ni4,AC,0
Al90Fe8Ni2,AC,0
Al90Fe10Ni0,AC,0
Al92Fe0Ni8,AC,0
Al92Fe2Ni6,AC,0
Al92Fe4Ni4,AC,0
Al92Fe6Ni2,AC,0
Al92Fe8Ni0,AC,0
Al94Fe6Ni0,AC,0
Al94Fe0Ni6,CR,0
Al94Fe2Ni4,CR,0
Al94Fe4Ni2,CR,0
Al96Fe0Ni4,CR,0
Al96Fe2Ni2,CR,0
Al96Fe4Ni0,CR,0
Al98Fe0Ni2,CR,0
Al98Fe2Ni0,CR,0
Al86Fe2Ni12,AM,1
Al86Fe3Ni11,AM,1
Al86.7Fe1Ni12.3,AM,1
Al87Fe1Ni12,AM,1
Al87Fe2Ni11,AM,1
Al87Fe3Ni10,AM,1
Al87.5Fe0.5Ni12,AM,1
Al87.5Fe2Ni10.5,AM,1
Al87.5Fe3.5Ni9,AM,1
Al88Fe1Ni11,AM,1
Al88Fe3Ni9,AM,1
Al88.5Fe3Ni8.5,AM,1
Al82Fe4Ni14,AC,0
Al83Fe3Ni14,AC,0
Al84Fe2Ni14,AC,0
Al84Fe3Ni13,AC,0
Al84Fe4Ni12,AC,0
Al85Fe1Ni14,AC,0
Al85Fe2Ni13,AC,0
Al85Fe3Ni12,AC,0
Al85Fe5Ni10,AC,0
Al86Fe0Ni14,AC,0
Al86Fe1Ni13,AC,0
Al86Fe2Ni12,AC,0
Al86Fe3Ni11,AC,0
Al86Fe4Ni10,AC,0
Al86Fe7Ni7,AC,0
Al87Fe5Ni8,AC,0
Al87Fe6Ni7,AC,0
Al88Fe0Ni12,AC,0
Al88Fe1Ni11,AC,0
Al88Fe2Ni10,AC,0
Al88Fe4Ni8,AC,0
Al88Fe5Ni7,AC,0
Al88Fe6Ni6,AC,0
Al88Fe8Ni4,AC,0
Al88Fe8Ni4,AC,0
Al88Fe10Ni2,AC,0
Al89Fe1Ni10,AC,0
Al89Fe2Ni9,AC,0
Al89Fe3Ni8,AC,0
Al89Fe4Ni7,AC,0
Al89Fe5Ni6,AC,0
Al89Fe6Ni5,AC,0
Al89Fe7Ni4,AC,0
Al89Fe9Ni2,AC,0
Al90Fe0Ni10,AC,0
Al90Fe1Ni9,AC,0
Al90Fe2Ni8,AC,0
Al90Fe4Ni6,AC,0
Al90Fe5Ni5,AC,0
Al90Fe6Ni4,AC,0
Al90Fe8Ni2,AC,0
Al90Fe8Ni2,AC,0
Al90Fe10Ni0,AC,0
Al90Fe10Ni0,AC,0
Al91Fe1Ni8,AC,0
Al91Fe2Ni7,AC,0
Al91Fe3Ni6,AC,0
Al91Fe6Ni3,AC,0
Al92Fe0Ni8,AC,0
Al92Fe2Ni6,AC,0
Al92Fe4Ni4,AC,0
Al92Fe5Ni3,AC,0
Al92Fe6Ni2,AC,0
Al92Fe8Ni0,AC,0
Al92Fe8Ni0,AC,0
Al94Fe6Ni0,AC,0
Al94Fe6Ni0,AC,0
Al94Fe0Ni6,CR,0
Al94Fe0Ni6,CR,0
Al94Fe2Ni4,CR,0
Al94Fe2Ni4,CR,0
Al94Fe4Ni2,CR,0
Al94Fe4Ni2,CR,0
Al96Fe0Ni4,CR,0
Al96Fe0Ni4,CR,0
Al96Fe2Ni2,CR,0
Al96Fe2Ni2,CR,0
Al96Fe4Ni0,CR,0
Al96Fe4Ni0,CR,0
Al98Fe0Ni2,CR,0
Al98Fe0Ni2,CR,0
Al98Fe2Ni0,CR,0
Al98Fe2Ni0,CR,0
Al1Fe0Ni0,CR,0
Al82Fe4Ni14,OT,0
Al84Fe4Ni12,OT,0
Al84Fe6Ni10,OT,0
Al84Fe8Ni8,OT,0
Al86Fe6Ni8,OT,0
Al86Fe8Ni6,OT,0
Al86Fe10Ni4,OT,0
Al86Fe12Ni2,OT,0
Al88Fe10Ni2,OT,0
Al88Fe12Ni0,OT,0
Al70Fe14Ni16,AM,1
Al70Fe15Ni15,AM,1
Al70Fe16Ni14,AM,1
Al70Fe20Ni10,AM,1
Al72Fe14Ni14,AM,1
Al79Fe7Ni14,AM,1
Al82Fe15Ni3,AM,1
Al84Fe8Ni8,AM,1
Al72Fe13Ni15,AC,0
Al85Fe5Ni10,AC,0
Al57Fe27Ni16,CR,0
Al65Fe15Ni20,CR,0
Al65Fe21Ni14,CR,0
Al67Fe21Ni12,CR,0
Al75Fe0Ni25,OT,0
Al75Fe2.5Ni22.5,OT,0
Al75Fe6.25Ni18.75,OT,0
Al75Fe10Ni15,OT,0
Al75Fe12.5Ni12.5,OT,0
Al75Fe16.75Ni8.25,OT,0
Al75Fe20Ni5,OT,0
Al75Fe22.5Ni2.5,OT,0
Al75Fe25Ni0,OT,0
Al0Fe80P20,AM,1
Al3Fe80P17,AM,1
Al5Fe85Si10,AM,1
Al84Fe14Si2,AC,0
Al85Fe8Si7,AC,0
Al86Fe12Si2,AC,0
Al88Fe10Si2,AC,0
Al90Fe8Si2,CR,0
Al52Fe23Si25,AM,1
Al63Fe12Si25,AM,1
Al2.5Fe65Tb32.5,AM,1
Al7.5Fe61.7Tb30.8,AM,1
Al0Fe66.7Tb33.3,CR,0
Al15Fe56.7Tb28.3,CR,0
Al0Fe90Zr10,AM,1
Al0.018Fe89.982Zr10,AM,1
Al0.036Fe89.964Zr10,AM,1
Al0.054Fe89.946Zr10,AM,1
Al0.090Fe89.910Zr10,AM,1
Al22.5Fe67.5Zr10,AM,1
Al15Fe15Zr70,AM,1
Al8Ga16Mg76,AM,1
Al12Ga12Mg76,AM,1
Al18Ga36Mg46,AM,1
Al8Ga2Mg90,CR,0
Al8Ga3Mg89,CR,0
Al9Ga2Mg89,CR,0
Al65Gd15Ni20,AM,1
Al70Gd10Ni20,AM,1
Al70Gd15Ni15,AM,1
Al74Gd10Ni16,AM,1
Al75Gd10Ni15,AM,1
Al78Gd12Ni10,AM,1
Al80Gd5Ni15,AM,1
Al80Gd10Ni10,AM,1
Al81Gd9Ni10,AM,1
Al83Gd5Ni12,AM,1
Al83Gd7Ni10,AM,1
Al83Gd9Ni8,AM,1
Al84Gd10Ni6,AM,1
Al85Gd5Ni10,AM,1
Al85Gd8Ni7,AM,1
Al85Gd9Ni6,AM,1
Al85Gd10Ni5,AM,1
Al87Gd5Ni8,AM,1
Al87Gd7Ni6,AM,1
Al88Gd12Ni0,AM,1
Al90Gd5Ni5,AM,1
Al90Gd10Ni0,AM,1
Al92Gd8Ni0,AM,1
Al75Gd15Ni10,AC,0
Al60Gd20Ni20,CR,0
Al70Gd20Ni10,CR,0
Al75Gd5Ni20,CR,0
Al80Gd15Ni5,CR,0
Al85Gd15Ni0,CR,0
Al94Gd6Ni0,CR,0
Al25Gd55Ni20,AM,1
Al0Gd56Si44,AM,1
Al40Gd60Si0,AM,1
Al45Gd55Si0,AM,1
Al50Gd50Si0,AM,1
Al55Gd45Si0,AM,1
Al50Ge40Mn10,AM,1
Al42Ge48Mn10,AM,1
Al57Ge25Mn18,AM,1
Al69Ge25Mn6,AM,1
Al73Ge17Mn10,AM,1
Al60Ge30Mn10,AM,1
Al65Ge15Mn20,QC,0
Al59Ge31Ni10,AM,1
Al62Ge25Ni13,AM,1
Al64Ge26Ni10,AM,1
Al69Ge25Ni6,AM,1
Al60Ge30Ni10,AM,1
Al55Ge30V15,AM,1
Al55Ge35V10,AM,1
Al60Ge25V15,AM,1
Al60Ge30V10,AM,1
Al65Ge25V10,AM,1
Al45Ge40V15,CR,0
Al50Ge25V25,CR,0
Al50Ge30V20,CR,0
Al50Ge35V15,CR,0
Al50Ge40V10,CR,0
Al55Ge25V20,CR,0
Al60Ge20V20,CR,0
Al60Ge35V5,CR,0
Al65Ge20V15,CR,0
Al65Ge30V5,CR,0
Al70Ge20V10,CR,0
Al70Ge25V5,CR,0
Al75Ge15V10,CR,0
Al52Ge38V10,AM,1
Al57Ge25V18,AM,1
Al68Ge22V10,AM,1
Al69Ge25V6,AM,1
Al10Hf65Ni25,AM,1
Al10Hf65Ni25,AM,1
Al25La55Mn20,AM,1
Al85La7.5Mo7.5,AM,1
Al85La7.5Nb7.5,AM,1
Al0La60Ni40,AM,1
Al0La70Ni30,AM,1
Al5La40Ni55,AM,1
Al5La55Ni40,AM,1
Al5La65Ni30,AM,1
Al5La75Ni20,AM,1
Al10La30Ni60,AM,1
Al10La35Ni55,AM,1
Al10La40Ni50,AM,1
Al10La45Ni45,AM,1
Al10La50Ni40,AM,1
Al10La55Ni35,AM,1
Al10La60Ni30,AM,1
Al10La65Ni25,AM,1
Al10La70Ni20,AM,1
Al10La75Ni15,AM,1
Al10La80Ni10,AM,1
Al15La30Ni55,AM,1
Al15La40Ni45,AM,1
Al15La50Ni35,AM,1
Al15La55Ni30,AM,1
Al15La60Ni25,AM,1
Al15La65Ni20,AM,1
Al15La70Ni15,AM,1
Al15La75Ni10,AM,1
Al15La80Ni5,AM,1
Al20La30Ni50,AM,1
Al20La35Ni45,AM,1
Al20La40Ni40,AM,1
Al20La45Ni35,AM,1
Al20La50Ni30,AM,1
Al20La55Ni25,AM,1
Al20La60Ni20,AM,1
Al20La65Ni15,AM,1
Al20La70Ni10,AM,1
Al20La75Ni5,AM,1
Al20La80Ni0,AM,1
Al25La30Ni45,AM,1
Al25La40Ni35,AM,1
Al25La45Ni30,AM,1
Al25La50Ni25,AM,1
Al25La55Ni20,AM,1
Al25La60Ni15,AM,1
Al25La65Ni10,AM,1
Al25La70Ni5,AM,1
Al30La20Ni50,AM,1
Al30La25Ni45,AM,1
Al30La30Ni40,AM,1
Al30La35Ni35,AM,1
Al30La40Ni30,AM,1
Al30La45Ni25,AM,1
Al30La50Ni20,AM,1
Al30La55Ni15,AM,1
Al30La60Ni10,AM,1
Al30La65Ni5,AM,1
Al35La25Ni40,AM,1
Al35La30Ni35,AM,1
Al35La35Ni30,AM,1
Al35La40Ni25,AM,1
Al35La45Ni20,AM,1
Al35La50Ni15,AM,1
Al35La55Ni10,AM,1
Al35La60Ni5,AM,1
Al40La20Ni40,AM,1
Al40La25Ni35,AM,1
Al40La30Ni30,AM,1
Al40La35Ni25,AM,1
Al40La40Ni20,AM,1
Al40La45Ni15,AM,1
Al40La50Ni10,AM,1
Al40La55Ni5,AM,1
Al40La60Ni0,AM,1
Al45La25Ni30,AM,1
Al45La30Ni25,AM,1
Al45La35Ni20,AM,1
Al45La40Ni15,AM,1
Al45La45Ni10,AM,1
Al50La25Ni25,AM,1
Al50La30Ni20,AM,1
Al50La35Ni15,AM,1
Al50La40Ni10,AM,1
Al50La45Ni5,AM,1
Al50La50Ni0,AM,1
Al55La20Ni25,AM,1
Al55La40Ni5,AM,1
Al55La45Ni0,AM,1
Al60La20Ni20,AM,1
Al65La15Ni20,AM,1
Al70La5Ni25,AM,1
Al75La5Ni20,AM,1
Al75La10Ni15,AM,1
Al80La10Ni10,AM,1
Al85La5Ni10,AM,1
Al85La10Ni5,AM,1
Al90La10Ni0,AM,1
Al10La25Ni65,AC,0
Al15La25Ni60,AC,0
Al20La20Ni60,AC,0
Al40La15Ni45,AC,0
Al50La15Ni35,AC,0
Al55La30Ni15,AC,0
Al90La5Ni5,AC,0
Al0La30Ni70,CR,0
Al0La40Ni60,CR,0
Al0La50Ni50,CR,0
Al0La80Ni20,CR,0
Al0La90Ni10,CR,0
Al10La10Ni80,CR,0
Al10La20Ni70,CR,0
Al10La90Ni0,CR,0
Al20La10Ni70,CR,0
Al30La10Ni60,CR,0
Al30La15Ni55,CR,0
Al40La10Ni50,CR,0
Al50La10Ni40,CR,0
Al55La35Ni10,CR,0
Al60La10Ni30,CR,0
Al60La30Ni10,CR,0
Al60La40Ni0,CR,0
Al65La25Ni10,CR,0
Al65La30Ni5,CR,0
Al70La15Ni15,CR,0
Al70La20Ni10,CR,0
Al70La25Ni5,CR,0
Al70La30Ni0,CR,0
Al75La15Ni10,CR,0
Al80La15Ni5,CR,0
Al80La20Ni0,CR,0
Al0La60Ni40,AM,1
Al0La70Ni30,AM,1
Al5La40Ni55,AM,1
Al5La55Ni40,AM,1
Al5La65Ni30,AM,1
Al5La75Ni20,AM,1
Al10La30Ni60,AM,1
Al10La35Ni55,AM,1
Al10La40Ni50,AM,1
Al10La45Ni45,AM,1
Al10La50Ni40,AM,1
Al10La55Ni35,AM,1
Al10La60Ni30,AM,1
Al10La65Ni25,AM,1
Al10La70Ni20,AM,1
Al10La75Ni15,AM,1
Al10La80Ni10,AM,1
Al15La30Ni55,AM,1
Al15La40Ni45,AM,1
Al15La50Ni35,AM,1
Al15La55Ni30,AM,1
Al15La60Ni25,AM,1
Al15La65Ni20,AM,1
Al15La70Ni15,AM,1
Al15La75Ni10,AM,1
Al15La80Ni5,AM,1
Al20La30Ni50,AM,1
Al20La35Ni45,AM,1
Al20La40Ni40,AM,1
Al20La45Ni35,AM,1
Al20La50Ni30,AM,1
Al20La55Ni25,AM,1
Al20La60Ni20,AM,1
Al20La65Ni15,AM,1
Al20La70Ni10,AM,1
Al20La75Ni5,AM,1
Al20La80Ni0,AM,1
Al25La20Ni55,AM,1
Al25La30Ni45,AM,1
Al25La40Ni35,AM,1
Al25La45Ni30,AM,1
Al25La50Ni25,AM,1
Al25La55Ni20,AM,1
Al25La60Ni15,AM,1
Al25La65Ni10,AM,1
Al25La70Ni5,AM,1
Al30La20Ni50,AM,1
Al30La25Ni45,AM,1
Al30La30Ni40,AM,1
Al30La35Ni35,AM,1
Al30La40Ni30,AM,1
Al30La45Ni25,AM,1
Al30La50Ni20,AM,1
Al30La55Ni15,AM,1
Al30La60Ni10,AM,1
Al30La65Ni5,AM,1
Al30La70Ni0,AM,1
Al35La25Ni40,AM,1
Al35La30Ni35,AM,1
Al35La35Ni30,AM,1
Al35La40Ni25,AM,1
Al35La45Ni20,AM,1
Al35La50Ni15,AM,1
Al35La55Ni10,AM,1
Al35La60Ni5,AM,1
Al40La20Ni40,AM,1
Al40La25Ni35,AM,1
Al40La30Ni30,AM,1
Al40La35Ni25,AM,1
Al40La40Ni20,AM,1
Al40La45Ni15,AM,1
Al40La50Ni10,AM,1
Al40La55Ni5,AM,1
Al40La60Ni0,AM,1
Al45La25Ni30,AM,1
Al45La30Ni25,AM,1
Al45La35Ni20,AM,1
Al45La40Ni15,AM,1
Al45La45Ni10,AM,1
Al50La20Ni30,AM,1
Al50La25Ni25,AM,1
Al50La30Ni20,AM,1
Al50La35Ni15,AM,1
Al50La40Ni10,AM,1
Al50La45Ni5,AM,1
Al50La50Ni0,AM,1
Al55La20Ni25,AM,1
Al55La40Ni5,AM,1
Al55La45Ni0,AM,1
Al60La20Ni20,AM,1
Al65La15Ni20,AM,1
Al70La5Ni25,AM,1
Al75La5Ni20,AM,1
Al75La10Ni15,AM,1
Al80La10Ni10,AM,1
Al84La10Ni6,AM,1
Al85La5Ni10,AM,1
Al85La10Ni5,AM,1
Al88La10Ni2,AM,1
Al90La10Ni0,AM,1
Al91La7Ni2,AM,1
Al10La25Ni65,AC,0
Al15La25Ni60,AC,0
Al20La20Ni60,AC,0
Al40La15Ni45,AC,0
Al50La15Ni35,AC,0
Al55La30Ni15,AC,0
Al90La5Ni5,AC,0
Al0La30Ni70,CR,0
Al0La40Ni60,CR,0
Al0La50Ni50,CR,0
Al0La80Ni20,CR,0
Al0La90Ni10,CR,0
Al10La10Ni80,CR,0
Al10La20Ni70,CR,0
Al10La90Ni0,CR,0
Al20La10Ni70,CR,0
Al30La10Ni60,CR,0
Al30La15Ni55,CR,0
Al40La10Ni50,CR,0
Al50La10Ni40,CR,0
Al55La35Ni10,CR,0
Al60La10Ni30,CR,0
Al60La30Ni10,CR,0
Al60La40Ni0,CR,0
Al65La25Ni10,CR,0
