mpid,PF_n,PF_p,S_n,S_p,formula,m_n,m_p
mp-695237,0.0487,0.0243,-691.0,715.0,Rb2PH3SO8,93.9,86.6
mp-676611,0.303,0.661,-694.0,640.0,Bi7(S3Cl)3,7.11,25.9
mp-762703,0.161,0.118,-713.0,764.0,LiFeSiO4,779.0,23.5
mp-753806,1.07,0.438,-621.0,662.0,BSbO3,4.27,2.88
mp-24912,0.293,0.27,-694.0,645.0,Cr3BO6,4.78,6.58
mp-12455,1.27,0.844,-554.0,522.0,TmCuS2,1.84,1.24
mp-37478,0.662,0.508,-491.0,600.0,La5AgS8,1.19,11.3
mp-504820,0.0683,0.193,-796.0,755.0,VCl3O,59.6,11.0
mp-27228,0.958,0.346,-393.0,556.0,Tl6Si2O7,0.504,2.67
mp-772243,0.308,0.174,-596.0,697.0,La4MnO8,8.19,7.18
mp-556143,1.03,0.046,-361.0,754.0,Na3Ga3(TeO6)2,0.357,7.97
mp-16684,1.0,0.713,-393.0,482.0,PrCuS2,0.624,1.21
mp-676802,0.29,0.000566,-549.0,657.0,K2HfF6,33.8,719000.0
mp-200,0.974,0.621,-560.0,648.0,LaP7,1.81,1.69
mp-764374,0.697,0.0097,-365.0,672.0,Li2Mn4OF8,0.54,79.5
mp-19269,0.574,0.509,-698.0,574.0,NdCrO3,3.14,3.19
mp-137,2.64,1.19,-382.0,541.0,Ge,0.16,0.418
mp-779064,0.0115,0.114,-772.0,782.0,Li4FeOF5,169.0,45.4
mp-765601,0.256,0.362,-691.0,679.0,Li3V4O11F,10.6,4.71
mp-541267,0.602,0.0976,-443.0,738.0,VAs2H4O9,0.919,437.0
mp-29186,0.648,0.43,-548.0,562.0,La(SiP3)2,1.86,6.61
mp-616196,0.351,0.252,-676.0,709.0,OsC3I2O3,8.73,13.8
mp-676339,0.276,0.00892,-628.0,753.0,BaTa2O6,24.2,338.0
mp-650960,0.213,0.0249,-602.0,792.0,Hf(ClO4)4,4.92,47.7
mp-22905,0.921,0.264,-397.0,767.0,LiCl,0.483,1.68
mp-9650,0.685,0.62,-673.0,586.0,MgTa2O6,2.57,2.13
mp-505435,0.00469,0.751,-810.0,580.0,Gd2Br3N,615.0,18.9
mp-867577,1.04,0.0351,-381.0,795.0,NaAl11O17,0.402,19.5
mp-757077,0.152,0.155,131.0,148.0,Li2Si8Cu2O19,8.37,8.16
mp-23662,0.859,0.0379,-422.0,749.0,LiB(HO)4,0.585,20.8
mp-679,0.925,0.103,-390.0,765.0,Er2O3,0.464,4.16
mp-756448,0.0663,1.02,-657.0,623.0,LaMgI5,40.2,43.9
mp-760103,0.0614,0.115,-592.0,643.0,Sr15Pd5O24,121.0,313.0
mp-623087,0.475,0.0557,-600.0,718.0,Re3(TeBr)7,2.15,108.0
mp-756086,0.851,0.393,-446.0,725.0,Li5BiS4,0.727,11.4
mp-30529,0.267,0.298,-716.0,675.0,B5H11,7.49,9.84
mp-3257,1.33,0.547,-559.0,620.0,KAuSe5,5.46,2.17
mp-35281,1.01,0.292,-351.0,633.0,Sm2CdS4,0.345,2.25
mp-25706,0.0131,0.121,-756.0,695.0,MnH8(ClO2)2,152.0,24.1
mp-555707,0.0917,0.193,-758.0,681.0,S4N2O3F,20.8,11.3
mp-621926,0.518,0.104,-541.0,719.0,Na2TiSiO5,1.65,7.95
mp-10223,1.4,0.437,-597.0,682.0,Na2PdS2,2.58,2.83
mp-704408,6.12e-05,0.00446,-678.0,797.0,K8V2(S2O9)3,335000.0,1310.0
mp-706621,0.837,0.0382,-427.0,718.0,KB5(H2O3)4,0.618,13.8
mp-561424,0.868,0.0595,-419.0,787.0,KAlF4,0.571,44.3
mp-626293,0.242,0.0064,-646.0,760.0,Sr(H8O5)2,5.67,4360.0
mp-626448,0.875,0.0244,-423.0,782.0,H4SO5,0.576,51.5
mp-763157,0.038,0.0377,-57.8,-52.6,Li2Co2(CO3)3,0.414,0.416
mp-24591,0.471,0.363,-722.0,720.0,ZnH2SeO4,3.29,5.36
mp-5525,1.01,0.0572,-390.0,759.0,KAlO2,0.424,8.11
mp-721712,0.803,0.102,-438.0,712.0,NaH4CSNO2,0.688,55.4
mp-565905,0.114,0.277,-707.0,673.0,Ba3Fe2Br2O5,12.4,5.08
mp-625172,0.832,0.0226,-429.0,746.0,H3ClO5,0.624,148.0
mp-504354,0.573,0.117,-645.0,746.0,LiBi(PO3)4,2.23,22.2
mp-755742,0.79,0.349,-493.0,596.0,Ho2Sb2O7,0.944,2.37
mp-756238,1.18,0.192,-535.0,665.0,Sr2CaI6,0.728,13.3
mp-549032,0.0183,0.00585,-679.0,806.0,K2CoH12(SO7)2,89.6,1120.0
mp-565746,0.0419,0.0356,-748.0,739.0,KVPO5,41.4,55.4
mp-757144,0.873,0.0128,-413.0,740.0,Rb2H8O5,0.552,139.0
mp-768373,0.324,0.143,-624.0,643.0,Ba2YBr7,5.37,11.9
mp-612118,0.86,0.055,-424.0,893.0,Kr,0.589,9.21
mp-28599,1.03,0.0585,-348.0,785.0,Na4Br2O,0.331,42.8
mp-766330,0.847,0.242,-387.0,586.0,Ba6CaI14,0.558,303.0
mp-752422,0.881,0.507,-524.0,534.0,IClO,0.92,1.62
mp-27394,0.965,0.662,-490.0,574.0,CsSnCl3,1.6,9.33
mp-863062,0.863,0.36,-626.0,712.0,LiSiBiO4,1.32,3.48
mp-851090,0.00391,0.151,-876.0,712.0,SrLaCl5,846.0,28.0
mp-573340,0.0687,0.0624,-712.0,651.0,Nb2Se17Cl12,23.5,40.4
mp-568965,0.671,0.165,-462.0,707.0,CaSiN2,0.925,5.07
mp-27293,0.924,0.934,-501.0,455.0,Tl4HgBr6,1.5,0.803
mp-1806,0.152,0.136,-731.0,704.0,RbO3,14.5,25.9
mp-5878,0.972,0.329,-389.0,720.0,KZnF3,0.439,1.3
mp-23684,0.318,0.269,-727.0,794.0,NaHCO2,6.93,10.4
mp-27247,0.385,0.104,-673.0,754.0,Na3NbO4,6.12,16.5
mp-30056,1.09,0.198,-375.0,719.0,CsCaBr3,0.364,2.0
mp-707792,0.0103,0.00685,-704.0,719.0,H2Ru3C8SO8,162.0,271.0
mp-769153,0.463,0.20299999999999999,-601.0,712.0,Li2SbSO4F3,2.57,20.8
mp-655027,0.152,0.129,-736.0,754.0,SrH6(CO3)2,10.3,38.4
mp-761914,0.39,0.564,-781.0,636.0,LiAgF4,6.21,3.1
mp-16947,0.884,0.0515,-407.0,721.0,LiAlGeO4,0.528,11.9
mp-2173,0.885,0.137,-438.0,730.0,P2O5,0.727,20.2
mp-769963,0.355,0.376,-679.0,728.0,Li2VFeO5,374.0,6.57
mp-685157,0.0197,0.117,-765.0,774.0,IF7,232.0,106.0
mp-556027,0.838,0.376,-432.0,545.0,SiO2,0.632,2.13
mp-778194,1.05,0.144,-345.0,658.0,Ge2N2O,0.327,2.38
mp-560745,0.0887,0.0295,-756.0,774.0,AuN5O14,79.2,104.0
mp-28815,0.829,1.8,-599.0,410.0,ThSnI6,1.33,0.563
mp-557807,0.557,0.0736,-695.0,820.0,CsK2AuO2,2.57,19.0
mp-556869,0.608,0.476,-651.0,663.0,Sb5IO7,3.0,8.2
mp-744639,0.349,0.276,-733.0,716.0,Cr2Hg2H2O9,11.8,7.32
mp-558129,0.931,0.0583,-404.0,765.0,KNaSi2O5,0.496,12.5
mp-540707,0.964,0.0873,-361.0,721.0,Cs2Sn(GeO3)3,0.387,5.09
mp-770380,0.814,0.321,-565.0,748.0,Ta3InO9,1.49,4.61
mp-6599,0.631,0.923,-664.0,597.0,KNb(CuSe2)2,4.68,1.81
mp-754883,1.31,0.329,-488.0,705.0,KHoO2,0.515,3.67
mp-5193,1.99,1.42,-574.0,483.0,SrZrS3,0.505,0.704
mp-31642,0.464,0.164,-606.0,658.0,LiCrP2O7,62.8,30.3
mp-20727,0.964,0.531,-383.0,518.0,Sb2PbO6,0.44,0.829
mp-625957,0.574,0.365,-571.0,700.0,Ta2H4O7,2.36,4.58
mp-6606,0.93,0.221,-389.0,669.0,SrYSi4N7,0.47,4.07
mp-866826,0.993,0.213,-336.0,727.0,CaSnS3,0.321,1.7
mp-562490,0.842,0.104,-425.0,753.0,SiO2,0.605,6.97
mp-36779,0.723,0.061,-470.0,724.0,PNO,1.05,20.9
mp-29273,1.01,0.0419,-379.0,751.0,Ca2Ge7O16,0.4,9.78
mp-556389,0.00601,0.496,-847.0,685.0,UTl2(TeO4)2,541.0,6.39
mp-762183,0.147,0.229,-716.0,712.0,LiFeCO4,236.0,36.4
mp-673650,0.901,0.475,-479.0,591.0,Lu2Se3,0.742,4.22
mp-19553,0.308,0.0585,-603.0,754.0,Mn3Al2(SiO4)3,3.33,17.5
mp-29688,0.369,0.0115,-542.0,782.0,Ge3Cl8,2.24,72.1
mp-720469,0.0182,0.00949,-625.0,696.0,H6Os5Pt2(CO)17,91.7,129.0
mp-5470,0.602,0.483,-553.0,645.0,AgPS3,1.84,2.4
mp-706292,0.204,0.114,-610.0,611.0,NaMn2V3(PbO6)2,5.46,9.23
mp-27674,0.886,0.0164,-426.0,782.0,K5As3O10,0.581,181.0
mp-566734,0.213,0.154,-782.0,708.0,Na2Zr(WO4)3,40100.0,47700.0
mp-707182,0.0062,0.0674,-898.0,730.0,UAsH9O10,922000.0,39.9
mp-28397,1.75,0.538,-287.0,485.0,Sr4Bi6Se13,16.6,0.619
mp-768909,0.66,0.0969,-523.0,730.0,Sr(IO3)2,1.47,10.5
mp-555105,0.538,0.166,-558.0,747.0,Ta9Pb12O20F29,15000.0,11400.0
mp-764398,0.0698,0.0958,-808.0,841.0,VOF3,28.1,34.9
mp-863377,0.4,0.252,-680.0,740.0,Li2SnP2O7,60.9,150.0
mp-20902,1.17,0.241,-310.0,662.0,InAg(PSe3)2,0.274,10.0
mp-771489,0.642,0.318,-604.0,682.0,Li2NiCSO7,87.4,21.4
mp-554686,0.00963,0.00882,-726.0,756.0,MgAs2(XeF9)2,1180.0,291.0
mp-3688,1.03,0.187,-349.0,695.0,Er2Sn2O7,0.333,1.84
mp-868649,0.361,0.0594,-672.0,686.0,LiCr(SO4)2,5.97,24.5
mp-766879,0.0672,0.167,-793.0,759.0,WOF4,47.6,13.7
mp-765920,0.171,0.199,-712.0,663.0,Li5FeO3F,26.0,61.9
mp-17947,1.09,0.176,-284.0,540.0,BaCu2GeS4,0.21,1.92
mp-30537,0.868,0.0184,-419.0,713.0,TbP5O14,0.571,40.3
mp-23614,0.774,0.18,-586.0,675.0,SrNb2Bi2O9,101.0,5.8
mp-8781,3.09,2.98,-599.0,486.0,SnS,214.0,304.0
mp-734733,0.762,0.436,-448.0,609.0,Ca19(Mg4H27)2,0.744,1.3
mp-764359,0.205,0.206,5.11,9.67,CrOF,0.192,0.191
mp-744625,0.0121,0.00903,-678.0,738.0,ZnCrH15N5Cl4F,111.0,332.0
mp-867674,0.846,0.66,-421.0,609.0,Ba3CaI8,0.596,0.759
mp-24356,0.999,0.0827,-399.0,780.0,CdH4NCl3,0.451,6.03
mp-31302,0.139,0.0186,-704.0,832.0,KCO3,11.9,149.0
mp-7434,1.12,0.238,-218.0,554.0,NaCuTe,0.12,0.792
mp-759821,0.835,0.109,-559.0,700.0,Sb3O2F5,1.8,50.7
mp-25800,0.805,0.167,-717.0,805.0,Na2W2O7,169.0,23.4
mp-4255,1.42,0.261,-383.0,700.0,Ba(CuS)2,1.0,1.67
mp-566215,0.197,0.195,-675.0,725.0,Mn2PClO4,8.66,7.05
mp-554164,0.845,0.0719,-411.0,741.0,KLiZnP2O7,0.563,14.8
mp-767638,0.347,0.346,-506.0,426.0,Li3Mn3(BO3)4,2.81,52.0
mp-8289,1.53,0.633,-528.0,708.0,SnF3,0.512,1.24
mp-673059,0.677,0.124,-491.0,731.0,LiSbP2O7,1.04,5.5
mp-572711,0.114,0.135,-631.0,677.0,V2P2PbO10,16.2,88.6
mp-772861,0.722,0.613,-488.0,611.0,BaSr2I6,1.53,1.34
mp-765108,0.174,0.0715,-709.0,742.0,Li2V(CO3)2,11.9,22.3
mp-683967,0.411,0.104,-613.0,699.0,Cd7Te7Cl8O17,13.1,30.3
mp-583499,0.20299999999999999,0.11,-623.0,614.0,Bi6PtBr10,7.96,10.7
mp-706608,0.593,0.0524,-635.0,743.0,KPH3O3F,2.78,24.2
mp-12047,0.198,0.161,-724.0,705.0,K3Na(RuO4)2,9.76,10.4
mp-626819,0.34,0.0733,-640.0,777.0,ReH3O5,5.96,24.1
mp-771443,0.161,0.103,-739.0,791.0,Tb2WO6,20.6,15.9
mp-27853,1.02,0.118,-334.0,752.0,Hg3(TeBr)2,0.307,2.66
mp-555575,0.727,0.169,-479.0,631.0,Rb2AgC3(SN)3,0.947,10.0
mp-559355,1.35,0.22,-423.0,680.0,Hg3AsS4Cl,0.669,7.03
mp-772783,0.0846,0.197,-772.0,772.0,Li2Mg3Ti6O16,24.3,10.7
mp-17012,0.883,0.492,-523.0,637.0,Sr2VN3,1.95,2.13
mp-771609,0.451,0.483,-687.0,632.0,LiTiV3O10,82.2,4.46
mp-554948,0.607,0.279,-687.0,778.0,NaI(OF)2,75.5,39.0
mp-19401,0.6,0.244,-681.0,661.0,CrPO4,3.48,11.2
mp-15793,1.69,1.08,-517.0,548.0,TbLiSe2,0.453,1.25
mp-556516,2.17,0.681,-516.0,507.0,Tl2S,0.351,1.13
mp-866468,0.244,0.0959,-645.0,672.0,CrH9(BrN)3,10.1,15.0
mp-763360,0.098,0.0662,-456.0,1.67,Li2Co2(SiO3)3,10.3,15.5
mp-759382,0.588,0.323,-696.0,707.0,Li2Ti7Nb6O30,4560.0,930.0
mp-613172,0.957,1.24,-707.0,610.0,VBiO4,4.21,2.35
mp-626218,1.07,0.0445,-347.0,756.0,SbHO3,0.321,9.22
mp-9371,0.798,0.0826,-437.0,815.0,ErF3,0.679,26.8
mp-606912,0.67,0.248,-580.0,727.0,S4N5Cl,2.56,25.0
mp-771165,0.349,0.331,-700.0,785.0,Dy2TiO5,35.5,4.76
mp-19542,0.621,0.0647,-366.0,664.0,Na3Cr2(AsO4)3,0.607,5.82
mp-764758,0.0207,0.174,-851.0,784.0,Li6MnF8,98.8,11.7
mp-540742,0.605,0.078,-607.0,733.0,NdTl(PO3)4,1.81,28.3
mp-25908,0.716,0.0184,-477.0,784.0,Sn(PO3)4,0.957,45.3
mp-705134,0.0767,0.0176,-704.0,750.0,In2(MoO4)3,18.9,99.0
mp-773240,0.369,0.0802,-705.0,763.0,MnO2,3.8,19.1
mp-22971,1.65,0.267,-544.0,712.0,SbSBr,0.936,3.52
mp-767573,0.843,0.0155,-429.0,786.0,Na2ErPCO7,0.628,77.6
mp-555016,0.0365,0.0151,-706.0,757.0,CS3NO2F3,235.0,1620.0
mp-24217,0.486,0.0515,-608.0,822.0,Sc2P3(HO3)3,4.11,28.7
mp-29603,1.12,0.984,-576.0,693.0,Rb2ZrTe3,9.45,6.56
mp-22804,1.02,0.0216,-361.0,761.0,Na3In2(AsO4)3,0.362,18.4
mp-769633,2.54,2.95,95.7,139.0,NaFePCO7,9.75,9.67
mp-684042,0.473,0.514,-586.0,577.0,Li3Bi2(PO4)3,2.23,2.31
mp-696138,0.834,0.0381,-425.0,705.0,Li10Ge(PS6)2,0.619,20.4
mp-763373,0.373,0.29,-546.0,696.0,Li3P2WO8,4.51,352.0
mp-767617,0.0403,0.0405,26.9,28.9,LiVF4,0.482,0.481
mp-10423,1.59,0.823,-510.0,623.0,KAuC2,0.586,3.14
mp-559836,0.194,0.0733,-677.0,781.0,H9C3S2BrN2,12.3,47.1
mp-565260,0.402,0.351,-757.0,737.0,Nd2W2O9,7.89,11.5
mp-3193,0.934,0.0372,-406.0,805.0,Na2Si2O5,0.498,19.6
mp-14550,1.16,0.367,-679.0,703.0,TiCdO3,1.12,3.76
mp-622086,0.498,1.24,-669.0,575.0,La2GeS5,3.43,2.31
mp-570983,0.988,0.169,-438.0,669.0,Sr4Sn2Se9,0.972,7.13
mp-557826,0.126,0.0268,-704.0,732.0,Li3U7(PO7)5,41.0,141.0
mp-23020,1.92,0.374,-503.0,675.0,BiSeI,0.54,2.24
mp-557126,0.886,0.054,-407.0,710.0,NaPr(Si3O7)2,0.529,47.4
mp-14726,0.842,0.0239,-429.0,819.0,Na4TiO4,0.623,22.8
mp-676400,0.586,0.9,-643.0,652.0,TlNO2,2.4,6.01
mp-771264,0.907,0.139,-409.0,725.0,Na3ZnPCO7,0.52,86.9
mp-27655,1.46,0.482,-385.0,559.0,Te2I,0.642,0.958
mp-10233,0.932,0.347,-412.0,539.0,Ca2BN2F,0.521,1.51
mp-28271,0.236,0.0411,-677.0,706.0,Sn5BF13,6.41,33.6
mp-2160,1.91,0.755,-435.0,568.0,Sb2Se3,0.741,1.29
mp-31012,0.0384,0.158,-768.0,651.0,K2(NbBr3)3,68.5,12.5
mp-558046,0.734,0.258,-360.0,661.0,KMnF3,0.497,1.41
mp-542078,0.63,0.3,-542.0,617.0,K2LaP2Se7,1.98,15.1
mp-736217,0.469,0.136,-599.0,631.0,ScH16I3O8,2.59,362.0
mp-767861,0.0462,0.026,-656.0,645.0,Li2Si2Ni2O7,42.5,50.8
mp-759602,0.71,0.0364,-512.0,735.0,Sb4O5F2,1.66,159.0
mp-566189,0.356,0.262,-682.0,777.0,BaMoSeO6,4.61,26.5
mp-669348,0.0858,0.0503,-710.0,716.0,NbTeCl9,20.3,34.9
mp-679991,0.175,0.0402,-686.0,736.0,CuW3Br7,9.92,34.5
mp-18944,0.201,0.0752,-676.0,755.0,Na5Y(WO4)4,7.36,17.2
mp-555976,0.296,0.286,-635.0,678.0,Na2TiSiO5,4.27,16.8
mp-11659,0.444,0.464,-642.0,621.0,BaTi(BO3)2,21.9,4.37
mp-23408,1.57,0.719,-406.0,464.0,Tl4Bi2S5,0.315,0.768
mp-28679,0.873,0.0763,-425.0,758.0,NaGaBr4,0.612,9.45
mp-560658,0.414,0.415,-653.0,616.0,Na5Bi2As5O18,3.76,13.4
mp-705486,0.0598,0.312,-729.0,676.0,U3Cu2H10(CO10)2,69.6,50.3
mp-752463,1.25,0.941,-426.0,475.0,NbNO,1.15,0.621
mp-768268,0.206,0.129,-649.0,682.0,Li14Co2S9,5.77,15.5
mp-607436,0.0563,0.039,-803.0,785.0,ReCl3O2,72.1,46.7
mp-27184,0.574,0.501,-584.0,576.0,B10(Pb2O7)3,11.4,14.9
mp-766063,0.153,0.283,-765.0,677.0,Na2W3O10,23.8,11.8
mp-773680,0.146,0.435,-634.0,647.0,Na5LiMn2P2(CO7)2,9.8,90.3
mp-29022,0.588,0.164,-627.0,725.0,K2GeSe4,2.01,9.02
mp-778392,0.369,0.0848,-635.0,774.0,Li2MnF6,47.2,19.2
mp-775722,0.0302,0.166,-809.0,694.0,Na7Li3V10O30,69.2,19.8
mp-643243,1.01,0.3,-601.0,782.0,Cs2H6Pt,1.01,3.4
mp-722263,0.005,0.0837,-767.0,759.0,ZrH14C2(N4F3)2,477.0,239.0
mp-17244,1.05,0.107,-325.0,728.0,Ba2ZnGe2S6O,0.285,6.4
mp-557494,0.0953,0.00189,-680.0,648.0,AgBTe4C2(O3F10)2,39.0,3350.0
mp-777883,0.0227,0.00777,-685.0,666.0,Ba6YCl15,114.0,181.0
mp-572409,0.199,0.0178,-639.0,705.0,Ga2RhC4Cl7O4,22.4,114.0
mp-11178,0.329,1.35,-817.0,729.0,SrCeN2,6.55,1.43
mp-771444,0.6,0.184,-390.0,665.0,Li3MnAsCO7,0.727,18.2
mp-542009,0.075,0.389,-774.0,729.0,VPPbO6,43.7,4.53
mp-675286,0.169,0.846,-817.0,615.0,Ca3UN4,11.8,2.5
mp-29427,0.0355,0.126,-670.0,675.0,Ta(TeBr3)2,83.2,14.0
mp-29718,0.301,0.0742,-686.0,744.0,AgW3Br7,5.64,22.2
mp-40143,0.144,0.249,-725.0,859.0,Cs2KZrOF5,13.8,20.4
mp-505357,1.06,0.0389,-355.0,670.0,InSeI,0.339,9.51
mp-4279,1.06,0.0472,-347.0,811.0,CaGe2O5,0.321,11.9
mp-566796,0.143,0.0839,-689.0,743.0,Sr2NiSe2(ClO3)2,18.7,186.0
mp-28178,0.165,0.113,-721.0,718.0,NaNbCl6,15.9,22.2
mp-13516,0.559,0.0312,-650.0,805.0,TmAl3(BO3)4,3.01,49.4
mp-676300,0.476,0.581,-605.0,711.0,Sc3NbO7,3.98,3.86
mp-729903,0.833,0.0181,-430.0,759.0,ZnInH14O7F5,0.627,39.2
mp-769404,0.744,0.216,-651.0,705.0,YSeO3,57.1,16.5
mp-769394,0.994,0.0402,-485.0,767.0,Ba4Ta2O9,0.947,38.5
mp-30058,0.775,0.484,-449.0,564.0,TlSbO3,0.864,1.74
mp-755991,0.917,0.122,-403.0,718.0,AgBrO4,0.504,6.48
mp-561305,0.955,0.0441,-388.0,761.0,BaZnSiO4,0.445,17.2
mp-691145,0.592,0.23,-646.0,750.0,Li2NiO3,2.37,7.66
mp-868361,0.6869999999999999,0.0888,-423.0,692.0,Li2Mn2Si2O7,0.744,50.9
mp-773512,0.155,0.13,-761.0,790.0,Tm2WO6,22.1,12.6
mp-555568,0.96,0.0279,-413.0,754.0,K2Zn(Si2O5)2,0.5,20.9
mp-766911,1.29,1.3,136.0,136.0,LiVF4,0.216,0.215
mp-757145,0.619,0.371,-511.0,626.0,SmH2ClO2,1.21,2.54
mp-10476,0.89,0.108,-478.0,792.0,NaEr(SO4)2,0.728,102.0
mp-37091,1.05,0.544,-346.0,575.0,Sr(AlTe2)2,0.321,0.67
mp-556932,0.719,0.318,-521.0,581.0,TlPO3,1.17,2.45
mp-758316,1.03,0.536,-552.0,605.0,La10Bi8O27,214.0,444.0
mp-690703,0.944,0.0514,-374.0,735.0,BaH4(ClO)2,0.419,8.17
mp-776808,0.153,0.0737,-757.0,699.0,Li11Fe6F29,181000.0,5440.0
mp-771467,0.089,0.539,-712.0,602.0,Na3Li3Mn2P2(CO7)2,278.0,134.0
mp-629458,1.02,1.23,-408.0,453.0,BC2N,0.616,2.1
mp-764223,0.21,0.206,-771.0,781.0,Li4VO4F,10.3,12.5
mp-578817,0.427,0.182,-564.0,650.0,V2Cd4(TeO5)3,102.0,7.81
mp-643905,0.932,0.323,-397.0,698.0,Sr(H2N)2,0.477,2.54
mp-556703,0.999,0.0708,-374.0,760.0,Ba3Mg(SiO4)2,0.396,11.9
mp-722330,0.00557,0.00245,-853.0,809.0,Li3La2H6(N3O10)3,368.0,838.0
mp-866696,0.944,0.872,-567.0,571.0,La3ScBeS7,194.0,1.09
mp-18903,0.603,1.9,-701.0,729.0,Sr2CdWO6,2.29,0.73
mp-759234,0.0292,0.0429,-825.0,788.0,Li3CuF6,93.0,69.5
mp-762717,0.616,0.0288,-486.0,699.0,LiMn2(PO4)3,3.95,25.1
mp-571181,0.257,0.126,-713.0,776.0,RbAuN12,10.1,12.4
mp-555286,0.67,0.16,-568.0,730.0,CsNb(PO4)2,14.8,14.3
mp-542903,1.02,0.432,-389.0,581.0,ZrPbO3,0.476,1.06
mp-559539,0.0906,0.127,-821.0,777.0,Li2U3P2O15,22.6,17.4
mp-554782,1.03,0.192,-335.0,535.0,Li2Ga2GeS6,0.313,2.16
mp-14283,0.824,0.00705,-433.0,831.0,Sr2InF7,0.643,83.2
mp-25712,0.218,0.454,-765.0,649.0,Ni3(PO4)2,12.6,3.68
mp-768814,0.891,0.132,-389.0,735.0,Y2GeO5,0.48,44.4
mp-10517,0.248,0.156,-669.0,779.0,LiScP2O7,5.6,25.6
mp-776819,0.155,0.0791,-762.0,789.0,LiFeF5,31.9,24.7
mp-761390,0.331,0.295,-234.0,-75.2,TaFeO4,0.5,0.547
mp-770026,0.102,0.632,-773.0,624.0,Na5LiMn2P2(CO7)2,171.0,116.0
mp-567734,0.0663,0.125,-690.0,689.0,AlAs3(SeCl)4,25.6,31.5
mp-761607,0.0312,0.0113,-695.0,706.0,Li2Si6Ni3O16,71.4,715.0
mp-557991,0.0852,0.0363,-787.0,755.0,H12Pd(N5O4)2,27.3,259.0
mp-9740,0.471,0.496,-728.0,745.0,BaDy2PdO5,4.62,3.03
mp-557473,0.995,0.0226,-399.0,751.0,K5LiGe2O7,0.453,26.9
mp-553880,0.652,0.096,-196.0,550.0,ZnS,7370.0,12100.0
mp-680226,1.16,0.00241,-382.0,761.0,Ba(GaO2)2,0.358,208.0
mp-779498,0.938,0.0179,-391.0,706.0,Ba3(ClO)2,0.46,55.1
mp-779519,0.886,0.166,-516.0,733.0,Ba4Hf3O10,1.49,4.73
mp-556748,0.606,0.103,-636.0,749.0,CaCrF5,34.8,22.3
mp-707419,0.845,0.0537,-415.0,765.0,NaB(HO)4,0.575,35.7
mp-29193,0.513,0.301,-583.0,607.0,Nb2Se4O13,3.49,35.8
mp-762154,0.11,0.132,-281.0,306.0,LiNiPO4,36.7,64.9
mp-640357,0.955,0.0194,-388.0,762.0,Al2SiO5,0.45,61.3
mp-581026,0.387,0.00552,-507.0,735.0,Mn(C2N3)2,1.93,473.0
mp-2940,0.894,0.146,-392.0,679.0,LuPO4,0.484,4.24
mp-29384,0.601,0.085,-486.0,681.0,Rb3TlCl6,1.17,9.29
mp-7652,0.923,0.00844,-342.0,824.0,Na5TlO4,0.357,39.1
mp-559317,0.605,0.484,-579.0,631.0,Ti4Bi2O11,3.83,9.99
mp-777843,1.09,0.0989,-306.0,733.0,Ge2N2O,0.249,20.6
mp-767802,0.183,0.0679,-655.0,744.0,Li2V(CO3)2,12.1,43.2
mp-557952,0.871,0.0791,-404.0,685.0,RbInP2O7,0.537,7.93
mp-571166,0.834,0.376,-509.0,571.0,CaBr2,0.986,1.99
mp-3788,0.959,0.2,-383.0,633.0,SrAl4O7,0.431,121.0
mp-770070,0.432,0.122,-490.0,698.0,Li3TiCr3O8,1.77,5.55
mp-560870,0.946,0.0885,-386.0,754.0,BaGa2B2O7,0.448,5.97
mp-9519,1.4,0.579,-654.0,652.0,AgCN,1.4,2.27
mp-723378,0.912,0.0136,-425.0,859.0,KAlH6(OF3)2,0.557,37.4
mp-755318,0.988,0.866,-599.0,705.0,ScHO2,1.07,3.0
mp-19046,0.197,0.222,-797.0,775.0,KMnO4,9.9,18.0
mp-6227,0.968,0.124,-401.0,676.0,Ca2ZnSi2O7,0.472,4.9
mp-4820,0.504,0.67,-772.0,658.0,ZrSiO4,5.07,3.32
mp-29245,1.39,0.74,-408.0,489.0,Cd2P3Br,0.347,0.696
mp-23376,0.20299999999999999,0.20299999999999999,-721.0,725.0,GaSeBr7,31.4,15.5
mp-4691,0.91,0.514,-478.0,636.0,Ag2CO3,1.18,27.0
mp-29557,0.457,0.0149,-531.0,763.0,CuW3Cl7,1.74,53.4
mp-648545,0.0642,0.052,-837.0,874.0,MoF6,31.0,41.7
mp-773681,0.081,0.464,-702.0,588.0,Na2LiMnPCO7,304.0,48.5
mp-549737,0.799,0.218,-459.0,682.0,Ba2Ca(BO3)2,0.865,13.9
mp-27980,0.0276,0.523,-877.0,679.0,U(OF)2,59400.0,4.47
mp-648893,0.05,0.158,-795.0,940.0,Na4V2O7,1820.0,211000.0
mp-868149,0.0919,0.223,-719.0,737.0,LiMnPO4,16.1,30.7
mp-17315,0.0572,0.522,-804.0,718.0,Zr3Tl2OF12,70.7,87.9
mp-759825,1.11,0.241,-456.0,671.0,BiOF,1.25,2.85
mp-7988,0.957,0.0577,-372.0,783.0,Cs2O,0.41,8.95
mp-767830,0.05,0.217,-748.0,686.0,FePO4,39.7,7.81
mp-761729,0.248,0.215,-686.0,565.0,Li2VCo3O8,5.95,14.5
mp-571404,1.08,0.0342,-282.0,721.0,Hg3(SeI)2,0.208,7.3
mp-241,0.986,0.127,-370.0,805.0,CdF2,0.39,3.02
