Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom]
BiHfO3,Bi,Hf,FALSE,2,4,1.38,0.71,orthorhombic,-2.527,0.268,0.003,13.754,0.000,5.725,5.770,8.328,90.0,90.0,90.0,4.027
BiHgO3,Bi,Hg,FALSE,not balanced,not balanced,1.38,1.11,orthorhombic,-0.821,0.132,-,15.127,0.000,5.630,5.983,8.983,90.0,90.0,90.0,-1.240
BiHoO3,Bi,Ho,FALSE,3,3,1.38,0.90,cubic,-2.046,0.628,0.000,15.754,0.000,4.287,4.287,4.287,90.0,90.0,90.0,-0.821
BiInO3,Bi,In,TRUE,3,3,1.38,0.80,orthorhombic,-1.621,0.038,-,13.878,2.645,5.644,6.039,8.144,90.0,90.0,90.0,0.639
BiIrO3,Bi,Ir,FALSE,2,4,1.38,0.63,cubic,-0.685,0.557,0.000,12.755,0.000,3.995,3.995,3.995,90.0,90.0,90.0,0.257
BiKO3,Bi,K,FALSE,not balanced,not balanced,1.38,1.38,orthorhombic,-1.209,0.241,-,16.576,0.673,4.630,5.553,12.894,90.0,90.0,90.0,-3.908
BiLaO3,Bi,La,FALSE,not balanced,not balanced,1.38,1.03,cubic,-1.657,0.936,0.045,18.630,0.000,4.533,4.533,4.533,90.0,90.0,90.0,-3.847
BiLiO3,Bi,Li,FALSE,not balanced,not balanced,1.38,0.76,cubic,-0.821,0.661,-,10.441,0.000,3.737,3.737,3.737,90.0,90.0,90.0,-3.445
BiLuO3,Bi,Lu,FALSE,3,3,1.38,0.86,orthorhombic,-2.686,0.032,0.000,14.190,2.947,5.682,6.059,8.243,90.0,90.0,90.0,0.295
BiMgO3,Bi,Mg,FALSE,not balanced,not balanced,1.38,0.72,orthorhombic,-1.897,0.060,-,11.843,0.000,5.348,5.670,7.811,90.0,90.0,90.0,-1.541
BiMnO3,Bi,Mn,TRUE,3,3,1.38,0.65,orthorhombic,-1.727,0.023,0.800,12.121,0.000,5.432,5.786,7.714,90.0,90.0,90.0,2.544
BiMoO3,Bi,Mo,FALSE,3,3,1.38,0.69,orthorhombic,-1.471,0.342,0.600,13.054,0.000,5.560,5.911,7.944,90.0,90.0,90.0,3.605
BiNaO3,Bi,Na,FALSE,not balanced,not balanced,1.38,1.02,orthorhombic,-1.275,0.180,-,13.664,0.609,5.133,5.479,9.717,90.0,90.0,90.0,-5.244
BiNbO3,Bi,Nb,FALSE,1,5,1.38,0.64,orthorhombic,-1.874,0.381,0.001,13.278,0.000,5.640,5.710,8.246,90.0,90.0,90.0,4.001
BiNdO3,Bi,Nd,FALSE,not balanced,not balanced,1.38,0.98,cubic,-1.671,0.876,0.010,18.116,0.000,4.491,4.491,4.491,90.0,90.0,90.0,-3.403
BiNiO3,Bi,Ni,FALSE,3,3,1.38,0.60,orthorhombic,-1.233,0.035,0.394,11.585,0.000,5.330,5.671,7.666,90.0,90.0,90.0,0.590
BiNpO3,Bi,Np,FALSE,element not in BV,element not in BV,1.38,0.86,cubic,-1.976,0.742,0.560,17.126,0.000,4.408,4.408,4.408,90.0,90.0,90.0,0.299
BiOsO3,Bi,Os,FALSE,element not in BV,element not in BV,1.38,0.57,orthorhombic,-0.973,0.286,0.107,12.406,0.000,5.322,6.009,7.759,90.0,90.0,90.0,1.324
BiPaO3,Bi,Pa,FALSE,element not in BV,element not in BV,1.38,0.91,rhombohedral,-2.150,0.200,0.144,16.166,0.000,5.886,5.886,5.886,65.6,65.6,65.6,3.982
BiPbO3,Bi,Pb,FALSE,2,4,1.38,0.78,orthorhombic,-1.221,0.137,-,15.069,0.000,5.809,6.235,8.321,90.0,90.0,90.0,1.186
BiPdO3,Bi,Pd,FALSE,2,4,1.38,0.62,orthorhombic,-1.006,0.025,-,12.769,0.000,5.512,5.954,7.781,90.0,90.0,90.0,0.454
BiPmO3,Bi,Pm,FALSE,element not in BV,element not in BV,1.38,0.97,cubic,-1.744,0.831,0.006,17.691,0.000,4.456,4.456,4.456,90.0,90.0,90.0,-2.951
BiPrO3,Bi,Pr,FALSE,2,4,1.38,0.85,cubic,-1.606,0.919,0.020,18.538,0.000,4.526,4.526,4.526,90.0,90.0,90.0,-3.821
BiPtO3,Bi,Pt,FALSE,element not in BV,element not in BV,1.38,0.67,cubic,-0.595,0.536,0.000,13.273,0.000,4.049,4.049,4.049,90.0,90.0,90.0,0.244
BiPuO3,Bi,Pu,FALSE,element not in BV,element not in BV,1.38,0.83,cubic,-2.053,0.500,0.776,16.778,0.000,4.378,4.378,4.378,90.0,90.0,90.0,2.160
BiRbO3,Bi,Rb,FALSE,not balanced,not balanced,1.38,1.52,orthorhombic,-1.205,0.218,-,18.866,0.971,5.115,5.768,12.790,90.0,90.0,90.0,-9.484
BiReO3,Bi,Re,FALSE,1,5,1.38,0.58,cubic,-1.040,0.506,0.020,12.764,0.000,3.996,3.996,3.996,90.0,90.0,90.0,1.965
BiRhO3,Bi,Rh,FALSE,3,3,1.38,0.67,orthorhombic,-1.182,0.056,0.000,12.332,0.513,5.403,5.865,7.783,90.0,90.0,90.0,0.707
BiRuO3,Bi,Ru,FALSE,2,4,1.38,0.62,orthorhombic,-1.176,0.138,0.192,12.350,0.000,5.398,5.847,7.825,90.0,90.0,90.0,1.594
BiSbO3,Bi,Sb,FALSE,3,3,1.38,0.76,orthorhombic,-1.365,0.171,-,15.301,0.000,5.783,6.291,8.413,90.0,90.0,90.0,1.105
BiScO3,Bi,Sc,TRUE,3,3,1.38,0.75,orthorhombic,-2.608,0.033,0.000,13.075,3.008,5.560,5.855,8.033,90.0,90.0,90.0,1.957
BiSiO3,Bi,Si,FALSE,2,4,1.38,0.40,cubic,-1.645,0.727,-,10.736,0.000,3.772,3.772,3.772,90.0,90.0,90.0,2.725
BiSmO3,Bi,Sm,FALSE,not balanced,not balanced,1.38,0.96,cubic,-1.786,0.801,0.001,17.358,0.000,4.427,4.427,4.427,90.0,90.0,90.0,-2.646
BiSnO3,Bi,Sn,FALSE,2,4,1.38,0.69,orthorhombic,-1.465,0.220,-,14.635,0.000,5.710,6.189,8.283,90.0,90.0,90.0,3.114
BiSrO3,Bi,Sr,FALSE,not balanced,not balanced,1.38,1.18,orthorhombic,-1.945,0.156,-,16.905,0.000,6.059,6.233,8.952,90.0,90.0,90.0,-5.909
BiTaO3,Bi,Ta,FALSE,1,5,1.38,0.64,orthorhombic,-1.978,0.491,0.000,13.215,0.000,5.638,5.732,8.179,90.0,90.0,90.0,3.658
BiTbO3,Bi,Tb,FALSE,2,4,1.38,0.76,cubic,-1.830,0.688,0.000,16.361,0.000,4.341,4.341,4.341,90.0,90.0,90.0,-1.455
BiTcO3,Bi,Tc,FALSE,element not in BV,element not in BV,1.38,0.60,orthorhombic,-1.303,0.209,0.400,12.538,0.000,5.427,5.884,7.854,90.0,90.0,90.0,2.408
BiTeO3,Bi,Te,FALSE,2,4,1.38,0.97,cubic,-0.780,0.588,-,15.346,0.000,4.249,4.249,4.249,90.0,90.0,90.0,-0.073
BiThO3,Bi,Th,FALSE,2,4,1.38,0.94,cubic,-2.299,0.735,0.000,19.106,0.000,4.571,4.571,4.571,90.0,90.0,90.0,1.158
BiTiO3,Bi,Ti,FALSE,2,4,1.38,0.61,rhombohedral,-2.243,0.210,0.005,12.050,0.000,5.380,5.380,5.380,64.3,64.3,64.3,4.050
BiTlO3,Bi,Tl,FALSE,3,3,1.38,0.89,orthorhombic,-1.154,0.052,-,14.870,1.059,5.777,6.247,8.241,90.0,90.0,90.0,-1.519
BiTmO3,Bi,Tm,FALSE,3,3,1.38,0.88,cubic,-2.135,0.568,0.000,15.235,0.282,4.239,4.239,4.239,90.0,90.0,90.0,-0.198
BiUO3,Bi,U,FALSE,2,4,1.38,0.89,cubic,-1.717,1.066,0.245,23.213,0.000,4.878,4.878,4.878,90.0,90.0,90.0,-2.322
BiVO3,Bi,V,FALSE,3,3,1.38,0.64,orthorhombic,-2.045,0.007,0.400,12.262,0.891,5.448,5.750,7.828,90.0,90.0,90.0,3.340
BiWO3,Bi,W,FALSE,2,4,1.38,0.66,cubic,-1.414,0.543,0.000,12.987,0.000,4.019,4.019,4.019,90.0,90.0,90.0,3.201
BiYO3,Bi,Y,FALSE,3,3,1.38,0.90,cubic,-1.982,0.659,0.000,16.089,0.000,4.317,4.317,4.317,90.0,90.0,90.0,-0.964
BiYbO3,Bi,Yb,FALSE,3,3,1.38,0.87,cubic,-1.421,0.799,-,14.371,0.000,4.157,4.157,4.157,90.0,90.0,90.0,-2.280
BiZnO3,Bi,Zn,FALSE,not balanced,not balanced,1.38,0.74,orthorhombic,-1.323,0.107,-,12.119,0.000,5.385,5.721,7.867,90.0,90.0,90.0,-0.418
BiZrO3,Bi,Zr,FALSE,2,4,1.38,0.72,orthorhombic,-2.388,0.284,0.000,14.066,0.000,5.774,5.784,8.422,90.0,90.0,90.0,3.628
CaAcO3,Ca,Ac,FALSE,element not in BV,element not in BV,1.34,1.12,cubic,-2.373,0.708,0.084,19.615,0.000,4.612,4.612,4.612,90.0,90.0,90.0,-0.530
CaAgO3,Ca,Ag,FALSE,not balanced,not balanced,1.34,0.95,orthorhombic,-1.347,0.063,-,12.431,0.000,5.507,5.819,7.759,90.0,90.0,90.0,-0.905
CaAlO3,Ca,Al,FALSE,not balanced,not balanced,1.34,0.54,cubic,-2.884,0.078,-,10.252,0.000,3.715,3.715,3.715,90.0,90.0,90.0,0.239
CaAsO3,Ca,As,FALSE,not balanced,not balanced,1.34,0.52,orthorhombic,-2.124,0.192,-,11.497,0.000,5.387,5.547,7.695,90.0,90.0,90.0,2.158
CaAuO3,Ca,Au,FALSE,element not in BV,element not in BV,1.34,0.93,orthorhombic,-1.414,0.155,-,12.485,0.000,5.551,5.878,7.653,90.0,90.0,90.0,-0.703
CaBO3,Ca,B,FALSE,not balanced,not balanced,1.34,0.27,cubic,-1.873,0.911,-,8.157,0.000,3.442,3.442,3.442,90.0,90.0,90.0,-1.223
CaBaO3,Ca,Ba,FALSE,not balanced,not balanced,1.34,1.35,cubic,-1.425,1.125,-,19.341,0.000,4.590,4.590,4.590,90.0,90.0,90.0,-1.978
CaBeO3,Ca,Be,FALSE,not balanced,not balanced,1.34,0.45,orthorhombic,-2.059,0.432,-,9.003,0.000,4.712,5.323,7.180,90.0,90.0,90.0,-1.895
CaBiO3,Ca,Bi,FALSE,not balanced,not balanced,1.34,0.90,orthorhombic,-2.094,-0.037,-,14.423,0.000,5.758,6.015,8.329,90.0,90.0,90.0,1.441
Ca2O3,Ca,Ca,FALSE,not balanced,not balanced,1.34,1.00,-,-,-,-,-,-,-,-,-,-,-,-,-
CaCdO3,Ca,Cd,FALSE,not balanced,not balanced,1.34,0.95,orthorhombic,-1.522,0.277,-,13.116,0.000,5.618,5.946,7.853,90.0,90.0,90.0,-
CaCeO3,Ca,Ce,FALSE,2,4,1.34,0.87,cubic,-2.351,0.700,0.200,18.285,0.000,4.505,4.505,4.505,90.0,90.0,90.0,-1.450
CaCoO3,Ca,Co,FALSE,2,4,1.34,0.53,rhombohedral,-1.885,0.037,0.576,10.255,0.000,5.197,5.197,5.197,61.5,61.5,61.5,0.720
CaCrO3,Ca,Cr,TRUE,2,4,1.34,0.55,orthorhombic,-2.611,0.054,0.400,11.068,0.541,5.302,5.540,7.536,90.0,90.0,90.0,1.456
CaCsO3,Ca,Cs,FALSE,not balanced,not balanced,1.34,1.67,cubic,-0.634,1.287,-,18.020,0.000,4.483,4.483,4.483,90.0,90.0,90.0,-1.536
CaCuO3,Ca,Cu,FALSE,not balanced,not balanced,1.34,0.68,rhombohedral,-1.537,0.090,-,10.605,0.000,5.306,5.306,5.306,60.2,60.2,60.2,-0.449
CaDyO3,Ca,Dy,FALSE,not balanced,not balanced,1.34,0.99,orthorhombic,-3.036,0.180,0.200,14.166,0.000,5.895,6.119,7.855,90.0,90.0,90.0,-1.223
CaErO3,Ca,Er,FALSE,not balanced,not balanced,1.34,0.89,orthorhombic,-3.068,0.172,0.200,13.907,0.000,5.866,6.086,7.791,90.0,90.0,90.0,-3.292
CaEuO3,Ca,Eu,FALSE,not balanced,not balanced,1.34,1.06,cubic,-1.970,0.693,0.016,14.976,0.000,4.215,4.215,4.215,90.0,90.0,90.0,-1.586
CaFeO3,Ca,Fe,FALSE,2,4,1.34,0.59,rhombohedral,-2.195,0.002,0.800,10.664,0.000,5.287,5.287,5.287,60.9,60.9,60.9,1.132
CaGaO3,Ca,Ga,FALSE,not balanced,not balanced,1.34,0.62,rhombohedral,-2.197,0.202,-,11.139,0.000,5.292,5.292,5.292,62.8,62.8,62.8,-0.749
CaGdO3,Ca,Gd,FALSE,not balanced,not balanced,1.34,0.94,cubic,-2.638,0.549,0.200,16.276,0.000,4.334,4.334,4.334,90.0,90.0,90.0,-1.267
CaGeO3,Ca,Ge,FALSE,2,4,1.34,0.53,cubic,-2.428,0.071,-,10.606,0.962,3.757,3.757,3.757,90.0,90.0,90.0,-
CaHfO3,Ca,Hf,TRUE,2,4,1.34,0.71,orthorhombic,-3.669,-0.087,0.000,12.605,4.716,5.541,5.724,7.948,90.0,90.0,90.0,6.417
CaHgO3,Ca,Hg,FALSE,not balanced,not balanced,1.34,1.11,cubic,-1.037,0.523,-,14.232,0.000,4.144,4.144,4.144,90.0,90.0,90.0,-1.148
CaHoO3,Ca,Ho,FALSE,not balanced,not balanced,1.34,0.90,orthorhombic,-3.052,0.176,0.200,14.022,0.000,5.879,6.105,7.814,90.0,90.0,90.0,-
CaInO3,Ca,In,FALSE,not balanced,not balanced,1.34,0.80,orthorhombic,-2.044,0.187,-,13.113,0.000,5.763,5.990,7.598,90.0,90.0,90.0,-1.230
CaIrO3,Ca,Ir,TRUE,2,4,1.34,0.63,orthorhombic,-1.919,0.023,0.027,11.479,0.000,5.312,5.640,7.662,90.0,90.0,90.0,0.979
CaKO3,Ca,K,FALSE,not balanced,not balanced,1.34,1.38,cubic,-0.421,1.506,-,15.249,0.000,4.240,4.240,4.240,90.0,90.0,90.0,-3.797
CaLaO3,Ca,La,FALSE,not balanced,not balanced,1.34,1.03,cubic,-2.493,0.654,0.189,17.578,0.000,4.446,4.446,4.446,90.0,90.0,90.0,-
CaLiO3,Ca,Li,FALSE,not balanced,not balanced,1.34,0.76,cubic,-1.377,0.616,-,9.924,0.000,3.675,3.675,3.675,90.0,90.0,90.0,-2.236
CaLuO3,Ca,Lu,FALSE,not balanced,not balanced,1.34,0.86,orthorhombic,-3.111,0.161,0.200,13.510,0.000,5.798,6.017,7.746,90.0,90.0,90.0,-0.989
CaMgO3,Ca,Mg,FALSE,not balanced,not balanced,1.34,0.72,orthorhombic,-2.227,0.256,-,11.596,0.000,3.838,7.126,8.479,90.0,90.0,90.0,-1.620
CaMnO3,Ca,Mn,TRUE,2,4,1.34,0.53,tetragonal,-2.349,0.094,0.605,11.353,0.000,3.794,3.794,3.943,90.0,90.0,90.0,1.209
CaMoO3,Ca,Mo,TRUE,2,4,1.34,0.65,orthorhombic,-2.590,0.064,0.028,11.802,0.000,5.410,5.620,7.764,90.0,90.0,90.0,4.546
CaNaO3,Ca,Na,FALSE,not balanced,not balanced,1.34,1.02,orthorhombic,-1.689,0.215,-,13.855,0.000,6.134,6.254,7.223,90.0,90.0,90.0,-
CaNbO3,Ca,Nb,TRUE,2,4,1.34,0.68,orthorhombic,-3.005,0.025,0.003,12.374,0.000,5.516,5.674,7.907,90.0,90.0,90.0,-
CaNdO3,Ca,Nd,FALSE,not balanced,not balanced,1.34,0.98,cubic,-2.455,0.697,0.200,17.345,0.000,4.426,4.426,4.426,90.0,90.0,90.0,-1.416
CaNiO3,Ca,Ni,FALSE,2,4,1.34,0.48,rhombohedral,-1.670,0.131,0.000,10.450,0.000,5.200,5.200,5.200,62.3,62.3,62.3,-0.189
CaNpO3,Ca,Np,FALSE,element not in BV,element not in BV,1.34,0.86,cubic,-2.892,0.613,0.600,16.845,0.000,4.383,4.383,4.383,90.0,90.0,90.0,3.625
CaOsO3,Ca,Os,FALSE,element not in BV,element not in BV,1.34,0.57,orthorhombic,-1.995,0.084,0.184,11.469,0.000,5.324,5.607,7.684,90.0,90.0,90.0,2.187
CaPaO3,Ca,Pa,FALSE,element not in BV,element not in BV,1.34,0.91,rhombohedral,-3.149,0.039,0.200,16.035,1.851,6.124,6.124,6.124,59.4,59.4,59.4,5.379
CaPbO3,Ca,Pb,TRUE,2,4,1.34,0.78,orthorhombic,-2.017,0.038,-,13.690,1.258,5.675,5.926,8.142,90.0,90.0,90.0,1.239
CaPdO3,Ca,Pd,FALSE,2,4,1.34,0.62,orthorhombic,-1.714,-0.099,-,11.604,0.423,5.347,5.653,7.677,90.0,90.0,90.0,-0.257
CaPmO3,Ca,Pm,FALSE,element not in BV,element not in BV,1.34,0.97,cubic,-2.511,0.619,0.200,17.023,0.000,4.399,4.399,4.399,90.0,90.0,90.0,-1.382
CaPrO3,Ca,Pr,FALSE,2,4,1.34,0.85,cubic,-2.407,0.672,0.200,17.748,0.000,4.460,4.460,4.460,90.0,90.0,90.0,-1.401
CaPtO3,Ca,Pt,FALSE,element not in BV,element not in BV,1.34,0.67,orthorhombic,-1.797,0.047,0.000,11.714,0.876,5.345,5.692,7.700,90.0,90.0,90.0,-0.262
CaPuO3,Ca,Pu,FALSE,element not in BV,element not in BV,1.34,0.83,orthorhombic,-3.343,-0.109,0.800,14.650,1.928,5.794,6.021,8.399,90.0,90.0,90.0,-
CaRbO3,Ca,Rb,FALSE,not balanced,not balanced,1.34,1.52,cubic,-0.431,1.484,-,15.663,0.000,4.278,4.278,4.278,90.0,90.0,90.0,-2.951
CaReO3,Ca,Re,FALSE,2,4,1.34,0.63,orthorhombic,-2.248,0.110,0.129,11.586,0.000,5.343,5.628,7.706,90.0,90.0,90.0,2.781
CaRhO3,Ca,Rh,FALSE,2,4,1.34,0.60,orthorhombic,-1.934,0.008,0.200,11.592,0.000,5.347,5.633,7.697,90.0,90.0,90.0,1.092
CaRuO3,Ca,Ru,TRUE,2,4,1.34,0.62,orthorhombic,-2.073,-0.017,0.397,11.614,0.000,5.371,5.610,7.708,90.0,90.0,90.0,2.353
CaSbO3,Ca,Sb,FALSE,not balanced,not balanced,1.34,0.68,orthorhombic,-2.276,0.117,-,13.281,0.000,5.612,5.854,8.085,90.0,90.0,90.0,2.491
CaScO3,Ca,Sc,FALSE,not balanced,not balanced,1.34,0.75,orthorhombic,-3.059,0.140,0.200,12.549,0.000,5.624,5.832,7.652,90.0,90.0,90.0,-0.806
CaSiO3,Ca,Si,FALSE,2,4,1.34,0.40,rhombohedral,-3.058,0.234,-,9.159,4.339,5.054,5.054,5.054,60.1,60.1,60.1,6.171
CaSmO3,Ca,Sm,FALSE,not balanced,not balanced,1.34,0.96,cubic,-2.543,0.599,0.200,16.855,0.000,4.384,4.384,4.384,90.0,90.0,90.0,-1.367
CaSnO3,Ca,Sn,TRUE,2,4,1.34,0.69,orthorhombic,-2.531,0.015,-,12.503,2.740,5.529,5.706,7.927,90.0,90.0,90.0,3.479
CaSrO3,Ca,Sr,FALSE,not balanced,not balanced,1.34,1.18,cubic,-1.549,1.025,-,17.110,0.000,4.406,4.406,4.406,90.0,90.0,90.0,-2.813
CaTaO3,Ca,Ta,FALSE,2,4,1.34,0.68,orthorhombic,-3.097,0.078,0.000,12.223,0.000,5.489,5.651,7.881,90.0,90.0,90.0,5.448
CaTbO3,Ca,Tb,FALSE,2,4,1.34,0.76,cubic,-2.541,0.530,0.200,15.977,0.000,4.307,4.307,4.307,90.0,90.0,90.0,-1.243
CaTcO3,Ca,Tc,FALSE,element not in BV,element not in BV,1.34,0.60,orthorhombic,-2.322,-0.024,0.346,11.627,0.000,5.370,5.601,7.731,90.0,90.0,90.0,3.419
CaTeO3,Ca,Te,FALSE,2,4,1.34,0.97,orthorhombic,-2.037,0.193,-,13.740,0.000,5.659,5.946,8.167,90.0,90.0,90.0,2.703
CaThO3,Ca,Th,FALSE,2,4,1.34,0.94,cubic,-3.203,0.617,0.000,18.935,1.603,4.558,4.558,4.558,90.0,90.0,90.0,5.025
CaTiO3,Ca,Ti,TRUE,2,4,1.34,0.61,orthorhombic,-3.367,-0.046,0.000,11.199,2.356,5.355,5.478,7.635,90.0,90.0,90.0,5.068
CaTlO3,Ca,Tl,FALSE,not balanced,not balanced,1.34,1.20,orthorhombic,-1.596,0.170,-,13.861,0.000,5.686,6.012,8.109,90.0,90.0,90.0,-1.030
CaTmO3,Ca,Tm,FALSE,not balanced,not balanced,1.34,0.96,orthorhombic,-3.089,0.167,0.200,13.761,0.000,5.840,6.061,7.775,90.0,90.0,90.0,-1.074
CaUO3,Ca,U,FALSE,2,4,1.34,0.89,cubic,-2.950,0.620,0.360,17.050,0.000,4.401,4.401,4.401,90.0,90.0,90.0,-
CaVO3,Ca,V,TRUE,2,4,1.34,0.58,orthorhombic,-2.901,-0.014,0.200,10.892,0.435,5.280,5.432,7.594,90.0,90.0,90.0,3.563
CaWO3,Ca,W,FALSE,2,4,1.34,0.66,orthorhombic,-2.568,0.195,0.003,11.873,0.000,5.408,5.642,7.784,90.0,90.0,90.0,4.338
CaYO3,Ca,Y,FALSE,not balanced,not balanced,1.34,0.90,cubic,-2.666,0.529,0.200,15.844,0.000,4.295,4.295,4.295,90.0,90.0,90.0,-1.370
CaYbO3,Ca,Yb,FALSE,not balanced,not balanced,1.34,0.95,cubic,-2.047,0.660,-,14.129,0.000,4.134,4.134,4.134,90.0,90.0,90.0,-1.714
CaZnO3,Ca,Zn,FALSE,not balanced,not balanced,1.34,0.74,orthorhombic,-1.703,0.260,-,11.654,0.000,5.426,5.661,7.588,90.0,90.0,90.0,-1.142
CaZrO3,Ca,Zr,TRUE,2,4,1.34,0.72,orthorhombic,-3.517,-0.059,0.000,12.962,4.083,5.582,5.787,8.025,90.0,90.0,90.0,6.012
CdAcO3,Cd,Ac,FALSE,element not in BV,element not in BV,1.31,1.12,orthorhombic,-2.106,0.179,0.200,16.436,0.000,6.085,6.169,8.756,90.0,90.0,90.0,-2.851
CdAgO3,Cd,Ag,FALSE,not balanced,not balanced,1.31,0.95,orthorhombic,-0.485,0.122,-,12.103,0.000,5.448,5.649,7.866,90.0,90.0,90.0,-1.440
CdAlO3,Cd,Al,FALSE,not balanced,not balanced,1.31,0.54,orthorhombic,-1.967,0.160,-,10.187,0.000,5.179,5.341,7.366,90.0,90.0,90.0,-0.406
CdAsO3,Cd,As,FALSE,not balanced,not balanced,1.31,0.52,orthorhombic,-1.228,0.200,-,11.462,0.000,5.378,5.520,7.722,90.0,90.0,90.0,1.426
CdAuO3,Cd,Au,FALSE,element not in BV,element not in BV,1.31,0.93,orthorhombic,-0.549,0.086,-,12.338,0.000,5.454,5.631,8.035,90.0,90.0,90.0,-1.049
CdBO3,Cd,B,FALSE,not balanced,not balanced,1.31,0.27,cubic,-0.836,1.045,-,8.316,0.000,3.464,3.464,3.464,90.0,90.0,90.0,-1.768
CdBaO3,Cd,Ba,FALSE,not balanced,not balanced,1.31,1.35,orthorhombic,-1.535,0.230,-,17.186,0.843,6.481,6.492,8.169,90.0,90.0,90.0,-6.300
CdBeO3,Cd,Be,FALSE,not balanced,not balanced,1.31,0.45,cubic,-1.070,0.611,-,9.026,0.000,3.560,3.560,3.560,90.0,90.0,90.0,-2.662
CdBiO3,Cd,Bi,FALSE,not balanced,not balanced,1.31,0.90,orthorhombic,-1.258,0.007,-,14.164,0.000,5.758,5.913,8.321,90.0,90.0,90.0,-0.486
CdCaO3,Cd,Ca,FALSE,not balanced,not balanced,1.31,1.00,cubic,-0.816,0.982,-,14.897,0.000,4.207,4.207,4.207,90.0,90.0,90.0,-4.196
Cd2O3,Cd,Cd,FALSE,not balanced,not balanced,1.31,0.95,cubic,-0.301,0.688,-,13.686,0.000,4.090,4.090,4.090,90.0,90.0,90.0,-2.691
CdCeO3,Cd,Ce,FALSE,2,4,1.31,0.87,cubic,-1.400,0.855,0.215,18.344,0.000,4.510,4.510,4.510,90.0,90.0,90.0,-3.427
CdCoO3,Cd,Co,FALSE,2,4,1.31,0.53,rhombohedral,-0.980,0.141,0.195,10.111,0.000,5.167,5.167,5.167,61.6,61.6,61.6,-0.458
CdCrO3,Cd,Cr,FALSE,2,4,1.31,0.55,orthorhombic,-1.684,0.138,0.400,10.580,0.336,5.255,5.359,7.514,90.0,90.0,90.0,0.721
CdCsO3,Cd,Cs,FALSE,not balanced,not balanced,1.31,1.67,cubic,0.302,1.439,-,17.462,0.000,4.436,4.436,4.436,90.0,90.0,90.0,-2.614
CdCuO3,Cd,Cu,FALSE,not balanced,not balanced,1.31,0.68,orthorhombic,-0.669,0.148,-,10.392,0.000,5.213,5.355,7.447,90.0,90.0,90.0,-1.105
CdDyO3,Cd,Dy,FALSE,not balanced,not balanced,1.31,0.99,cubic,-1.731,0.688,0.203,15.738,0.000,4.285,4.285,4.285,90.0,90.0,90.0,-2.481
CdErO3,Cd,Er,FALSE,not balanced,not balanced,1.31,0.89,cubic,-1.789,0.653,0.202,15.362,0.000,4.251,4.251,4.251,90.0,90.0,90.0,-2.290
CdEuO3,Cd,Eu,FALSE,not balanced,not balanced,1.31,1.06,orthorhombic,-1.588,0.265,0.410,14.490,0.000,5.858,6.064,8.158,90.0,90.0,90.0,-3.671
CdFeO3,Cd,Fe,FALSE,2,4,1.31,0.59,orthorhombic,-1.283,0.077,0.799,10.599,0.000,5.272,5.348,7.518,90.0,90.0,90.0,0.208
CdGaO3,Cd,Ga,FALSE,not balanced,not balanced,1.31,0.62,orthorhombic,-1.356,0.210,-,11.008,0.000,5.277,5.503,7.581,90.0,90.0,90.0,-1.445
CdGdO3,Cd,Gd,FALSE,not balanced,not balanced,1.31,0.94,cubic,-1.667,0.724,0.204,16.256,0.000,4.332,4.332,4.332,90.0,90.0,90.0,-2.669
CdGeO3,Cd,Ge,TRUE,2,4,1.31,0.53,orthorhombic,-1.588,0.114,-,10.494,1.201,5.259,5.320,7.501,90.0,90.0,90.0,3.067
CdHfO3,Cd,Hf,FALSE,2,4,1.31,0.71,rhombohedral,-2.773,0.025,0.000,12.535,2.653,5.665,5.665,5.665,58.9,58.9,58.9,2.526
CdHgO3,Cd,Hg,FALSE,not balanced,not balanced,1.31,1.11,cubic,-0.055,0.636,-,14.116,0.000,4.133,4.133,4.133,90.0,90.0,90.0,-2.201
CdHoO3,Cd,Ho,FALSE,not balanced,not balanced,1.31,0.90,cubic,-1.761,0.670,0.203,15.542,0.000,4.267,4.267,4.267,90.0,90.0,90.0,-2.387
CdInO3,Cd,In,FALSE,not balanced,not balanced,1.31,0.80,cubic,-0.845,0.594,-,13.851,0.000,4.107,4.107,4.107,90.0,90.0,90.0,-2.206
CdIrO3,Cd,Ir,FALSE,2,4,1.31,0.63,orthorhombic,-1.004,0.129,0.169,11.421,0.000,5.417,5.443,7.747,90.0,90.0,90.0,1.027
CdKO3,Cd,K,FALSE,not balanced,not balanced,1.31,1.38,cubic,0.585,1.728,-,15.070,0.000,4.224,4.224,4.224,90.0,90.0,90.0,-4.644
CdLaO3,Cd,La,FALSE,not balanced,not balanced,1.31,1.03,cubic,-1.547,0.803,0.211,17.671,0.000,4.454,4.454,4.454,90.0,90.0,90.0,-2.966
CdLiO3,Cd,Li,FALSE,not balanced,not balanced,1.31,0.76,cubic,-0.383,0.827,-,9.937,0.000,3.676,3.676,3.676,90.0,90.0,90.0,-3.831
CdLuO3,Cd,Lu,FALSE,not balanced,not balanced,1.31,0.86,cubic,-1.880,0.595,0.201,14.805,0.000,4.199,4.199,4.199,90.0,90.0,90.0,-1.984
